Manuscript number 	Plate number- IAA inventory 	Fragment number (on IAA plate)	DJD- publication number
4Q9999	-83	41	DJD33 pl.XIII:39
4Q9999	-83	42	DJD33 pl.XIII:36
4Q9999	-83	43	DJD33 pl.XIII:54
4Q9999	-83	44	DJD33 pl.XIII:47
4Q9999	-83	45	DJD33 pl.XIII:48
4Q9999	-83	46	DJD33 pl.XIII:49
4Q9999	-83	47	DJD33 pl.XIII:46
4Q9999	-83	48	DJD33 pl.XIII:53
4Q9999	-83	49	DJD33 pl.XIII:51
4Q9999	-83	50	DJD33 pl.XIII:45
4Q9999	-83	51	DJD33 pl.XIII:52
4Q9999	-83	52	DJD33 pl.XIII:50
4Q9999	-83	53	DJD33 pl.XIII:63
4Q9999	-83	54	DJD33 pl.XIII:59
4Q9999	-83	55	DJD33 pl.XIII:61
4Q9999	-83	56	DJD33 pl.XIII:62
4Q9999	-83	57	DJD33 pl.XIII:57
4Q9999	-83	58	DJD33 pl.XIII:58
4Q9999	-83	59	DJD33 pl.XIII:60
4Q9999	-83	60	DJD33 pl.XIII:55
4Q9999	-83	61	DJD33 pl.XIII:56
4Q9999	-83	62	DJD33 pl.XIII:73
4Q9999	-83	63	DJD33 pl.XIII:71
4Q9999	-83	64	DJD33 pl.XIII:66
4Q9999	-83	65	DJD33 pl.XIII:72
4Q9999	-83	66	DJD33 pl.XIII:70
4Q9999	-83	67	DJD33 pl.XIII:68
4Q9999	-83	68	DJD33 pl.XIII:67
4Q9999	-83	69	DJD33 pl.XIII:69
4Q9999	-83	70	DJD33 pl.XIII:82
4Q9999	-83	71	DJD33 pl.XIII:81
4Q9999	-83	72	DJD33 pl.XIII:74
4Q9999	-83	73	DJD33 pl.XIII:80
4Q9999	-83	74	DJD33 pl.XIII:75
4Q9999	-83	75	DJD33 pl.XIII:76
4Q9999	-83	76	DJD33 pl.XIII:76
4Q9999	-83	77	DJD33 pl.XIII:79
4Q9999	-83	78	DJD33 pl.XIII:85
4Q9999	-83	79	DJD33 pl.XIII:87
4Q9999	-83	80	DJD33 pl.XIII:83
4Q9999	-83	81	DJD33 pl.XIII:84
4Q9999	-83	82	DJD33 pl.XIII:88
4Q9999	-83	83	DJD33 pl.XIII:90
4Q9999	-83	84	DJD33 pl.XIII:89
4Q9999	-83	85	Not found in publication
4Q9999	-83	86	Not found in publication
4Q9999	-83	87	Not found in publication
4Q9999	-84	1	unpublished
4Q9999	-84	2	unpublished
4Q9999	-84	3	unpublished
4Q9999	-84	4	unpublished
4Q9999	-84	5	unpublished
4Q9999	-84	6	unpublished
4Q9999	-84	7	unpublished
4Q9999	-84	8	unpublished
4Q9999	-84	9	unpublished
4Q9999	-84	10	unpublished
4Q9999	-84	11	unpublished
4Q9999	-84	12	unpublished
4Q9999	-84	13	unpublished
4Q9999	-84	14	unpublished
4Q9999	-84	15	unpublished
4Q9999	-84	16	unpublished
4Q9999	-84	17	unpublished
4Q9999	-84	18	unpublished
4Q9999	-84	19	unpublished
4Q9999	-84	20	unpublished
4Q9999	-84	21	unpublished
4Q9999	-84	22	unpublished
4Q9999	-84	23	unpublished
4Q9999	-84	24	unpublished
4Q9999	-84	25	unpublished
4Q9999	-84	26	unpublished
4Q9999	-84	27	unpublished
4Q9999	-84	28	unpublished
4Q9999	-84	29	unpublished
4Q9999	-84	30	unpublished
4Q9999	-84	31	unpublished
4Q9999	-84	32	unpublished
4Q9999	-84	33	unpublished
4Q9999	-84	34	unpublished
4Q9999	-84	35	unpublished
4Q9999	-84	36	unpublished
4Q9999	-84	37	unpublished
4Q9999	-84	38	unpublished
4Q9999	-84	39	unpublished
4Q9999	-84	40	unpublished
4Q9999	-84	41	unpublished
4Q9999	-84	42	unpublished
4Q9999	-84	43	unpublished
4Q9999	-84	44	unpublished
4Q9999	-84	45	unpublished
4Q9999	-84	46	unpublished
4Q9999	-84	47	unpublished
4Q9999	-84	48	unpublished
4Q9999	-84	49	unpublished
4Q9999	-84	50	unpublished
4Q9999	-84	51	unpublished
4Q9999	-84	52	unpublished
4Q9999	-84	53	unpublished
4Q9999	-84	54	unpublished
4Q9999	-84	55	unpublished
4Q9999	-84	56	unpublished
4Q9999	-84	57	unpublished
4Q9999	-84	58	unpublished
4Q9999	-84	59	unpublished
4Q9999	-84	60	unpublished
4Q9999	-84	61	unpublished
4Q9999	-84	62	unpublished
4Q9999	-84	63	unpublished
4Q9999	-84	64	unpublished
4Q9999	-84	65	unpublished
4Q9999	-84	66	unpublished
4Q9999	-84	67	unpublished
4Q9999	-84	68	unpublished
4Q9999	-84	69	unpublished
4Q9999	-84	70	unpublished
4Q9999	-84	71	unpublished
4Q9999	-84	72	unpublished
4Q9999	-84	73	unpublished
4Q9999	-84	74	unpublished
4Q9999	-84	75	unpublished
4Q9999	-84	76	unpublished
4Q9999	-84	77	unpublished
4Q9999	-84	78	unpublished
4Q9999	-84	79	unpublished
4Q9999	-84	80	unpublished
4Q9999	-84	81	unpublished
4Q9999	-84	82	unpublished
4Q9999	-84	83	unpublished
4Q9999	-84	84	unpublished
4Q9999	-84	85	unpublished
4Q22	-1159	75	
4Q22	-1159	76	
4Q22	-1159	77	
4Q22	-1159	78	
4Q22	-1159	79	
4Q22	-1160	1	
4Q22	-1160	2	
4Q22	-1160	3	
4Q22	-1160	4	
4Q22	-1160	5	
4Q22	-1160	6	
4Q22	-1160	7	
4Q22	-1160	8	
4Q22	-1160	9	
4Q22	-1160	10	
4Q22	-1160	11	
4Q22	-1160	12	
4Q22	-1160	13	
4Q22	-1160	14	
4Q22	-1160	15	
4Q22	-1160	16	
4Q22	-1160	17	
4Q22	-1160	18	
4Q22	-1160	19	
4Q22	-1160	20	
4Q22	-1160	21	
4Q22	-1160	22	
4Q22	-1160	23	
4Q22	-1160	24	
4Q22	-1160	25	
4Q22	-1160	26	
4Q22	-1160	27	
4Q22	-1160	28	
4Q22	-1160	29	
4Q22	-1160	30	
4Q22	-1160	31	
4Q22	-1160	32	
4Q22	-1160	33	
4Q22	-1160	34	
4Q22	-1160	35	
4Q468	-131	1	DJD36 pl.XXVIII
4Q468	-131	2	DJD36 pl.XXVIII
4Q197	-132	1	DJD19 pl.VI:3
4Q197	-132	3	DJD19 pl.VI:2
4Q197	-132	2	DJD19 pl.VI:1
4Q197	-132	5	DJD19 pl.VI:4a
4Q197	-132	4	DJD19 pl.VI:4a
4Q197	-132	7	DJD19 pl.VI:4b
4Q197	-133	1	DJD19 pl.VII:4d
4Q197	-133	2	DJD19 pl.VII:4e
4Q197	-133	3	DJD19 pl.VII:5a
4Q197	-133	4	DJD19 pl.VII:4f
4Q197	-133	5	DJD19 pl.VII:6
4Q197	-133	6	DJD19 pl.VII:4g
4Q197	-133	7	DJD19 pl.VII:7
4Q197	-133	8	DJD19 pl.VII:5b
4Q160	-137	2	DJD5 pl.III:1
4Q160	-137	1	DJD5 pl.III:1
4Q160	-137	4	DJD5 pl.III:3
4Q160	-137	3	DJD5 pl.III:4
4Q160	-137	5	DJD5 pl.III:2
4Q160	-137	7	DJD5 pl.III:5
4Q160	-137	6	DJD5 pl.III:6
4Q160	-137	9	not found in publication
4Q160	-137	12	DJD5 pl.III:7
4Q160	-137	10	not found in publication
4Q9999	-87	1	DJD33 pl.XXIII:11
4Q9999	-87	2	DJD33 pl.XXIII:9
4Q9999	-87	3	DJD33 pl.XXIII:1
4Q9999	-87	4	DJD33 pl.XXIII:2
4Q9999	-87	5	DJD33 pl.XXIII:8
4Q9999	-87	6	DJD33 pl.XXIII:6
4Q9999	-87	7	DJD33 pl.XXIII:4
4Q9999	-87	8	DJD33 pl.XXIII:3
4Q9999	-87	9	DJD33 pl.XXIII:7
4Q9999	-87	10	DJD33 pl.XXIII:5
4Q9999	-87	11	DJD33 pl.XXIII:16
4Q9999	-87	12	DJD33 pl.XXIII:18
4Q9999	-87	13	DJD33 pl.XXIII:21
4Q9999	-87	14	DJD33 pl.XXIII:22
4Q9999	-87	15	DJD33 pl.XXIII:13
4Q9999	-87	16	DJD33 pl.XXIII:19
4Q9999	-87	17	DJD33 pl.XXIII:20
4Q9999	-87	18	DJD33 pl.XXIII:14
4Q9999	-87	19	DJD33 pl.XXIII:29
4Q9999	-87	20	DJD33 pl.XXIII:30
4Q9999	-87	21	DJD33 pl.XXIII:31
4Q9999	-87	22	DJD33 pl.XXIII:24
4Q9999	-87	23	DJD33 pl.XXIII:39
4Q9999	-87	24	DJD33 pl.XXIII:37
4Q9999	-87	25	DJD33 pl.XXIII:33
4Q9999	-87	26	DJD33 pl.XXIII:48
4Q9999	-87	27	DJD33 pl.XXIII:41
4Q9999	-87	28	DJD33 pl.XXIII:49
4Q9999	-87	29	DJD33 pl.XXIII:47
4Q9999	-87	30	DJD33 pl.XXIII:43
4Q9999	-87	31	DJD33 pl.XXIII:42
4Q9999	-87	32	DJD33 pl.XXIII:50
4Q9999	-87	33	DJD33 pl.XXIII:56
4Q9999	-87	34	DJD33 pl.XXIII:54
4Q9999	-87	35	DJD33 pl.XXIII:59
4Q9999	-87	36	DJD33 pl.XXIII:53
4Q9999	-87	37	DJD33 pl.XXIII:57
4Q9999	-87	38	DJD33 pl.XXIII:55
4Q9999	-87	39	DJD33 pl.XXIII:52
4Q9999	-87	40	DJD33 pl.XXIII:58
4Q9999	-87	41	DJD33 pl.XXIII:64
4Q9999	-87	42	DJD33 pl.XXIII:61
4Q9999	-87	43	DJD33 pl.XXIII:62
4Q9999	-87	44	DJD33 pl.XXIII:66
4Q9999	-87	45	DJD33 pl.XXIII:70
4Q9999	-87	46	DJD33 pl.XXIII:71
4Q9999	-87	47	DJD33 pl.XXIII:69
4Q9999	-87	48	DJD33 pl.XXIII:72
4Q9999	-87	49	DJD33 pl.XXIII:73
4Q9999	-87	50	DJD33 pl.XXIII:79
4Q9999	-87	51	DJD33 pl.XXIII:77
4Q9999	-87	52	DJD33 pl.XXIII:74
4Q9999	-87	53	DJD33 pl.XXIII:75
4Q9999	-87	54	DJD33 pl.XXIII:76
4Q9999	-87	55	DJD33 pl.XXIII:81
4Q9999	-87	56	DJD33 pl.XXIII:90
4Q9999	-87	57	DJD33 pl.XXIII:89
4Q9999	-87	58	DJD33 pl.XXIII:91
4Q9999	-87	59	DJD33 pl.XXIII:87
4Q9999	-87	60	DJD33 pl.XXIII:88
4Q9999	-87	61	DJD33 pl.XXIII:83
4Q9999	-87	62	DJD33 pl.XXIII:62
4Q9999	-87	63	DJD33 pl.XXIII:97
4Q9999	-87	64	DJD33 pl.XXIII:98
4Q9999	-87	65	DJD33 pl.XXIII:96
4Q9999	-87	66	DJD33 pl.XXIII:93
4Q9999	-87	67	DJD33 pl.XXIII:94
4Q9999	-87	68	DJD33 pl.XXIII:95
4Q9999	-87	69	DJD33 pl.XXIII:99
4Q9999	-87	70	DJD33 pl.XXIII:92
4Q158	-138	1	DJD5 pl.I:1
4Q22	-1160	36	
4Q158	-138	3	DJD5 pl.I:4
4Q158	-138	4	DJD5 pl.I:1+2
4Q22	-1160	37	
4Q22	-1160	38	
4Q158	-138	7	DJD5 pl.I:6
4Q158	-138	8	DJD5 pl.I:5
4Q22	-1160	39	
4Q158	-138	10	DJD5 pl.I:10
4Q158	-138	11	DJD5 pl.I:11
4Q158	-138	12	DJD5 pl.I:7
4Q158	-138	13	DJD5 pl.I:12
4Q158	-138	14	DJD5 pl.I:11
4Q158	-138	15	DJD5 pl.I:21
4Q158	-138	16	DJD5 pl.I:14
4Q158	-138	17	DJD5 pl.I:8
4Q158	-138	18	DJD5 pl.I:9
4Q158	-138	19	DJD5 pl.I:3
4Q158	-138	20	DJD5 pl.I:9
4Q158	-138	21	DJD5 pl.I:15
4Q183	-139	1	DJD5 pl.XXVI:1
4Q183	-139	2	DJD5 pl.XXVI:2+3
4Q9999	-89	1	DJD33 pl.XXXII:4
4Q9999	-89	2	DJD33 pl.XXXII:7
4Q9999	-89	3	DJD33 pl.XXXII:6
4Q9999	-89	4	DJD33 pl.XXXII:8
4Q9999	-89	5	DJD33 pl.XXXII:10
4Q9999	-89	6	DJD33 pl.XXXII:12
4Q9999	-89	7	DJD33 pl.XXXII:3
4Q9999	-89	8	DJD33 pl.XXXII:5
4Q9999	-89	9	DJD33 pl.XXXII:9
4Q9999	-89	10	DJD33 pl.XXXII:2
4Q9999	-89	11	DJD33 pl.XXXII:11
4Q9999	-89	12	DJD33 pl.XXXII:1
4Q9999	-89	13	Not in publication
4Q9999	-89	14	DJD33 pl.XXXII:20
4Q9999	-89	15	DJD33 pl.XXXII:23
4Q9999	-89	16	DJD33 pl.XXXII:19
4Q9999	-89	17	DJD33 pl.XXXII:17
4Q9999	-89	18	DJD33 pl.XXXII:16
4Q9999	-89	19	DJD33 pl.XXXII:15
4Q9999	-89	20	DJD33 pl.XXXII:18
4Q9999	-89	21	DJD33 pl.XXXII:24
4Q9999	-89	22	DJD33 pl.XXXII:22
4Q9999	-89	23	DJD33 pl.XXXII:14
4Q9999	-89	24	DJD33 pl.XXXII:25
4Q9999	-89	25	DJD33 pl.XXXII:35
4Q9999	-89	26	DJD33 pl.XXXII:29
4Q9999	-89	27	DJD33 pl.XXXII:33
4Q9999	-89	28	DJD33 pl.XXXII:31
4Q9999	-89	29	DJD33 pl.XXXII:36
4Q9999	-89	30	DJD33 pl.XXXII:34
4Q9999	-89	31	DJD33 pl.XXXII:37
4Q9999	-89	32	DJD33 pl.XXXII:30
4Q9999	-89	33	DJD33 pl.XXXII:32
4Q9999	-89	34	DJD33 pl.XXXII:27
4Q9999	-89	35	DJD33 pl.XXXII:28
4Q9999	-89	36	DJD33 pl.XXXII:26
4Q9999	-89	37	DJD33 pl.XXXII:46
4Q9999	-89	38	DJD33 pl.XXXII:43
4Q9999	-89	39	DJD33 pl.XXXII:40
4Q9999	-89	40	DJD33 pl.XXXII:49
4Q9999	-89	41	DJD33 pl.XXXII:51
4Q9999	-89	42	DJD33 pl.XXXII:45
4Q9999	-89	43	DJD33 pl.XXXII:44
4Q9999	-89	44	DJD33 pl.XXXII:50
4Q9999	-89	45	DJD33 pl.XXXII:47
4Q9999	-89	46	DJD33 pl.XXXII:41
4Q9999	-89	47	DJD33 pl.XXXII:48
4Q9999	-89	48	DJD33 pl.XXXII:42
4Q9999	-89	49	DJD33 pl.XXXII:61
4Q9999	-89	50	DJD33 pl.XXXII:62
4Q9999	-89	51	DJD33 pl.XXXII:63
4Q9999	-89	52	DJD33 pl.XXXII:60
4Q9999	-89	53	DJD33 pl.XXXII:57
4Q9999	-89	54	DJD33 pl.XXXII:54
4Q9999	-89	55	DJD33 pl.XXXII:53
4Q9999	-89	56	DJD33 pl.XXXII:52
4Q9999	-89	57	DJD33 pl.XXXII:55
4Q9999	-89	58	DJD33 pl.XXXII:60
4Q9999	-89	59	DJD33 pl.XXXII:59
4Q9999	-89	60	DJD33 pl.XXXII:58
4Q9999	-89	61	DJD33 pl.XXXII:67
4Q9999	-89	62	DJD33 pl.XXXII:66
4Q9999	-89	63	DJD33 pl.XXXII:73
4Q9999	-89	64	DJD33 pl.XXXII:68
4Q9999	-89	65	DJD33 pl.XXXII:71
4Q9999	-89	66	DJD33 pl.XXXII:74
4Q9999	-89	67	DJD33 pl.XXXII:72
4Q9999	-89	68	DJD33 pl.XXXII:69
4Q9999	-89	69	DJD33 pl.XXXII:65
4Q9999	-89	70	DJD33 pl.XXXII:64
4Q9999	-89	71	DJD33 pl.XXXII:70
4Q9999	-89	72	DJD33 pl.XXXII:84
4Q9999	-89	73	DJD33 pl.XXXII:85
4Q9999	-89	74	DJD33 pl.XXXII:80
4Q9999	-89	75	DJD33 pl.XXXII:79
4Q9999	-89	76	DJD33 pl.XXXII:81
4Q9999	-89	77	DJD33 pl.XXXII:76
4Q9999	-89	78	DJD33 pl.XXXII:82
4Q9999	-89	79	DJD33 pl.XXXII:78
4Q9999	-89	80	DJD33 pl.XXXII:77
4Q9999	-89	81	DJD33 pl.XXXII:81
4Q9999	-89	82	DJD33 pl.XXXII:93
4Q9999	-89	83	DJD33 pl.XXXII:92
4Q9999	-89	84	DJD33 pl.XXXII:96
4Q9999	-89	85	DJD33 pl.XXXII:95
4Q9999	-89	86	DJD33 pl.XXXII:94
4Q9999	-89	87	DJD33 pl.XXXII:89
4Q9999	-89	88	DJD33 pl.XXXII:91
4Q9999	-89	89	DJD33 pl.XXXII:90
4Q9999	-89	90	DJD33 pl.XXXII:88
4Q9999	-89	91	DJD33 pl.XXXII:86
4Q9999	-89	92	DJD33 pl.XXXII:98
4Q9999	-89	93	DJD33 pl.XXXII:101
4Q9999	-89	94	DJD33 pl.XXXII:105
4Q9999	-89	95	DJD33 pl.XXXII:102
4Q9999	-89	96	DJD33 pl.XXXII:100
4Q9999	-89	97	DJD33 pl.XXXII:99
4Q9999	-89	98	DJD33 pl.XXXII:104
4Q9999	-89	99	DJD33 pl.XXXII:108
4Q9999	-89	100	DJD33 pl.XXXII:117
4Q9999	-89	101	DJD33 pl.XXXII:111
4Q9999	-89	102	DJD33 pl.XXXII:112
4Q9999	-89	103	DJD33 pl.XXXII:109
4Q9999	-89	104	DJD33 pl.XXXII:114
4Q9999	-89	105	DJD33 pl.XXXII:118
4Q9999	-89	106	DJD33 pl.XXXII:116
4Q9999	-89	107	DJD33 pl.XXXII:115DJD33 pl.XXXII:115
4Q22	-1160	40	
4Q22	-1160	41	
4Q22	-1160	42	
4Q22	-1160	43	
4Q22	-1160	44	
4Q22	-1160	45	
4Q22	-1160	46	
4Q22	-1160	47	
4Q22	-1160	48	
4Q22	-1160	49	
4Q22	-1160	50	
4Q22	-1160	51	
4Q22	-1160	52	
4Q22	-1160	53	
4Q22	-1160	54	
4Q22	-1160	55	
4Q22	-1160	56	
4Q22	-1160	57	
4Q22	-1160	58	
4Q22	-1160	59	
4Q22	-1160	60	
4Q22	-1160	61	
4Q22	-1160	62	
4Q22	-1160	63	
4Q22	-1160	64	
4Q22	-1160	65	
4Q22	-1160	66	
4Q22	-1160	67	
4Q22	-1160	68	
4Q22	-1160	69	
4Q22	-1160	70	
4Q22	-1160	71	
4Q22	-1160	72	
4Q22	-1160	73	
4Q22	-1160	74	
4Q22	-1160	75	
4Q22	-1160	76	
4Q22	-1160	77	
4Q22	-1160	78	
4Q22	-1160	79	
4Q22	-1160	80	
4Q22	-1160	81	
4Q22	-1160	82	
4Q22	-1160	83	
4Q22	-1161	1	
4Q22	-1161	2	
4Q22	-1161	3	
4Q22	-1161	4	
4Q22	-1161	5	
4Q22	-1161	6	
4Q22	-1161	7	
4Q22	-1161	8	
4Q22	-1161	9	
4Q22	-1161	10	
4Q22	-1161	11	
4Q22	-1161	12	
4Q22	-1161	13	
4Q22	-1161	14	
4Q22	-1161	15	
4Q22	-1161	16	
4Q22	-1161	17	
4Q22	-1161	18	
4Q22	-1161	19	
4Q22	-1161	20	
4Q22	-1161	21	
4Q22	-1161	22	
4Q22	-1161	23	
4Q22	-1161	24	
4Q22	-1161	25	
4Q22	-1161	26	
4Q22	-1161	27	
4Q22	-1161	28	
4Q22	-1161	29	
4Q22	-1161	30	
4Q22	-1161	31	
4Q22	-1161	32	
4Q22	-1161	33	
4Q22	-1161	34	
4Q22	-1161	35	
4Q22	-1161	36	
4Q22	-1161	37	
4Q22	-1161	38	
4Q22	-1161	39	
4Q22	-1161	40	
4Q22	-1161	41	
4Q22	-1161	42	
4Q22	-1161	43	
4Q22	-1161	44	
4Q9999	-91	1	DJD33 pl.XXXI:5
4Q9999	-91	2	DJD33 pl.XXXI:9
4Q9999	-91	3	DJD33 pl.XXXI:2
4Q9999	-91	4	DJD33 pl.XXXI:8
4Q9999	-91	5	DJD33 pl.XXXI:10
4Q9999	-91	6	DJD33 pl.XXXI:7
4Q9999	-91	7	DJD33 pl.XXXI:1
4Q9999	-91	8	DJD33 pl.XXXI:3
4Q9999	-91	9	DJD33 pl.XXXI:4
4Q9999	-91	10	DJD33 pl.XXXI:11
4Q9999	-91	11	DJD33 pl.XXXI:13
4Q9999	-91	12	DJD33 pl.XXXI:21
4Q9999	-91	13	DJD33 pl.XXXI:14
4Q9999	-91	14	DJD33 pl.XXXI:19
4Q9999	-91	15	DJD33 pl.XXXI:12
4Q9999	-91	16	DJD33 pl.XXXI:16
4Q9999	-91	17	DJD33 pl.XXXI:18
4Q9999	-91	18	DJD33 pl.XXXI:17
4Q9999	-91	19	DJD33 pl.XXXI:15
4Q9999	-91	20	DJD33 pl.XXXI:20
4Q9999	-91	21	DJD33 pl.XXXI:27
4Q9999	-91	22	DJD33 pl.XXXI:29
4Q9999	-91	23	DJD33 pl.XXXI:24
4Q9999	-91	24	DJD33 pl.XXXI:30
4Q9999	-91	25	DJD33 pl.XXXI:25
4Q9999	-91	26	DJD33 pl.XXXI:22
4Q9999	-91	27	DJD33 pl.XXXI:26
4Q9999	-91	28	DJD33 pl.XXXI:28
4Q9999	-91	29	DJD33 pl.XXXI:40
4Q9999	-91	30	DJD33 pl.XXXI:37
4Q9999	-91	31	DJD33 pl.XXXI:31
4Q9999	-91	32	DJD33 pl.XXXI:32
4Q9999	-91	33	DJD33 pl.XXXI:39
4Q9999	-91	34	DJD33 pl.XXXI:36
4Q9999	-91	35	DJD33 pl.XXXI:33
4Q9999	-91	36	DJD33 pl.XXXI:35
4Q9999	-91	37	DJD33 pl.XXXI:34
4Q9999	-91	38	DJD33 pl.XXXI:41
4Q9999	-91	39	DJD33 pl.XXXI:48
4Q9999	-91	40	DJD33 pl.XXXI:51
4Q9999	-91	41	DJD33 pl.XXXI:49
4Q9999	-91	42	DJD33 pl.XXXI:46
4Q9999	-91	43	DJD33 pl.XXXI:50
4Q9999	-91	44	DJD33 pl.XXXI:45
4Q9999	-91	45	DJD33 pl.XXXI:42
4Q9999	-91	46	DJD33 pl.XXXI:47
4Q9999	-91	47	DJD33 pl.XXXI:43
4Q9999	-91	48	DJD33 pl.XXXI:44
4Q9999	-91	49	DJD33 pl.XXXI:60
4Q9999	-91	50	DJD33 pl.XXXI:54
4Q9999	-91	51	DJD33 pl.XXXI:57
4Q9999	-91	52	DJD33 pl.XXXI:59
4Q9999	-91	53	DJD33 pl.XXXI:55
4Q9999	-91	54	DJD33 pl.XXXI:61
4Q9999	-91	55	DJD33 pl.XXXI:56
4Q9999	-91	56	DJD33 pl.XXXI:52
4Q9999	-91	57	DJD33 pl.XXXI:58
4Q9999	-91	58	DJD33 pl.XXXI:53
4Q9999	-91	59	DJD33 pl.XXXI:68
4Q9999	-91	60	DJD33 pl.XXXI:63
4Q9999	-91	61	DJD33 pl.XXXI:72
4Q9999	-91	62	DJD33 pl.XXXI:73
4Q9999	-91	63	DJD33 pl.XXXI:67
4Q9999	-91	64	DJD33 pl.XXXI:62
4Q9999	-91	65	DJD33 pl.XXXI:70
4Q9999	-91	66	DJD33 pl.XXXI:69
4Q9999	-91	67	DJD33 pl.XXXI:66
4Q9999	-91	68	DJD33 pl.XXXI:64
4Q9999	-91	69	DJD33 pl.XXXI:65
4Q9999	-91	70	DJD33 pl.XXXI:80
4Q9999	-91	71	DJD33 pl.XXXI:79
4Q9999	-91	72	DJD33 pl.XXXI:81
4Q9999	-91	73	DJD33 pl.XXXI:82
4Q9999	-91	74	DJD33 pl.XXXI:77
4Q9999	-91	75	DJD33 pl.XXXI:78
4Q9999	-91	76	DJD33 pl.XXXI:74
4Q9999	-91	77	DJD33 pl.XXXI:75
4Q9999	-91	78	DJD33 pl.XXXI:93
4Q9999	-91	79	DJD33 pl.XXXI:92
4Q9999	-91	80	DJD33 pl.XXXI:86
4Q9999	-91	81	DJD33 pl.XXXI:84
4Q9999	-91	82	DJD33 pl.XXXI:90
4Q9999	-91	83	DJD33 pl.XXXI:83
4Q9999	-91	84	DJD33 pl.XXXI:91
4Q9999	-91	85	DJD33 pl.XXXI:85
4Q9999	-91	86	DJD33 pl.XXXI:89
4Q9999	-92	1	DJD33 pl.I:7
4Q9999	-92	2	DJD33 pl.I:2
4Q9999	-92	3	DJD33 pl.I:5
4Q9999	-92	4	DJD33 pl.I:3
4Q9999	-92	5	DJD33 pl.I:10
4Q9999	-92	6	DJD33 pl.I:12
4Q9999	-92	7	DJD33 pl.I:11
4Q9999	-92	8	DJD33 pl.I:18
4Q9999	-92	9	DJD33 pl.I:14
4Q9999	-92	10	DJD33 pl.I:17
4Q9999	-92	11	DJD33 pl.I:16
4Q9999	-92	12	DJD33 pl.I:13
4Q9999	-92	13	DJD33 pl.I:15
4Q9999	-92	14	DJD33 pl.I:21
4Q9999	-92	15	DJD33 pl.I:30
4Q9999	-92	16	DJD33 pl.I:19+20
4Q9999	-92	17	DJD33 pl.I:27
4Q9999	-92	18	DJD33 pl.I:22
4Q9999	-92	19	DJD33 pl.I:29
4Q9999	-92	20	DJD33 pl.I:20
4Q9999	-92	21	DJD33 pl.I:25
4Q9999	-92	22	DJD33 pl.I:24
4Q9999	-92	23	DJD33 pl.I:23
4Q9999	-92	24	DJD33 pl.I:26
4Q9999	-92	25	DJD33 pl.I:28
4Q9999	-92	26	DJD33 pl.I:35
4Q9999	-92	27	DJD33 pl.I:37
4Q9999	-92	28	DJD33 pl.I:33
4Q9999	-92	29	DJD33 pl.I:38
4Q9999	-92	30	DJD33 pl.I:36
4Q9999	-92	31	DJD33 pl.I:39
4Q9999	-92	32	DJD33 pl.I:45
4Q9999	-92	33	DJD33 pl.I:44
4Q9999	-92	34	DJD33 pl.I:43
4Q9999	-92	35	DJD33 pl.I:46
4Q9999	-92	36	DJD33 pl.I:56
4Q9999	-92	37	DJD33 pl.I:53
4Q9999	-92	38	DJD33 pl.I:54
4Q9999	-92	39	DJD33 pl.I:52
4Q9999	-92	40	DJD33 pl.I:49
4Q9999	-92	41	DJD33 pl.I:58
4Q9999	-92	42	DJD33 pl.I:51
4Q9999	-92	43	DJD33 pl.I:61
4Q9999	-92	44	DJD33 pl.I:60
4Q9999	-92	45	DJD33 pl.I:45
4Q9999	-92	46	DJD33 pl.I:66
4Q9999	-92	47	DJD33 pl.I:65
4Q9999	-92	48	DJD33 pl.I:67
4Q9999	-92	49	DJD33 pl.I:73
4Q9999	-92	50	DJD33 pl.I:69
4Q9999	-92	51	DJD33 pl.I:75
4Q9999	-92	52	DJD33 pl.I:68
4Q9999	-92	53	DJD33 pl.I:71
4Q9999	-92	54	DJD33 pl.I:74
4Q9999	-92	55	DJD33 pl.I:72:
4Q9999	-92	56	DJD33 pl.I:82
4Q9999	-92	57	DJD33 pl.I:77
4Q9999	-92	58	DJD33 pl.I:76
4Q9999	-92	59	DJD33 pl.I:78
4Q9999	-92	60	DJD33 pl.I:79
4Q9999	-92	61	DJD33 pl.I:77
4Q9999	-92	62	DJD33 pl.I:80
4Q9999	-92	63	DJD33 pl.I:81
4Q22	-1161	45	
4Q22	-1161	46	
4Q547	-144	1	DJD31 pl.XXI:6
4Q547	-144	2	DJD31 pl.XXI:5
4Q547	-144	3	DJD31 pl.XXI:7
4Q547	-144	4	DJD31 pl.XXI:1
4Q22	-1161	47	
4Q547	-144	6	DJD31 pl.XXI:8
4Q547	-144	7	DJD31 pl.XXI:9
4Q547	-144	8	DJD31 pl.XXI:4
4Q547	-144	9	DJD31 pl.XXI:3
4Q547	-144	10	DJD31 pl.XXI:2
4Q547	-144	11	DJD31 pl.XXI:3
4Q9999	-93	1	DJD33 pl.VIII:5
4Q9999	-93	2	DJD33 pl.VIII:6
4Q9999	-93	3	DJD33 pl.VIII:9
4Q9999	-93	4	DJD33 pl.VIII:7
4Q9999	-93	5	DJD33 pl.VIII:1
4Q9999	-93	6	DJD33 pl.VIII:8
4Q9999	-93	7	DJD33 pl.VIII:3
4Q9999	-93	8	DJD33 pl.VIII:2
4Q9999	-93	9	DJD33 pl.VIII:14
4Q9999	-93	10	DJD33 pl.VIII:19
