Manuscript number 	Plate number- IAA inventory 	Fragment number (on IAA plate)	DJD- publication number
4Q550	-426	7	DJD37 pl.II:6c
4Q550	-426	4	DJD37 pl.II:6 (right)
4Q550	-426	3	DJD37 pl.II:6 (left)
4Q550	-426	5	DJD37 pl.II:6a
4Q550	-426	12	DJD37 pl.II:10
4Q550	-426	11	DJD37 pl.II:9
4Q550	-426	9	DJD37 pl.II:8
4Q550	-426	10	DJD37 pl.I:4a
4Q550	-426	13	DJD37 pl.I:3
4Q550	-426	14	not found in publication
11Q11	-612	3	
11Q13	-579	10	
11Q13	-579	16	
11Q13	-579	17	
11Q17	-620	6	
11Q17	-620	7	
4Q171	(600/1)	1	"DJD5 pl.XVI:3+4+5
DJD5 pl.XVII:3+5"
4Q171	(600/1)	2	DJD5 pl.XVII:8
4Q171	(600/1)	6	DJD5 pl.XVII:10
4Q171	(600/1)	3	DJD5 pl.XVII:7
4Q171	(600/1)	4	DJD5 pl.XVII:6
4Q171	(600/1)	5	DJD5 pl.XVII:9
11Q17	-620	8	
11Q17	-620	9	
11Q17	-1032	22	
11Q2	-615	14	
11Q2	-1016	3	
11Q20	-580	8	
11Q20	(614b)	15	
11Q20	-566	4	
11Q20	-566	5	
11Q20	-577	17	
11Q20	-577	18	
11Q20	-577	19	
4Q378	-168	2	DJD22 pl.XIX:15
4Q378	-168	1	DJD22 pl.XIX:20
4Q378	-168	3	DJD22 pl.XIX:16
4Q378	-168	6	DJD22 pl.XIX:18
4Q378	-168	4	DJD22 pl.XIX:19
4Q378	-168	5	DJD22 pl.XIX:17
4Q378	-168	7	DJD22 pl.XIX:21
4Q378	-168	9	DJD22 pl.XX:22
4Q378	-168	8	DJD22 pl.XX:26
4Q378	-168	12	DJD22 pl.XX:23
4Q378	-168	10	DJD22 pl.XX:24
4Q378	-168	14	DJD22 pl.XX:25
4Q378	-168	13	DJD22 pl.XX:28
4Q378	-168	11	DJD22 pl.XX:27
4Q378	-168	15	DJD22 pl.XX:29
4Q378	-168	16	DJD22 pl.XVIII:11
11Q20	-577	20	
4Q317	-899	1	DJD28 pl.LIV:2
4Q317	-899	3	DJD28 pl.LIV:3
4Q317	-899	2	DJD28 pl.LIV:4
4Q61	-175	1	DJD15 pl.XXI:1-4
4Q61	-175	2	DJD15 pl.XXI:6
4Q61	-175	4	DJD15 pl.XXI:7
4Q61	-175	3	DJD15 pl.XXI:3
4Q61	-175	5	DJD15 pl.XXI:8?
4Q545	-192	1	DJD31 pl.XIX:1a
4Q545	-192	6	DJD31 pl.XIX:7
4Q545	-192	8	DJD31 pl.XIX:3
4Q545	-192	10	DJD31 pl.XIX:10
11Q20	-577	16	
11Q22	-1022	2	
4Q545	-192	4	DJD31 pl.XIX:11
4Q545	-192	5	DJD31 pl.XIX:12
4Q545	-192	7	DJD31 pl.XIX:1b
4Q545	-192	9	DJD31 pl.XIX:5,9
4Q545	-192	12	DJD31 pl.XIX:6
4Q545	-192	14	DJD31 pl.XIX:8
4Q545	-192	15	DJD31 pl.XIX:2
4Q545	-192	11	DJD31 pl.XIX:4
11Q30	(581A)	6	
4Q274	-182	1	DJD35 pl.VIII:1
4Q274	-182	3	DJD35 pl.VIII:2
4Q274	-182	4	DJD35 pl.VIII:3
4Q274	-182	6	DJD35 pl.VIII:4
4Q111	-667	2	not found in publication
4Q111	-667	1	DJD16 pl.XXVII:1. In publication, but not on PAM used for p
4Q299	-592	1	DJD20 pl.VII:66
4Q299	-592	3	DJD20 pl.VII:69
4Q299	-592	2	DJD20 pl.VII:68
4Q299	-592	5	DJD20 pl.VII:70
4Q299	-592	4	DJD20 pl.VII:71
4Q299	-592	9	DJD20 pl.VII:76
4Q299	-592	7	DJD20 pl.VII:73
4Q299	-592	11	DJD20 pl.VII:77
4Q299	-592	6	DJD20 pl.VII:72
4Q299	-592	12	DJD20 pl.VII:78
4Q299	-592	8	DJD20 pl.VII:74
4Q299	-592	10	DJD20 pl.VII:75
4Q299	-592	16	DJD20 pl.VII:84
4Q299	-592	36	DJD20 pl.VII:100
4Q299	-592	15	DJD20 pl.VII:80
4Q299	-592	14	DJD20 pl.VII:82
4Q299	-592	17	DJD20 pl.VII:83
4Q299	-592	18	DJD20 pl.VII:85
4Q299	-592	13	DJD20 pl.VII:79
4Q299	-592	20	DJD20 pl.VII:81
4Q299	-592	22	DJD20 pl.VII:86
4Q299	-592	19	DJD20 pl.VII:87
4Q299	-592	21	DJD20 pl.VII:88
4Q299	-592	23	DJD20 pl.VII:89
4Q299	-592	28	DJD20 pl.VII:98
4Q299	-592	30	DJD20 pl.VII:93
4Q299	-592	29	DJD20 pl.VII:94
4Q299	-592	27	DJD20 pl.VII:95
4Q299	-592	24	DJD20 pl.VII:90
4Q299	-592	26	DJD20 pl.VII:91
4Q299	-592	25	DJD20 pl.VII:92
4Q299	-592	34	DJD20 pl.VII:102
4Q299	-592	32	DJD20 pl.VII:96
4Q299	-592	35	DJD20 pl.VII:105
4Q299	-592	38	DJD20 pl.VII:99
4Q299	-592	37	DJD20 pl.VII:106
4Q299	-592	33	DJD20 pl.VII:101
4Q299	-592	40	DJD20 pl.VII:103
4Q299	-592	39	DJD20 pl.VII:104
4Q299	-592	31	DJD20 pl.VII:97
4Q9999	-18	1	DJD33 pl.XXVI:1
4Q9999	-18	2	DJD33 pl.XXVI:9
4Q9999	-18	3	DJD33 pl.XXVI:2
4Q9999	-18	4	DJD33 pl.XXVI:7
4Q9999	-18	5	DJD33 pl.XXVI:13
4Q9999	-18	6	DJD33 pl.XXVI:15
4Q9999	-18	7	DJD33 pl.XXVI:17
4Q9999	-18	8	DJD33 pl.XXVI:12
4Q9999	-18	9	DJD33 pl.XXVI:14
4Q9999	-18	10	DJD33 pl.XXVI:11
4Q9999	-18	11	DJD33 pl.XXVI:10
4Q9999	-18	12	DJD33 pl.XXVI:22
4Q9999	-18	13	DJD33 pl.XXVI:24
4Q9999	-18	14	DJD33 pl.XXVI:26
4Q9999	-18	15	DJD33 pl.XXVI:27
4Q9999	-18	16	DJD33 pl.XXVI:29
4Q9999	-18	17	DJD33 pl.XXVI:23
4Q9999	-18	18	DJD33 pl.XXVI:25
4Q9999	-18	19	DJD33 pl.XXVI:19
4Q9999	-18	20	DJD33 pl.XXVI:38
