 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
121,02_Frg_1_a_א_ROI-1.tif:-08773-02197:3,25192,38.709,15,90,2130,8679,134,188,212.135,151.203,90,0.763,1.403,0.713,1.000
122,02_Frg_1_a_א_ROI-1.tif:-08587-02130:3,2496,36.380,20,71,2111,8555,39,64,72.216,44.007,90,0.739,1.641,0.609,1.000
123,02_Frg_1_a_א_ROI-1.tif:-08768-02315:3,111852,49.579,15,98,2081,8649,468,239,528.081,269.683,0,0.703,1.958,0.511,1.000
124,02_Frg_1_a_א_ROI-1.tif:-08720-01905:3,11256,47.523,19,85,1863,8653,84,134,151.203,94.784,90,0.744,1.595,0.627,1.000
125,02_Frg_1_a_א_ROI-1.tif:-08717-01764:3,24450,72.645,9,116,1683,8642,163,150,183.926,169.257,0,0.784,1.087,0.920,1.000
126,02_Frg_1_a_א_ROI-1.tif:-08729-01647:3,12384,77.820,26,116,1604,8657,86,144,162.487,97.041,90,0.735,1.674,0.597,1.000
127,02_Frg_1_a_א_ROI-1.tif:-08725-01550:3,17500,74.553,22,120,1488,8655,125,140,157.973,141.047,90,0.783,1.120,0.893,1.000
128,02_Frg_1_a_א_ROI-1.tif:-08720-01475:3,850,68.119,27,111,1463,8703,25,34,38.365,28.209,90,0.767,1.360,0.735,1.000
129,02_Frg_1_a_א_ROI-1.tif:-08663-01423:3,378,75.799,22,120,1413,8654,21,18,23.696,20.311,0,0.781,1.167,0.857,1.000
130,02_Frg_1_a_א_ROI-1.tif:-08708-01441:3,240,67.112,41,107,1434,8700,15,16,18.054,16.926,90,0.785,1.067,0.938,1.000
131,02_Frg_1_a_א_ROI-1.tif:-08715-01331:3,17024,80.967,24,125,1267,8649,128,133,150.074,144.433,90,0.785,1.039,0.962,1.000
132,02_Frg_1_a_א_ROI-1.tif:-08722-01212:3,17745,70.449,28,127,1160,8638,105,169,190.696,118.480,90,0.743,1.610,0.621,1.000
133,02_Frg_1_a_א_ROI-1.tif:-08683-01106:3,1323,65.095,12,107,1093,8659,27,49,55.291,30.466,90,0.720,1.815,0.551,1.000
134,02_Frg_1_a_א_ROI-1.tif:-09096-02496:3,8140,54.978,23,89,2459,9041,74,110,124.122,83.500,90,0.755,1.486,0.673,1.000
135,02_Frg_1_a_א_ROI-1.tif:-09105-02381:3,17030,62.556,29,90,2316,9040,131,130,147.818,146.689,0,0.785,1.008,0.992,1.000
136,02_Frg_1_a_א_ROI-1.tif:-09127-02245:3,22704,57.404,24,93,2181,9039,129,176,198.595,145.561,90,0.767,1.364,0.733,1.000
137,02_Frg_1_a_א_ROI-1.tif:-09123-02155:3,22806,66.858,27,97,2092,9033,126,181,204.237,142.176,90,0.760,1.437,0.696,1.000
138,02_Frg_1_a_א_ROI-1.tif:-09124-02036:3,7992,87.477,66,104,1981,9088,111,72,125.250,81.243,0,0.750,1.542,0.649,1.000
139,02_Frg_1_a_א_ROI-1.tif:-09116-01967:3,1458,66.282,38,107,1954,9089,27,54,60.932,30.466,90,0.698,2.000,0.500,1.000
140,02_Frg_1_a_א_ROI-1.tif:-09126-01885:3,9520,56.553,16,105,1843,9070,85,112,126.378,95.912,90,0.771,1.318,0.759,1.000
141,02_Frg_1_a_א_ROI-1.tif:-09131-01836:3,8384,61.079,20,105,1804,9066,64,131,147.818,72.216,90,0.693,2.047,0.489,1.000
142,02_Frg_1_a_א_ROI-1.tif:-09095-01773:3,1820,66.399,32,103,1756,9069,35,52,58.676,39.493,90,0.755,1.486,0.673,1.000
143,02_Frg_1_a_א_ROI-1.tif:-09114-01596:3,25201,38.929,7,116,1437,9075,319,79,359.953,89.142,0,0.500,4.038,0.248,1.000
144,02_Frg_1_a_א_ROI-1.tif:-09167-01380:3,24408,81.539,7,127,1324,9059,113,216,243.730,127.507,90,0.708,1.912,0.523,1.000
145,02_Frg_1_a_א_ROI-1.tif:-09086-01204:3,1015,69.989,12,120,1187,9072,35,29,39.493,32.723,0,0.778,1.207,0.829,1.000
146,02_Frg_1_a_א_ROI-1.tif:-09098-01273:3,4590,16.645,8,116,1222,9076,102,45,115.095,50.777,0,0.667,2.267,0.441,1.000
147,02_Frg_1_a_א_ROI-1.tif:-09087-01098:3,6390,56.931,8,107,1053,9052,90,71,101.554,80.115,0,0.774,1.268,0.789,1.000
148,02_Frg_1_a_א_ROI-1.tif:-09534-02506:3,24674,71.947,31,116,2433,9450,146,169,190.696,164.743,90,0.781,1.158,0.864,1.000
149,02_Frg_1_a_א_ROI-1.tif:-09518-02364:3,25110,71.200,32,105,2297,9425,135,186,209.879,152.331,90,0.766,1.378,0.726,1.000
150,02_Frg_1_a_א_ROI-1.tif:-09498-02225:3,21432,65.535,21,109,2155,9422,141,152,171.514,159.101,90,0.784,1.078,0.928,1.000
151,02_Frg_1_a_א_ROI-1.tif:-09495-02128:3,14006,77.452,33,127,2081,9421,94,149,168.128,106.068,90,0.745,1.585,0.631,1.000
152,02_Frg_1_a_א_ROI-1.tif:-09540-02072:3,1680,77.060,54,107,2052,9519,40,42,47.392,45.135,90,0.785,1.050,0.952,1.000
153,02_Frg_1_a_א_ROI-1.tif:-09786-02501:3,7220,53.570,7,99,2454,9748,95,76,107.196,85.757,0,0.776,1.250,0.800,1.000
154,02_Frg_1_a_א_ROI-1.tif:-09773-02399:3,4554,60.683,13,101,2366,9739,66,69,77.858,74.473,90,0.785,1.045,0.957,1.000
155,02_Frg_1_a_א_ROI-1.tif:-09756-02302:3,7290,65.166,14,109,2257,9716,90,81,101.554,91.399,0,0.783,1.111,0.900,1.000
156,02_Frg_1_a_א_ROI-1.tif:-09753-02207:3,2184,53.396,10,81,2186,9727,42,52,58.676,47.392,90,0.777,1.238,0.808,1.000
157,02_Frg_1_a_א_ROI-1.tif:-02787-02497:3,22748,49.126,13,89,2403,2727,188,121,212.135,136.534,0,0.748,1.554,0.644,1.000
158,02_Frg_1_a_א_ROI-1.tif:-08396-03714:3,59472,56.931,12,80,3588,8278,252,236,284.352,266.297,0,0.785,1.068,0.937,1.000
159,02_Frg_1_a_א_ROI-1.tif:-08746-02013:3,13566,59.287,33,85,1947,8695,133,102,150.074,115.095,0,0.772,1.304,0.767,1.000
160,02_Frg_1_a_א_ROI-1.tif:-06545-02029:3,352,71.315,56,84,2024,6529,11,32,36.108,12.412,90,0.598,2.909,0.344,1.000
161,02_Frg_1_a_א_ROI-1.tif:-08687-01404:3,828,103.611,46,122,1395,8664,18,46,51.905,20.311,90,0.635,2.556,0.391,1.000
162,02_Frg_1_a_א_ROI-1.tif:-07361-01269:3,6438,94.602,9,130,1232,7318,74,87,98.169,83.500,90,0.780,1.176,0.851,1.000
163,02_Frg_1_a_א_ROI-1.tif:-08697-01140:3,2080,96.411,80,107,1120,8671,40,52,58.676,45.135,90,0.772,1.300,0.769,1.000
164,02_Frg_1_a_א_ROI-1.tif:00003-06483-02174:3,504,46.292,25,75,2162,6473,24,21,27.081,23.696,0,0.782,1.143,0.875,1.000
165,02_Frg_1_a_א_ROI-1.tif:00003-06563-02311:3,675,44.916,25,75,2298,6551,27,25,30.466,28.209,0,0.784,1.080,0.926,1.000
166,02_Frg_1_a_א_ROI-1.tif:00003-07012-02082:3,180,74.222,53,90,2075,7006,15,12,16.926,13.541,0,0.776,1.250,0.800,1.000
167,02_Frg_1_a_א_ROI-1.tif:00003-07012-01192:3,9840,39.349,5,112,1132,6971,120,82,135.406,92.527,0,0.758,1.463,0.683,1.000
