 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,02_Frg_1_c_ב_ROI.tif:2498-4131-1:1,2622,30.836,11,62,4108,2470,46,57,64.318,51.905,90,0.776,1.239,0.807,1.000
2,02_Frg_1_c_ב_ROI.tif:2495-4021-2:1,3861,29.097,10,74,4002,2446,39,99,111.710,44.007,90,0.637,2.538,0.394,1.000
3,02_Frg_1_c_ב_ROI.tif:2526-3942-3:1,2520,45.515,13,88,3922,2495,40,63,71.088,45.135,90,0.746,1.575,0.635,1.000
4,02_Frg_1_c_ב_ROI.tif:2488-3808-4:1,31486,42.115,9,98,3717,2402,182,173,205.365,195.210,0,0.785,1.052,0.951,1.000
5,02_Frg_1_c_ב_ROI.tif:2564-3585-5:1,30960,34.654,9,75,3499,2474,172,180,203.108,194.081,90,0.785,1.047,0.956,1.000
6,02_Frg_1_c_ב_ROI.tif:2549-3388-6:1,31073,27.455,7,63,3292,2469,193,161,217.777,181.669,0,0.779,1.199,0.834,1.000
7,02_Frg_1_c_ב_ROI.tif:2563-3243-7:1,9102,18.066,7,53,3202,2508,82,111,125.250,92.527,90,0.768,1.354,0.739,1.000
8,02_Frg_1_c_ב_ROI.tif:2566-3155-8:1,6944,15.557,7,45,3124,2510,62,112,126.378,69.960,90,0.721,1.806,0.554,1.000
9,02_Frg_1_c_ב_ROI.tif:2568-3087-9:1,6336,22.533,6,54,3054,2520,66,96,108.324,74.473,90,0.758,1.455,0.688,1.000
