 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M42863.tif:1723-3478,73920,138.218,43,217,3373,1547,210,352,397.189,236.960,90,0.735,1.676,0.597,1.000
2,M42863.tif:1784-2928,121603,128.649,41,247,2790,1565,277,439,495.358,312.561,90,0.745,1.585,0.631,1.000
3,M42863.tif:1846-2421,64410,154.790,61,219,2326,1677,190,339,382.521,214.392,90,0.723,1.784,0.560,1.000
4,M42863.tif:1745-1655,122000,179.289,64,222,1503,1545,305,400,451.352,344.156,90,0.771,1.311,0.763,1.000
5,M42863.tif:2844-3520,125984,161.309,45,234,3396,2590,248,508,573.217,279.838,90,0.693,2.048,0.488,1.000
6,M42863.tif:2784-3082,155064,160.299,12,221,2926,2536,312,497,560.804,352.054,90,0.744,1.593,0.628,1.000
7,M42863.tif:2749-2521,143820,135.541,42,237,2394,2467,255,564,636.406,287.737,90,0.674,2.212,0.452,1.000
8,M42863.tif:2883-1863,219912,153.766,53,225,1716,2509,294,748,844.028,331.743,90,0.636,2.544,0.393,1.000
9,M42863.tif:2903-1261,191268,147.530,48,224,1107,2593,308,621,700.723,347.541,90,0.696,2.016,0.496,1.000
10,M42863.tif:4046-1192,307643,155.068,31,233,883,3798,619,497,698.467,560.804,0,0.776,1.245,0.803,1.000
11,M42863.tif:4015-1854,167400,148.652,39,231,1704,3736,300,558,629.636,338.514,90,0.714,1.860,0.538,1.000
12,M42863.tif:4296-1982,11438,152.160,64,216,1916,4253,133,86,150.074,97.041,0,0.749,1.547,0.647,1.000
13,M42863.tif:4163-2064,10070,163.931,93,214,2011,4116,106,95,119.608,107.196,0,0.783,1.116,0.896,1.000
14,M42863.tif:4469-1894,42120,134.680,49,226,1777,4379,234,180,264.041,203.108,0,0.772,1.300,0.769,1.000
15,M42863.tif:3928-2412,111252,139.830,32,220,2303,3674,219,508,573.217,247.115,90,0.661,2.320,0.431,1.000
16,M42863.tif:3961-3030,114466,160.134,52,219,2909,3725,242,473,533.723,273.068,90,0.703,1.955,0.512,1.000
17,M42863.tif:4011-3544,254100,163.808,21,222,3363,3661,363,700,789.865,409.602,90,0.706,1.928,0.519,1.000
18,M42863.tif:4802-3496,41340,146.082,77,212,3399,4696,195,212,239.216,220.034,90,0.784,1.087,0.920,1.000
19,M42863.tif:4803-3104,42126,175.010,77,218,3016,4684,177,238,268.554,199.723,90,0.768,1.345,0.744,1.000
20,M42863.tif:4695-2935,5986,161.556,89,212,2899,4654,73,82,92.527,82.372,90,0.783,1.123,0.890,1.000
21,M42863.tif:4850-2903,12816,170.457,83,214,2859,4778,89,144,162.487,100.426,90,0.742,1.618,0.618,1.000
22,M42863.tif:4875-2644,16910,156.019,79,212,2597,4786,95,178,200.851,107.196,90,0.713,1.874,0.534,1.000
23,M42863.tif:4938-2352,19549,142.068,60,212,2296,4852,113,173,195.210,127.507,90,0.751,1.531,0.653,1.000
24,M42863.tif:4939-2045,34736,174.004,77,217,1941,4856,208,167,234.703,188.439,0,0.776,1.246,0.803,1.000
25,M42863.tif:4992-1802,11554,154.910,69,213,1748,4939,109,106,122.993,119.608,0,0.785,1.028,0.972,1.000
26,M42863.tif:4954-1541,9025,149.150,65,213,1494,4907,95,95,107.196,107.196,0,0.785,1.000,1.000,1.000
27,M42863.tif:4909-1296,10767,170.519,93,216,1248,4854,97,111,125.250,109.453,90,0.782,1.144,0.874,1.000
28,M42863.tif:4957-1051,14112,182.990,117,216,988,4901,126,112,142.176,126.378,0,0.783,1.125,0.889,1.000
29,M42863.tif:4870-0865,9568,163.910,104,213,813,4824,104,92,117.351,103.811,0,0.782,1.130,0.885,1.000
30,M42863.tif:5324-2227,140760,195.884,5,230,1717,5255,1020,138,1150.947,155.716,0,0.330,7.391,0.135,1.000
