frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42397-1-E.tif:0880-4862,59540,177.61,29,231,4732,766,260,229,0.782,1.135,0.881,1
2,M42397-1-E.tif:0886-4130,166882,183.309,38,237,3949,656,362,461,0.774,1.273,0.785,1
3,M42397-1-E.tif:0783-2444,152775,183.05,28,233,2287,541,315,485,0.75,1.54,0.649,1
4,M42397-1-E.tif:1184-2101,56772,178.458,50,236,1930,1101,342,166,0.691,2.06,0.485,1
5,M42397-1-E.tif:1405-1993,122500,169.692,37,235,1743,1283,500,245,0.693,2.041,0.49,1
6,M42397-1-E.tif:1685-1981,153560,170.784,41,231,1761,1511,440,349,0.775,1.261,0.793,1
7,M42397-1-E.tif:1505-1618,159680,152.164,29,237,1458,1256,320,499,0.748,1.559,0.641,1
8,M42397-1-E.tif:1700-0983,71775,179.949,47,232,871,1541,225,319,0.762,1.418,0.705,1
9,M42397-1-E.tif:1703-1184,64120,166.192,35,229,1070,1563,229,280,0.778,1.223,0.818,1
10,M42397-1-E.tif:1677-1354,84119,168.578,34,233,1256,1464,197,427,0.679,2.168,0.461,1
11,M42397-1-E.tif:1919-1226,69391,157.915,34,223,1011,1839,431,161,0.622,2.677,0.374,1
12,M42397-1-E.tif:2360-1217,1015476,178.476,24,237,668,1898,1099,924,0.78,1.189,0.841,1
13,M42397-1-E.tif:1935-2148,213756,174.645,46,237,1866,1746,564,379,0.755,1.488,0.672,1
14,M42397-1-E.tif:2099-2520,565191,188.839,46,239,1976,1840,1089,519,0.687,2.098,0.477,1
15,M42397-1-E.tif:2152-4250,2971676,195.492,33,248,2968,1573,2564,1159,0.674,2.212,0.452,1
16,M42397-1-E.tif:1639-3567,212112,186.324,56,238,3351,1394,432,491,0.782,1.137,0.88,1
17,M42397-1-E.tif:1733-4858,200200,171.636,33,233,4572,1558,572,350,0.74,1.634,0.612,1
18,M42397-1-E.tif:3033-4021,28728,189.454,61,234,3936,2949,171,168,0.785,1.018,0.982,1
19,M42397-1-E.tif:2887-4660,71736,173.254,30,236,4416,2814,488,147,0.559,3.32,0.301,1
20,M42397-1-E.tif:3147-4727,170100,174.251,26,231,4517,2945,420,405,0.785,1.037,0.964,1
21,M42397-1-E.tif:3113-3425,126436,195.516,60,239,3209,2967,433,292,0.756,1.483,0.674,1
22,M42397-1-E.tif:1322-0864,60610,172.485,48,227,769,1163,190,319,0.735,1.679,0.596,1
23,M42397-1-E.tif:3793-3136,126756,196.815,30,250,2633,3730,1006,126,0.311,7.984,0.125,1
