frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41664-1-E.tif:1057-4818,37754,187.961,110,225,4652,955,332,205,0.662,1.601,0.625,0.896
2,M41664-1-E.tif:1074-4418,41013,185.398,94,226,4257,974,323,201,0.689,1.765,0.567,0.892
3,M41664-1-E.tif:1092-4053,29861,192.878,91,223,3957,980,193,225,0.823,1.166,0.858,0.951
4,M41664-1-E.tif:1092-3707,44551,185.101,79,226,3588,947,239,290,0.756,1.644,0.608,0.915
5,M41664-1-E.tif:1069-3299,41970,192.147,88,233,3155,961,289,216,0.638,1.319,0.758,0.926
6,M41664-1-E.tif:1041-2946,26338,178.642,82,226,2804,971,285,141,0.621,2.588,0.386,0.875
7,M41664-1-E.tif:1039-2551,39662,179.611,84,231,2448,902,207,275,0.857,1.401,0.714,0.970
8,M41664-1-E.tif:1028-2271,31023,187.762,83,223,2170,914,203,229,0.862,1.476,0.677,0.990
9,M41664-1-E.tif:1047-1935,38823,187.408,86,231,1819,933,233,229,0.710,1.086,0.921,0.924
10,M41664-1-E.tif:0977-1541,55854,183.237,83,228,1326,868,431,219,0.580,2.345,0.426,0.878
11,M41664-1-E.tif:1045-1130,52872,186.788,104,223,1017,892,227,306,0.891,1.343,0.744,0.992
12,M41664-1-E.tif:1069-0825,72117,187.524,91,218,711,892,229,355,0.779,1.654,0.605,0.973
13,M41664-1-E.tif:1286-1382,32141,187.193,89,222,1283,1178,198,216,0.811,1.286,0.778,0.950
14,M41664-1-E.tif:1296-1669,33254,195.645,88,225,1601,1148,136,296,0.702,2.214,0.452,0.947
15,M41664-1-E.tif:1360-2287,45812,193.804,102,226,2163,1240,248,241,0.753,1.280,0.781,0.940
16,M41664-1-E.tif:1443-2596,41195,191.980,94,232,2476,1326,241,235,0.699,1.378,0.726,0.901
17,M41664-1-E.tif:1426-2981,30346,194.421,106,228,2886,1315,191,222,0.853,1.282,0.780,0.970
18,M41664-1-E.tif:1434-3234,47627,192.240,98,235,3121,1283,226,303,0.755,1.585,0.631,0.930
19,M41664-1-E.tif:1412-3573,29705,195.391,98,231,3443,1333,261,159,0.718,2.009,0.498,0.915
20,M41664-1-E.tif:1392-4144,15376,189.845,89,230,4066,1298,157,189,0.623,1.833,0.545,0.946
21,M41664-1-E.tif:1410-4449,36364,190.579,85,228,4315,1308,268,205,0.761,1.244,0.804,0.923
22,M41664-1-E.tif:1360-4855,33494,194.325,97,221,4723,1272,265,177,0.663,1.783,0.561,0.880
23,M41664-1-E.tif:1732-4868,39647,194.318,111,226,4776,1599,184,267,0.795,1.529,0.654,0.971
24,M41664-1-E.tif:1722-4552,39625,191.990,95,222,4440,1596,225,253,0.666,1.201,0.833,0.894
25,M41664-1-E.tif:1655-4233,21432,194.657,103,229,4150,1557,166,197,0.828,1.700,0.588,0.963
26,M41664-1-E.tif:1682-3957,19643,186.754,95,224,3872,1610,170,144,0.822,1.300,0.769,0.968
27,M41664-1-E.tif:1643-3632,25977,193.186,106,231,3525,1546,214,195,0.692,1.723,0.580,0.899
28,M41664-1-E.tif:1923-3275,123763,192.927,89,228,3055,1734,441,379,0.737,1.224,0.817,0.940
29,M41664-1-E.tif:1758-2912,22272,191.504,105,226,2842,1664,140,188,0.841,1.454,0.688,0.982
30,M41664-1-E.tif:1855-2652,32088,192.694,105,233,2549,1749,206,213,0.768,1.393,0.718,0.949
31,M41664-1-E.tif:1722-1863,151800,184.082,70,230,1641,1426,445,592,0.504,1.594,0.627,0.859
32,M41664-1-E.tif:1671-1456,20195,195.845,95,228,1380,1575,152,192,0.788,1.430,0.699,0.996
33,M41664-1-E.tif:1579-1153,21331,193.149,99,227,1076,1490,155,178,0.847,1.328,0.753,0.971
34,M41664-1-E.tif:1456-0867,39883,188.770,90,219,734,1365,267,183,0.896,1.472,0.679,0.990
35,M41664-1-E.tif:1733-0848,20052,183.650,88,221,777,1629,143,209,0.766,1.667,0.600,0.938
36,M41664-1-E.tif:2081-0936,101622,178.640,85,222,651,1935,570,293,0.558,2.441,0.410,0.848
37,M41664-1-E.tif:2282-1544,123682,185.967,88,229,1350,1949,389,667,0.402,2.414,0.414,0.735
38,M41664-1-E.tif:2259-1898,40077,169.294,85,218,1768,2163,260,193,0.867,1.469,0.681,0.990
39,M41664-1-E.tif:2064-2316,218843,194.176,88,237,2059,1723,515,683,0.558,1.727,0.579,0.791
