frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41507-665.tif:1601-4458,1516692,197.542,0,255,3807,1019,1303,1164,0.783,1.119,0.893,1.000
2,M41507-665.tif:3273-4639,284616,186.211,0,255,4438,2919,402,708,0.726,1.761,0.568,1.000
3,M41507-665.tif:3009-3925,1068600,198.621,0,255,3514,2359,822,1300,0.746,1.582,0.632,1.000
4,M41507-665.tif:3551-3072,57600,188.153,22,234,2928,3451,288,200,0.760,1.440,0.694,1.000
5,M41507-665.tif:3081-3024,138240,194.059,0,253,2880,2841,288,480,0.736,1.667,0.600,1.000
6,M41507-665.tif:1737-2254,2984544,191.365,1,255,1290,963,1928,1548,0.776,1.245,0.803,1.000
7,M41507-665.tif:3743-2035,180360,169.791,0,243,1534,3653,1002,180,0.406,5.567,0.180,1.000
