frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M40518-1358.tif:2779-5276,2244000,215.417,2,255,4676,1844,1200,1870,0.748,1.558,0.642,1.000
2,M40518-1358.tif:3382-4510,798624,209.288,26,244,4228,2674,564,1416,0.640,2.511,0.398,1.000
3,M40518-1358.tif:1676-4820,251680,215.376,50,243,4600,1390,440,572,0.772,1.300,0.769,1.000
4,M40518-1358.tif:0890-2790,362880,188.055,14,244,2580,458,420,864,0.691,2.057,0.486,1.000
5,M40518-1358.tif:2470-3638,8100000,215.574,0,255,2388,850,2500,3240,0.772,1.296,0.772,1.000
6,M40518-1358.tif:2652-2080,389504,176.894,9,246,1808,2294,544,716,0.771,1.316,0.760,1.000
7,M40518-1358.tif:2788-2376,32160,184.125,46,235,2316,2654,120,268,0.671,2.233,0.448,1.000
8,M40518-1358.tif:2633-1224,539400,209.630,2,254,914,2198,620,870,0.763,1.403,0.713,1.000
9,M40518-1358.tif:0920-2167,506232,199.621,0,255,1930,386,474,1068,0.669,2.253,0.444,1.000
10,M40518-1358.tif:0949-1763,1173972,200.792,28,242,1402,136,722,1626,0.669,2.252,0.444,1.000
11,M40518-1358.tif:1150-1352,1326528,192.954,8,246,960,304,784,1692,0.680,2.158,0.463,1.000
12,M40518-1358.tif:1153-0804,961000,194.391,8,248,494,378,620,1550,0.641,2.500,0.400,1.000
13,M40518-1358.tif:2515-0417,1025988,178.771,6,255,224,1186,386,2658,0.348,6.886,0.145,1.000
14,M40518-1358.tif:0264-4407,499680,204.293,0,255,3366,144,2082,240,0.291,8.675,0.115,1.000
