frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42389-1-E.tif:1486-4957,453120,189.689,54,255,4721,1006,472,960,0.694,2.034,0.492,1
2,M42389-1-E.tif:1752-3912,3967704,208.384,28,255,2859,810,2106,1884,0.783,1.118,0.895,1
3,M42389-1-E.tif:1405-2631,58788,204.51,74,251,2493,1299,276,213,0.772,1.296,0.772,1
4,M42389-1-E.tif:1876-2287,2483901,210.867,63,255,1623,942,1329,1869,0.763,1.406,0.711,1
5,M42389-1-E.tif:1525-1273,1185885,209.053,75,253,726,984,1095,1083,0.785,1.011,0.989,1
6,M42389-1-E.tif:2442-1671,99072,208.676,83,255,1479,2313,384,258,0.755,1.488,0.672,1
7,M42389-1-E.tif:3804-2871,180612,191.532,28,254,2352,3717,1038,174,0.386,5.966,0.168,1
