frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
65,M40628-1-E.tif:2247-2982,29748,181.332,23,243,2908,2147,148,201,0.767,1.358,0.736,1.000
66,M40628-1-E.tif:2627-2484,271920,178.104,1,255,2227,2363,515,528,0.785,1.025,0.975,1.000
67,M40628-1-E.tif:2434-2026,43424,171.137,29,243,1934,2316,184,236,0.773,1.283,0.780,1.000
68,M40628-1-E.tif:2518-1712,159950,196.394,17,247,1537,2290,350,457,0.772,1.306,0.766,1.000
69,M40628-1-E.tif:2590-1312,171028,185.194,10,247,1163,2304,299,572,0.708,1.913,0.523,1.000
70,M40628-1-E.tif:2570-0956,255375,184.443,18,242,769,2230,375,681,0.719,1.816,0.551,1.000
71,M40628-1-E.tif:2634-0500,373428,178.936,0,255,302,2163,396,943,0.654,2.381,0.420,1.000
72,M40628-1-E.tif:3006-0902,63360,163.138,14,236,737,2910,330,192,0.731,1.719,0.582,1.000
73,M40628-1-E.tif:3011-1286,128480,187.894,13,244,1110,2829,352,365,0.785,1.037,0.964,1.000
74,M40628-1-E.tif:3011-1584,87395,187.758,17,244,1471,2819,227,385,0.733,1.696,0.590,1.000
75,M40628-1-E.tif:3176-1958,304024,192.605,16,249,1745,2820,427,712,0.736,1.667,0.600,1.000
76,M40628-1-E.tif:3236-2395,132066,186.097,21,244,2269,2975,253,522,0.691,2.063,0.485,1.000
77,M40628-1-E.tif:3040-2926,154791,202.863,32,246,2706,2865,441,351,0.775,1.256,0.796,1.000
78,M40628-1-E.tif:2663-3336,483654,195.797,10,250,2795,2440,1082,447,0.650,2.421,0.413,1.000
79,M40628-1-E.tif:2948-3894,56225,193.377,28,249,3732,2862,325,173,0.712,1.879,0.532,1.000
80,M40628-1-E.tif:3104-4273,256022,163.135,19,246,4044,2825,458,559,0.778,1.221,0.819,1.000
81,M40628-1-E.tif:3177-4800,547400,196.152,12,254,4513,2701,575,952,0.738,1.656,0.604,1.000
82,M40628-1-E.tif:3541-5363,136888,164.796,29,244,5122,3399,482,284,0.733,1.697,0.589,1.000
83,M40628-1-E.tif:3201-5618,1092765,182.597,2,255,5203,2544,831,1315,0.745,1.582,0.632,1.000
84,M40628-1-E.tif:4099-5747,151158,145.019,27,250,5541,3916,413,366,0.783,1.128,0.886,1.000
85,M40628-1-E.tif:4187-5324,41000,186.492,0,235,5224,4085,200,205,0.785,1.025,0.976,1.000
86,M40628-1-E.tif:3990-5041,365540,181.240,0,242,4668,3745,746,490,0.752,1.522,0.657,1.000
87,M40628-1-E.tif:3939-4371,305270,186.045,29,246,4200,3494,343,890,0.631,2.595,0.385,1.000
88,M40628-1-E.tif:3870-3990,276381,190.532,16,247,3830,3440,321,861,0.621,2.682,0.373,1.000
89,M40628-1-E.tif:4010-3451,313025,164.755,0,255,3122,3773,659,475,0.765,1.387,0.721,1.000
90,M40628-1-E.tif:4012-2775,308448,189.752,20,246,2503,3729,544,567,0.785,1.042,0.959,1.000
91,M40628-1-E.tif:3657-2461,80290,185.061,28,247,2306,3528,310,259,0.779,1.197,0.835,1.000
92,M40628-1-E.tif:3448-2065,82532,202.437,19,246,1971,3229,188,439,0.660,2.335,0.428,1.000
93,M40628-1-E.tif:3755-1795,116610,205.118,3,248,1623,3586,345,338,0.785,1.021,0.980,1.000
94,M40628-1-E.tif:4077-2206,170515,193.057,0,247,2039,3823,335,509,0.752,1.519,0.658,1.000
95,M40628-1-E.tif:4126-1784,107578,179.861,28,246,1604,3977,361,298,0.778,1.211,0.825,1.000
96,M40628-1-E.tif:4029-1384,205660,203.029,1,255,1202,3747,364,565,0.749,1.552,0.644,1.000
97,M40628-1-E.tif:4127-1009,109996,191.500,41,244,881,3913,257,428,0.736,1.665,0.600,1.000
98,M40628-1-E.tif:3523-1237,373380,171.746,17,247,870,3269,735,508,0.759,1.447,0.691,1.000
99,M40628-1-E.tif:3608-0627,420300,177.131,3,255,402,3141,450,934,0.689,2.076,0.482,1.000
100,M40628-1-E.tif:4208-0600,63030,163.081,18,232,435,4113,330,191,0.729,1.728,0.579,1.000
101,M40628-1-E.tif:3327-3526,647925,194.983,12,253,3129,2920,795,815,0.785,1.025,0.975,1.000
102,M40628-1-E.tif:3509-2915,167076,171.406,0,243,2686,3327,459,364,0.775,1.261,0.793,1.000
