frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M40962-1-E.tif:0884-3420,1184848,205.849,0,255,2824,387,1192,994,0.779,1.199,0.834,1.000
2,M40962-1-E.tif:1555-3979,285152,189.059,0,255,3713,1287,532,536,0.785,1.008,0.993,1.000
3,M40962-1-E.tif:1708-3385,527488,209.348,0,255,2969,1391,832,634,0.771,1.312,0.762,1.000
4,M40962-1-E.tif:2669-3488,2313432,216.223,0,255,2729,1907,1518,1524,0.785,1.004,0.996,1.000
5,M40962-1-E.tif:1435-2459,897440,218.726,0,255,2175,645,568,1580,0.611,2.782,0.359,1.000
6,M40962-1-E.tif:1082-1385,1692432,201.793,0,255,557,571,1656,1022,0.741,1.620,0.617,1.000
7,M40962-1-E.tif:2074-1857,827008,199.619,0,255,1441,1577,832,994,0.779,1.195,0.837,1.000
8,M40962-1-E.tif:1995-0844,952224,207.783,0,255,298,1559,1092,872,0.776,1.252,0.799,1.000
9,M40962-1-E.tif:2820-0776,655944,211.953,0,255,414,2367,724,906,0.776,1.251,0.799,1.000
10,M40962-1-E.tif:2843-1448,233520,210.105,0,255,1170,2633,556,420,0.770,1.324,0.755,1.000
11,M40962-1-E.tif:2933-2080,245872,203.177,3,255,1826,2691,508,484,0.785,1.050,0.953,1.000
12,M40962-1-E.tif:3798-0907,956340,215.433,0,255,412,3315,990,966,0.785,1.025,0.976,1.000
13,M40962-1-E.tif:3673-1799,594048,205.358,2,255,1442,3257,714,832,0.781,1.165,0.858,1.000
14,M40962-1-E.tif:3607-2704,1382240,219.834,0,255,2174,2955,1060,1304,0.777,1.230,0.813,1.000
15,M40962-1-E.tif:3774-3629,1247420,212.633,0,255,2986,3289,1286,970,0.770,1.326,0.754,1.000
16,M40962-1-E.tif:4824-3980,298936,214.414,0,255,3822,4351,316,946,0.590,2.994,0.334,1.000
17,M40962-1-E.tif:5733-3777,253080,227.658,8,255,3444,5543,666,380,0.727,1.753,0.571,1.000
18,M40962-1-E.tif:5173-3060,1633280,209.668,0,255,2422,4533,1276,1280,0.785,1.003,0.997,1.000
19,M40962-1-E.tif:5141-1471,3921372,184.169,0,255,243,4343,2457,1596,0.750,1.539,0.650,1.000
20,M40962-1-E.tif:5924-2802,149688,200.692,0,255,2208,5861,1188,126,0.272,9.429,0.106,1.000
