 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43283.tif:1037-5129,213248,181.199,36,233,4857,841,544,392,613.838,442.325,0,0.765,1.388,0.721,1.000
2,M43283.tif:0716-4656,151294,192.757,78,228,4392,573,529,286,596.913,322.716,0,0.716,1.850,0.541,1.000
3,M43283.tif:0700-4259,84152,190.280,42,227,4102,566,314,268,354.311,302.406,0,0.780,1.172,0.854,1.000
4,M43283.tif:0715-3981,70924,180.699,74,229,3832,596,298,238,336.257,268.554,0,0.776,1.252,0.799,1.000
5,M43283.tif:0985-3606,179490,183.359,61,233,3374,792,465,386,524.696,435.554,0,0.779,1.205,0.830,1.000
6,M43283.tif:1002-3385,121716,178.461,62,236,3238,795,294,414,467.149,331.743,90,0.763,1.408,0.710,1.000
7,M43283.tif:1631-2438,345420,164.765,20,239,2096,1379,684,505,771.811,569.831,0,0.768,1.354,0.738,1.000
8,M43283.tif:1737-2930,128592,167.642,39,238,2648,1623,564,228,636.406,257.270,0,0.644,2.474,0.404,1.000
9,M43283.tif:1983-2976,144348,151.488,37,231,2715,1845,523,276,590.142,311.433,0,0.710,1.895,0.528,1.000
10,M43283.tif:2246-2848,247878,149.380,15,237,2425,2100,846,293,954.609,330.615,0,0.600,2.887,0.346,1.000
11,M43283.tif:2480-2954,273150,129.965,8,230,2651,2255,607,450,684.926,507.771,0,0.768,1.349,0.741,1.000
12,M43283.tif:2806-2946,122892,131.921,8,229,2677,2692,539,228,608.196,257.270,0,0.656,2.364,0.423,1.000
13,M43283.tif:2979-2889,166648,152.528,17,231,2608,2831,563,296,635.277,334.000,0,0.710,1.902,0.526,1.000
14,M43283.tif:3119-2930,39762,162.143,42,220,2789,3049,282,141,318.203,159.101,0,0.698,2.000,0.500,1.000
15,M43283.tif:3012-3397,199584,173.505,33,232,3073,2858,648,308,731.190,347.541,0,0.686,2.104,0.475,1.000
16,M43283.tif:3326-3569,159185,192.866,75,233,3368,3129,403,395,454.737,445.710,0,0.785,1.020,0.980,1.000
17,M43283.tif:3207-4661,1016346,183.087,26,235,3934,2858,1454,699,1640.663,788.737,0,0.689,2.080,0.481,1.000
18,M43283.tif:2718-4781,873600,156.809,5,241,4261,2057,1040,840,1173.514,947.839,0,0.777,1.238,0.808,1.000
19,M43283.tif:3416-2851,133030,175.606,26,232,2600,3284,502,265,566.446,299.020,0,0.710,1.894,0.528,1.000
20,M43283.tif:2540-1535,610500,129.507,0,234,1073,2210,925,660,1043.751,744.730,0,0.763,1.402,0.714,1.000
21,M43283.tif:2399-0910,57730,141.895,26,229,795,2274,230,251,283.223,259.527,90,0.784,1.091,0.916,1.000
22,M43283.tif:2050-1795,19418,192.893,78,227,1729,1977,133,146,164.743,150.074,90,0.784,1.098,0.911,1.000
23,M43283.tif:1957-1981,108160,176.061,46,234,1773,1827,416,260,469.406,293.379,0,0.744,1.600,0.625,1.000
24,M43283.tif:1912-1327,779957,165.855,16,236,823,1526,1009,773,1138.535,872.237,0,0.772,1.305,0.766,1.000
25,M43283.tif:2944-0903,147180,157.711,8,227,738,2721,330,446,503.257,372.365,90,0.768,1.352,0.740,1.000
26,M43283.tif:2476-3588,83968,161.371,46,234,3460,2312,256,328,370.108,288.865,90,0.773,1.281,0.780,1.000
27,M43283.tif:2759-3567,108504,204.091,89,242,3369,2622,396,274,446.838,309.176,0,0.759,1.445,0.692,1.000
28,M43283.tif:3840-3222,197568,190.011,11,239,2718,3742,1008,196,1137.406,221.162,0,0.428,5.143,0.194,1.000
