frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41985-1-E.tif:0685-1872,38135,182.040,79,244,1800,554,145,263,0.720,1.814,0.551,1.000
2,M41985-1-E.tif:0668-1554,56163,180.425,34,252,1458,523,193,291,0.753,1.508,0.663,1.000
3,M41985-1-E.tif:1000-1553,52658,181.527,72,250,1437,887,233,226,0.785,1.031,0.970,1.000
4,M41985-1-E.tif:0987-1894,23562,179.863,79,251,1801,924,187,126,0.756,1.484,0.674,1.000
5,M41985-1-E.tif:1308-1898,87516,177.083,70,255,1745,1165,306,286,0.785,1.070,0.935,1.000
6,M41985-1-E.tif:1243-1567,35639,202.831,81,253,1454,1165,227,157,0.759,1.446,0.692,1.000
7,M41985-1-E.tif:1472-1492,84234,183.216,81,255,1284,1371,417,202,0.691,2.064,0.484,1.000
8,M41985-1-E.tif:1715-1921,69552,179.099,83,246,1818,1547,207,336,0.741,1.623,0.616,1.000
9,M41985-1-E.tif:1748-1551,19044,183.380,95,251,1482,1679,138,138,0.785,1.000,1.000,1.000
10,M41985-1-E.tif:1820-1313,28060,180.540,50,243,1252,1705,122,230,0.711,1.885,0.530,1.000
11,M41985-1-E.tif:1515-1131,51480,187.019,73,251,1032,1385,198,260,0.771,1.313,0.762,1.000
12,M41985-1-E.tif:1487-0887,18260,168.708,71,235,832,1404,110,166,0.753,1.509,0.663,1.000
13,M41985-1-E.tif:1800-0894,14410,169.090,60,236,839,1735,110,131,0.779,1.191,0.840,1.000
14,M41985-1-E.tif:1820-1076,14112,165.933,87,241,1027,1748,98,144,0.757,1.469,0.681,1.000
15,M41985-1-E.tif:2069-0862,37213,182.131,80,254,763,1976,199,187,0.785,1.064,0.940,1.000
16,M41985-1-E.tif:2106-1133,15200,184.093,84,248,1095,2006,76,200,0.627,2.632,0.380,1.000
17,M41985-1-E.tif:2139-1286,25875,179.185,74,243,1229,2027,115,225,0.703,1.957,0.511,1.000
18,M41985-1-E.tif:2231-1580,38502,173.883,81,243,1441,2162,279,138,0.696,2.022,0.495,1.000
19,M41985-1-E.tif:2229-1949,15696,186.667,93,247,1840,2193,218,72,0.586,3.028,0.330,1.000
20,M41985-1-E.tif:2032-1921,23393,187.870,90,252,1847,1954,149,157,0.785,1.054,0.949,1.000
21,M41985-1-E.tif:1983-1579,23961,172.207,91,244,1498,1910,163,147,0.783,1.109,0.902,1.000
22,M41985-1-E.tif:0926-1053,485604,186.219,64,255,771,496,564,861,0.751,1.527,0.655,1.000
23,M41985-1-E.tif:2493-1324,75192,177.848,51,255,963,2441,723,104,0.345,6.952,0.144,1.000
