frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43308-100.tif:0478-1166,20580,197.848,97,220,1096,405,140,147,0.785,1.05,0.952,1
2,M43308-100.tif:0583-0771,189540,193.325,78,243,537,381,468,405,0.781,1.156,0.865,1
3,M43308-100.tif:0968-0607,68256,177.792,73,227,449,860,316,216,0.758,1.463,0.684,1
4,M43308-100.tif:0926-0914,53000,185.575,76,216,814,794,200,265,0.77,1.325,0.755,1
5,M43308-100.tif:0941-1201,54524,189.425,78,224,1043,855,317,172,0.716,1.843,0.543,1
6,M43308-100.tif:1280-1241,88452,181.234,74,218,1120,1098,243,364,0.754,1.498,0.668,1
7,M43308-100.tif:1298-0946,93600,185.985,74,228,790,1148,312,300,0.785,1.04,0.962,1
8,M43308-100.tif:1198-0750,5760,180.485,77,202,720,1150,60,96,0.744,1.6,0.625,1
9,M43308-100.tif:1206-0573,16906,184.21,74,204,494,1153,158,107,0.756,1.477,0.677,1
10,M43308-100.tif:1395-0604,21896,186.468,84,240,512,1336,184,119,0.749,1.546,0.647,1
11,M43308-100.tif:1560-0605,13000,177.819,78,222,543,1508,125,104,0.779,1.202,0.832,1
12,M43308-100.tif:1562-0776,6528,183.372,81,207,742,1514,68,96,0.763,1.412,0.708,1
13,M43308-100.tif:1570-0938,5168,189.673,99,206,900,1536,76,68,0.783,1.118,0.895,1
14,M43308-100.tif:1561-1099,4189,186.28,95,204,1070,1526,59,71,0.779,1.203,0.831,1
15,M43308-100.tif:1566-1247,3705,177.656,86,203,1215,1538,65,57,0.782,1.14,0.877,1
16,M43308-100.tif:1743-0901,12669,178.417,79,255,747,1723,309,41,0.325,7.537,0.133,1
