frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42400-1-E.tif:1383-3814,614916,192.401,38,243,3539,825,551,1116,0.695,2.025,0.494,1
2,M42400-1-E.tif:2000-3897,5460,161.171,50,219,3862,1961,70,78,0.783,1.114,0.897,1
3,M42400-1-E.tif:2111-4033,239860,167.418,22,239,3854,1803,358,670,0.713,1.872,0.534,1
4,M42400-1-E.tif:2263-4385,711312,177.454,19,252,3979,1827,812,876,0.784,1.079,0.927,1
5,M42400-1-E.tif:2288-4687,104293,183.946,32,239,4529,2124,317,329,0.785,1.038,0.964,1
6,M42400-1-E.tif:2832-3892,138320,182.343,49,240,3740,2605,304,455,0.754,1.497,0.668,1
7,M42400-1-E.tif:3113-4218,1188770,187.175,7,247,3683,2627,1070,1111,0.785,1.038,0.963,1
8,M42400-1-E.tif:2442-3675,310812,186.768,37,246,3456,2088,439,708,0.742,1.613,0.62,1
9,M42400-1-E.tif:2312-3462,210210,172.076,37,248,3217,2098,490,429,0.782,1.142,0.876,1
10,M42400-1-E.tif:2851-2931,416611,189.355,38,252,2712,2377,439,949,0.679,2.162,0.463,1
11,M42400-1-E.tif:2990-1979,2661743,194.243,0,255,1184,2154,1591,1673,0.785,1.052,0.951,1
12,M42400-1-E.tif:2541-1818,51510,184.453,45,244,1717,2414,202,255,0.775,1.262,0.792,1
13,M42400-1-E.tif:2401-1501,37265,160,0,238,1429,2273,145,257,0.724,1.772,0.564,1
14,M42400-1-E.tif:2208-1232,202530,160.398,22,242,1017,1973,430,471,0.784,1.095,0.913,1
15,M42400-1-E.tif:2830-1206,42658,144.251,38,222,1129,2692,154,277,0.721,1.799,0.556,1
16,M42400-1-E.tif:2627-1030,253924,141.484,19,228,831,2308,398,638,0.743,1.603,0.624,1
17,M42400-1-E.tif:2529-0897,21920,146.811,35,219,829,2449,137,160,0.781,1.168,0.856,1
18,M42400-1-E.tif:2425-0809,19188,173.795,54,231,770,2302,78,246,0.574,3.154,0.317,1
19,M42400-1-E.tif:2365-0906,23474,159.094,27,234,846,2268,121,194,0.743,1.603,0.624,1
20,M42400-1-E.tif:3358-1115,868819,188.476,16,240,699,2837,833,1043,0.776,1.252,0.799,1
21,M42400-1-E.tif:3953-2927,170859,203.588,43,253,2422,3869,1011,169,0.385,5.982,0.167,1
