frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42373-1-E.tif:1371-3091,251940,160.141,13,232,2836,1124,510,494,0.785,1.032,0.969,1.000
2,M42373-1-E.tif:2125-3016,310456,179.705,15,250,2714,1868,604,514,0.780,1.175,0.851,1.000
3,M42373-1-E.tif:3225-2153,3722556,188.990,0,250,464,2674,3378,1102,0.583,3.065,0.326,1.000
4,M42373-1-E.tif:4272-1125,156992,190.629,26,237,902,4096,446,352,0.775,1.267,0.789,1.000
5,M42373-1-E.tif:4773-1146,137592,171.346,23,223,912,4626,468,294,0.744,1.592,0.628,1.000
6,M42373-1-E.tif:4325-1971,236700,185.009,17,234,1708,4100,526,450,0.781,1.169,0.856,1.000
7,M42373-1-E.tif:4637-2809,198588,169.255,31,244,2562,4436,494,402,0.777,1.229,0.814,1.000
8,M42373-1-E.tif:4222-3170,433024,180.740,22,251,2772,3950,796,544,0.758,1.463,0.683,1.000
9,M42373-1-E.tif:5327-2112,136144,172.409,3,247,1604,5260,1016,134,0.323,7.582,0.132,1.000
