frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43296-1-C.tif:1311-2099,112332,203.799,44,246,1896,1173,407,276,0.757,1.475,0.678,1
2,M43296-1-C.tif:1481-2043,10272,195.611,62,239,1990,1433,107,96,0.783,1.115,0.897,1
3,M43296-1-C.tif:1535-2174,57960,196.665,43,246,2013,1445,322,180,0.723,1.789,0.559,1
4,M43296-1-C.tif:1691-2026,18318,187.205,47,243,1955,1627,142,129,0.784,1.101,0.908,1
5,M43296-1-C.tif:1678-2166,43758,194.994,42,246,2049,1585,234,187,0.776,1.251,0.799,1
6,M43296-1-C.tif:1844-2092,36278,193.161,36,246,1999,1747,187,194,0.785,1.037,0.964,1
7,M43296-1-C.tif:2160-2109,58656,180.409,38,246,2005,2019,208,282,0.767,1.356,0.738,1
8,M43296-1-C.tif:2172-2014,3870,155.451,55,215,1992,2129,45,86,0.708,1.911,0.523,1
9,M43296-1-C.tif:2387-2121,25610,171.339,40,241,2056,2289,130,197,0.752,1.515,0.66,1
10,M43296-1-C.tif:2380-2182,30932,183.601,40,244,2108,2276,148,209,0.762,1.412,0.708,1
11,M43296-1-C.tif:2629-2098,35310,210.68,55,245,1991,2547,214,165,0.772,1.297,0.771,1
12,M43296-1-C.tif:2362-0951,1126642,157.547,17,249,495,1745,913,1234,0.768,1.352,0.74,1
13,M43296-1-C.tif:2473-1364,63480,158.711,32,245,1249,2335,230,276,0.779,1.2,0.833,1
14,M43296-1-C.tif:2007-1521,128115,176.579,32,247,1193,1910,657,195,0.554,3.369,0.297,1
15,M43296-1-C.tif:1294-1087,227906,209.691,48,246,832,1071,511,446,0.782,1.146,0.873,1
16,M43296-1-C.tif:1225-0774,12963,199.584,72,241,700,1182,149,87,0.731,1.713,0.584,1
17,M43296-1-C.tif:1537-0696,62663,202.177,36,240,556,1426,281,223,0.775,1.26,0.794,1
18,M43296-1-C.tif:1844-0751,154536,154.32,30,242,563,1639,376,411,0.784,1.093,0.915,1
19,M43296-1-C.tif:3278-1316,55536,183.124,30,246,1004,3234,624,89,0.343,7.011,0.143,1
