frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41984-1-E.tif:0958-3019,479577,200.414,0,251,2741,528,557,861,0.749,1.546,0.647,1.000
2,M41984-1-E.tif:0702-2523,55680,202.431,71,252,2427,557,192,290,0.753,1.510,0.662,1.000
3,M41984-1-E.tif:0715-2206,38425,206.656,80,251,2134,583,145,265,0.718,1.828,0.547,1.000
4,M41984-1-E.tif:1020-2184,23375,196.780,22,251,2091,958,187,125,0.754,1.496,0.668,1.000
5,M41984-1-E.tif:1032-2524,51520,201.241,67,251,2409,920,230,224,0.785,1.027,0.974,1.000
6,M41984-1-E.tif:1274-2510,36320,203.658,74,249,2397,1194,227,160,0.762,1.419,0.705,1.000
7,M41984-1-E.tif:1339-2181,87840,197.547,63,248,2029,1195,305,288,0.785,1.059,0.944,1.000
8,M41984-1-E.tif:1747-2156,69759,195.509,88,244,2053,1579,207,337,0.741,1.628,0.614,1.000
9,M41984-1-E.tif:1504-2584,84032,197.284,76,251,2376,1403,416,202,0.691,2.059,0.486,1.000
10,M41984-1-E.tif:1548-2943,51220,199.910,57,249,2845,1418,197,260,0.770,1.320,0.758,1.000
11,M41984-1-E.tif:1519-3186,18592,187.450,53,241,3130,1436,112,166,0.756,1.482,0.675,1.000
12,M41984-1-E.tif:1831-3179,14336,187.107,57,244,3123,1767,112,128,0.782,1.143,0.875,1.000
13,M41984-1-E.tif:1848-2998,14355,182.622,62,242,2949,1776,99,145,0.757,1.465,0.683,1.000
14,M41984-1-E.tif:1852-2762,28413,194.327,75,248,2701,1737,123,231,0.712,1.878,0.532,1.000
15,M41984-1-E.tif:1780-2526,18769,190.011,71,245,2458,1712,137,137,0.785,1.000,1.000,1.000
16,M41984-1-E.tif:2065-2158,23864,196.082,101,250,2082,1987,152,157,0.785,1.033,0.968,1.000
17,M41984-1-E.tif:2016-2497,24138,199.455,0,255,2416,1942,162,149,0.784,1.087,0.920,1.000
18,M41984-1-E.tif:2260-2128,16644,185.725,48,241,2019,2222,219,76,0.601,2.882,0.347,1.000
19,M41984-1-E.tif:2260-2496,38364,193.139,76,248,2358,2191,276,139,0.700,1.986,0.504,1.000
20,M41984-1-E.tif:2172-2788,25312,196.922,98,239,2732,2060,113,224,0.700,1.982,0.504,1.000
21,M41984-1-E.tif:2135-2940,15246,202.229,103,246,2902,2036,77,198,0.633,2.571,0.389,1.000
22,M41984-1-E.tif:2098-3211,36064,195.694,80,248,3113,2006,196,184,0.785,1.065,0.939,1.000
23,M41984-1-E.tif:2602-2812,67304,193.577,9,252,2454,2555,716,94,0.322,7.617,0.131,1.000
