 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M42421.tif:0513-5039,136213,173.354,55,230,4880,300,319,427,481.818,359.953,90,0.769,1.339,0.747,1.000
2,M42421.tif:0964-4206,355752,166.923,32,236,3882,690,648,549,731.190,619.480,0,0.780,1.180,0.847,1.000
3,M42421.tif:0839-3595,62790,168.300,58,232,3480,703,230,273,308.048,259.527,90,0.780,1.187,0.842,1.000
4,M42421.tif:1126-3657,39620,159.128,57,230,3516,1056,283,140,319.331,157.973,0,0.696,2.021,0.495,1.000
5,M42421.tif:0867-2941,124200,185.508,92,233,2711,732,460,270,519.054,304.662,0,0.732,1.704,0.587,1.000
6,M42421.tif:0878-2375,62790,181.013,68,231,2260,742,230,273,308.048,259.527,90,0.780,1.187,0.842,1.000
7,M42421.tif:0964-1898,151424,164.930,10,231,1729,740,338,448,505.514,381.392,90,0.770,1.325,0.754,1.000
8,M42421.tif:0888-1380,115824,188.281,79,236,1190,736,381,304,429.912,343.027,0,0.775,1.253,0.798,1.000
9,M42421.tif:1449-1774,269472,170.899,50,238,1438,1249,672,401,758.271,452.480,0,0.735,1.676,0.597,1.000
10,M42421.tif:1840-1587,12528,195.663,119,231,1533,1782,108,116,130.892,121.865,90,0.784,1.074,0.931,1.000
11,M42421.tif:2059-1562,14840,184.523,108,234,1492,2006,140,106,157.973,119.608,0,0.770,1.321,0.757,1.000
12,M42421.tif:2412-1552,164772,201.919,98,237,1345,2213,414,398,467.149,449.095,0,0.785,1.040,0.961,1.000
13,M42421.tif:2706-2242,104750,213.408,122,239,2033,2581,419,250,472.791,282.095,0,0.735,1.676,0.597,1.000
14,M42421.tif:2796-2828,39054,195.838,104,237,2687,2727,283,138,319.331,155.716,0,0.692,2.051,0.488,1.000
15,M42421.tif:2793-3348,79072,202.365,133,240,3172,2681,353,224,398.318,252.757,0,0.746,1.576,0.635,1.000
16,M42421.tif:2737-3737,12328,211.262,176,235,3691,2670,92,134,151.203,103.811,90,0.758,1.457,0.687,1.000
17,M42421.tif:2850-4119,185922,196.011,89,242,3806,2702,626,297,706.365,335.129,0,0.686,2.108,0.474,1.000
18,M42421.tif:2910-4879,122400,182.435,74,237,4607,2798,544,225,613.838,253.885,0,0.650,2.418,0.414,1.000
19,M42421.tif:2165-4690,689688,191.887,28,253,4227,1793,927,744,1046.007,839.514,0,0.776,1.246,0.803,1.000
20,M42421.tif:2113-3663,269670,182.998,73,237,3360,1891,606,445,683.798,502.129,0,0.767,1.362,0.734,1.000
21,M42421.tif:2062-2952,121929,188.542,73,237,2743,1917,419,291,472.791,328.358,0,0.760,1.440,0.695,1.000
22,M42421.tif:2512-2905,15228,187.014,104,234,2811,2472,188,81,212.135,91.399,0,0.661,2.321,0.431,1.000
23,M42421.tif:2038-2208,136125,182.976,77,235,1961,1901,495,275,558.548,310.304,0,0.721,1.800,0.556,1.000
24,M42421.tif:1680-2733,59356,187.759,91,232,2591,1576,284,209,320.460,235.831,0,0.767,1.359,0.736,1.000
25,M42421.tif:1651-3275,87954,170.973,71,235,3070,1544,411,214,463.764,241.473,0,0.707,1.921,0.521,1.000
26,M42421.tif:1556-3762,55860,168.509,50,235,3640,1442,245,228,276.453,257.270,0,0.784,1.075,0.931,1.000
27,M42421.tif:1516-4313,84315,171.812,64,234,4121,1407,385,219,434.426,247.115,0,0.726,1.758,0.569,1.000
28,M42421.tif:1446-4957,112646,191.083,69,237,4806,1260,302,373,420.885,340.771,90,0.777,1.235,0.810,1.000
29,M42421.tif:1278-3024,168668,194.382,79,238,2741,1129,566,298,638.663,336.257,0,0.710,1.899,0.527,1.000
30,M42421.tif:1347-2411,45076,168.711,61,231,2316,1229,191,236,266.297,215.520,90,0.777,1.236,0.809,1.000
31,M42421.tif:3805-3205,165445,214.009,78,249,2698,3724,1015,163,1145.305,183.926,0,0.375,6.227,0.161,1.000
