frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43409-1-E.tif:1138-3428,270297,201.223,4,245,3217,819,423,639,0.753,1.511,0.662,1.000
2,M43409-1-E.tif:1182-2923,205220,200.578,25,250,2768,851,310,662,0.682,2.135,0.468,1.000
3,M43409-1-E.tif:1068-2349,185322,208.595,17,246,2119,867,461,402,0.782,1.147,0.872,1.000
4,M43409-1-E.tif:1042-1747,79566,209.771,36,245,1598,909,298,267,0.783,1.116,0.896,1.000
5,M43409-1-E.tif:1045-1316,84424,211.212,60,246,1194,872,244,346,0.762,1.418,0.705,1.000
6,M43409-1-E.tif:0989-0882,58000,199.257,32,245,782,844,200,290,0.759,1.450,0.690,1.000
7,M43409-1-E.tif:1523-0901,46284,218.103,39,246,800,1409,203,228,0.783,1.123,0.890,1.000
8,M43409-1-E.tif:1542-1315,62667,213.856,50,247,1167,1437,297,211,0.763,1.408,0.710,1.000
9,M43409-1-E.tif:1586-1735,58330,215.040,46,251,1582,1491,307,190,0.742,1.616,0.619,1.000
10,M43409-1-E.tif:1554-1984,66000,200.783,22,245,1834,1444,300,220,0.767,1.364,0.733,1.000
11,M43409-1-E.tif:1585-2403,49324,201.977,43,247,2299,1467,209,236,0.783,1.129,0.886,1.000
12,M43409-1-E.tif:1865-3522,107892,196.307,29,245,3401,1643,243,444,0.718,1.827,0.547,1.000
13,M43409-1-E.tif:1845-3156,60102,198.949,8,244,3077,1656,159,378,0.655,2.377,0.421,1.000
14,M43409-1-E.tif:1823-2801,49324,204.350,32,244,2683,1719,236,209,0.783,1.129,0.886,1.000
15,M43409-1-E.tif:2084-0837,67200,208.340,5,248,750,1892,175,384,0.676,2.194,0.456,1.000
16,M43409-1-E.tif:2099-1144,83600,211.450,40,248,1040,1899,209,400,0.708,1.914,0.523,1.000
17,M43409-1-E.tif:2121-1509,91147,212.623,25,250,1408,1897,203,449,0.674,2.212,0.452,1.000
18,M43409-1-E.tif:2112-1962,151525,209.227,57,248,1803,1875,319,475,0.755,1.489,0.672,1.000
19,M43409-1-E.tif:2014-2474,20636,198.393,33,244,2407,1937,134,154,0.782,1.149,0.870,1.000
20,M43409-1-E.tif:2332-2517,19584,209.478,65,247,2453,2256,128,153,0.779,1.195,0.837,1.000
21,M43409-1-E.tif:2289-2880,25628,204.589,78,245,2794,2215,172,149,0.781,1.154,0.866,1.000
22,M43409-1-E.tif:2329-3212,27324,193.311,39,244,3109,2263,207,132,0.747,1.568,0.638,1.000
23,M43409-1-E.tif:2314-3563,19734,194.676,36,240,3492,2245,143,138,0.785,1.036,0.965,1.000
24,M43409-1-E.tif:2687-1038,130698,215.345,66,251,879,2482,318,411,0.773,1.292,0.774,1.000
25,M43409-1-E.tif:2722-1538,65378,211.915,69,248,1441,2554,194,337,0.728,1.737,0.576,1.000
26,M43409-1-E.tif:2825-2145,278390,212.661,35,249,1940,2486,410,679,0.737,1.656,0.604,1.000
27,M43409-1-E.tif:2802-2691,124740,208.882,47,249,2529,2610,324,385,0.780,1.188,0.842,1.000
28,M43409-1-E.tif:2710-3372,153140,207.305,32,247,3125,2555,494,310,0.744,1.594,0.628,1.000
29,M43409-1-E.tif:3589-3274,810144,206.504,30,246,2886,3067,776,1044,0.768,1.345,0.743,1.000
30,M43409-1-E.tif:3454-2493,192128,203.585,41,248,2335,3150,316,608,0.707,1.924,0.520,1.000
31,M43409-1-E.tif:3683-1885,317312,213.880,35,250,1589,3415,592,536,0.783,1.104,0.905,1.000
32,M43409-1-E.tif:3363-1082,523362,220.827,13,255,716,3006,733,714,0.785,1.027,0.974,1.000
33,M43409-1-E.tif:4262-0905,81900,209.011,47,250,808,4052,195,420,0.680,2.154,0.464,1.000
34,M43409-1-E.tif:4812-0907,104615,212.406,54,248,785,4599,245,427,0.728,1.743,0.574,1.000
35,M43409-1-E.tif:4557-1541,381312,211.135,8,249,1253,4226,576,662,0.782,1.149,0.870,1.000
36,M43409-1-E.tif:4520-2478,1031928,209.917,20,248,2040,3931,876,1178,0.768,1.345,0.744,1.000
37,M43409-1-E.tif:4700-3245,194768,198.885,28,246,3116,4324,259,752,0.599,2.903,0.344,1.000
38,M43409-1-E.tif:4809-3553,60775,189.331,35,243,3460,4647,187,325,0.728,1.738,0.575,1.000
39,M43409-1-E.tif:5386-2230,186480,180.510,6,245,1712,5296,1036,180,0.396,5.756,0.174,1.000
