frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43262-1-E.tif:1156-4777,68681,208.701,46,249,4691,958,173,397,0.664,2.295,0.436,1.000
2,M43262-1-E.tif:1442-4637,46184,197.174,28,251,4545,1317,184,251,0.767,1.364,0.733,1.000
3,M43262-1-E.tif:1568-4940,70400,209.219,39,250,4830,1408,220,320,0.758,1.455,0.688,1.000
4,M43262-1-E.tif:1220-4186,148338,207.949,14,252,3817,1120,738,201,0.529,3.672,0.272,1.000
5,M43262-1-E.tif:1556-3959,1473296,210.379,14,252,3198,1072,1522,968,0.747,1.572,0.636,1.000
6,M43262-1-E.tif:2331-4478,71600,190.413,33,245,4299,2231,358,200,0.722,1.790,0.559,1.000
7,M43262-1-E.tif:2164-4480,61424,205.113,40,252,4306,2076,349,176,0.700,1.983,0.504,1.000
8,M43262-1-E.tif:2378-4953,89232,197.783,19,251,4821,2209,264,338,0.774,1.280,0.781,1.000
9,M43262-1-E.tif:2876-4578,320292,204.594,19,250,4299,2589,558,574,0.785,1.029,0.972,1.000
10,M43262-1-E.tif:3052-1261,248283,208.274,36,251,980,2832,563,441,0.774,1.277,0.783,1.000
11,M43262-1-E.tif:1311-1217,341052,218.563,69,253,924,1020,586,582,0.785,1.007,0.993,1.000
12,M43262-1-E.tif:1291-1707,250652,214.322,56,253,1484,1010,446,562,0.775,1.260,0.794,1.000
13,M43262-1-E.tif:1295-1953,16128,208.349,65,248,1911,1199,84,192,0.665,2.286,0.438,1.000
14,M43262-1-E.tif:1526-2300,1027080,216.377,9,252,1895,892,810,1268,0.747,1.565,0.639,1.000
15,M43262-1-E.tif:3756-3107,211328,166.305,1,253,2599,3652,1016,208,0.443,4.885,0.205,1.000
