frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41454-1-E.tif:1189-4548,558516,197.358,39,240,4182,808,732,763,0.785,1.042,0.959,1
2,M41454-1-E.tif:0996-4107,83628,187.528,52,238,3956,858,303,276,0.784,1.098,0.911,1
3,M41454-1-E.tif:0826-4134,35308,192.731,66,241,4043,729,182,194,0.785,1.066,0.938,1
4,M41454-1-E.tif:1298-3594,197455,210.417,69,239,3399,1046,391,505,0.773,1.292,0.774,1
5,M41454-1-E.tif:1304-3289,179181,183.451,46,238,3096,1073,387,463,0.779,1.196,0.836,1
6,M41454-1-E.tif:1181-2681,225056,200.367,63,240,2473,911,416,541,0.772,1.3,0.769,1
7,M41454-1-E.tif:2746-1472,2058840,211.891,65,242,902,1843,1140,1806,0.745,1.584,0.631,1
8,M41454-1-E.tif:2807-2495,510760,218.163,105,242,2269,2242,452,1130,0.641,2.5,0.4,1
9,M41454-1-E.tif:2763-3119,587456,212.805,69,246,2851,2215,536,1096,0.693,2.045,0.489,1
10,M41454-1-E.tif:2384-3627,35750,217.807,132,242,3562,2247,130,275,0.685,2.115,0.473,1
11,M41454-1-E.tif:2379-3979,80196,201.181,70,240,3856,2216,246,326,0.77,1.325,0.755,1
12,M41454-1-E.tif:2934-3959,120558,212.866,98,244,3818,2721,283,426,0.753,1.505,0.664,1
13,M41454-1-E.tif:2600-4573,332100,204.771,66,239,4368,2195,410,810,0.701,1.976,0.506,1
14,M41454-1-E.tif:2421-4887,133980,208.977,68,239,4728,2211,319,420,0.771,1.317,0.76,1
15,M41454-1-E.tif:2817-4895,162180,199.804,71,236,4736,2562,318,510,0.743,1.604,0.624,1
16,M41454-1-E.tif:3479-4983,97940,199.849,91,236,4865,3272,236,415,0.726,1.758,0.569,1
17,M41454-1-E.tif:3552-4812,70840,198.405,77,237,4702,3391,220,322,0.758,1.464,0.683,1
18,M41454-1-E.tif:3555-4716,9152,207.46,108,234,4690,3467,52,176,0.553,3.385,0.295,1
19,M41454-1-E.tif:1232-1882,167926,204.96,64,242,1695,1008,374,449,0.779,1.201,0.833,1
20,M41454-1-E.tif:1285-1296,137775,202.445,70,236,1046,1148,501,275,0.719,1.822,0.549,1
21,M41454-1-E.tif:3843-3059,134000,218.748,95,244,2559,3776,1000,134,0.327,7.463,0.134,1
