frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42039-482.tif:0673-2794,65504,207.494,57,245,2705,489,178,368,0.690,2.067,0.484,1.000
2,M42039-482.tif:0758-2538,5200,205.371,154,238,2506,718,65,80,0.777,1.231,0.813,1.000
3,M42039-482.tif:0654-2523,58658,210.677,60,253,2384,549,278,211,0.771,1.318,0.759,1.000
4,M42039-482.tif:0643-2183,29750,210.779,78,250,2096,558,175,170,0.785,1.029,0.971,1.000
5,M42039-482.tif:0790-1513,621478,187.378,17,252,1062,446,902,689,0.771,1.309,0.764,1.000
6,M42039-482.tif:0826-0680,463104,134.376,13,234,392,424,576,804,0.764,1.396,0.716,1.000
7,M42039-482.tif:1442-0803,18724,198.716,70,237,741,1367,124,151,0.778,1.218,0.821,1.000
8,M42039-482.tif:1507-0500,49572,148.151,36,224,419,1354,162,306,0.711,1.889,0.529,1.000
9,M42039-482.tif:1700-0779,31464,187.927,50,235,694,1608,171,184,0.784,1.076,0.929,1.000
10,M42039-482.tif:1848-0522,23058,202.723,73,234,459,1757,126,183,0.759,1.452,0.689,1.000
11,M42039-482.tif:1995-0775,42028,177.663,40,226,696,1862,158,266,0.734,1.684,0.594,1.000
12,M42039-482.tif:2086-0575,16544,205.675,87,236,528,1998,94,176,0.713,1.872,0.534,1.000
13,M42039-482.tif:1120-2629,148400,182.573,38,255,2417,945,424,350,0.778,1.211,0.825,1.000
14,M42039-482.tif:1580-2719,57792,167.008,4,236,2633,1412,172,336,0.704,1.953,0.512,1.000
15,M42039-482.tif:1705-1726,1504648,183.611,23,255,1004,1184,1444,1042,0.765,1.386,0.722,1.000
16,M42039-482.tif:1584-3240,1837245,203.315,31,255,2843,429,795,2311,0.598,2.907,0.344,1.000
17,M42039-482.tif:2637-2182,77760,211.547,61,254,1822,2583,720,108,0.356,6.667,0.150,1.000
