frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43263-678.tif:2633-4690,236980,189.568,63,234,4401,2428,578,410,652.203,462.635,0,0.763,1.410,0.709,1.000
2,M43263-678.tif:2-3008-4684,119116,196.114,71,234,4591,2790,614,194,692.825,218.906,0,0.573,3.165,0.316,1.000
3,M43263-678.tif:3238-4973,432768,192.928,55,231,4581,2962,784,552,884.649,622.865,0,0.762,1.420,0.704,1.000
4,M43263-678.tif:2941-3885,37584,180.733,51,226,3769,2860,232,162,261.784,182.797,0,0.761,1.432,0.698,1.000
5,M43263-678.tif:3166-3866,28272,170.461,60,228,3773,3090,186,152,209.879,171.514,0,0.777,1.224,0.817,1.000
6,M43263-678.tif:1787-3081,915000,180.616,42,234,2471,1412,1220,750,1376.623,846.284,0,0.741,1.627,0.615,1.000
7,M43263-678.tif:2382-2693,18096,165.225,70,228,2615,2324,156,116,176.027,130.892,0,0.768,1.345,0.744,1.000
8,M43263-678.tif:2351-3265,454832,140.364,26,231,2741,2134,1048,434,1182.541,489.717,0,0.651,2.415,0.414,1.000
9,M43263-678.tif:2179-3316,40572,146.673,42,221,3109,2130,414,98,467.149,110.581,0,0.486,4.224,0.237,1.000
10,M43263-678.tif:2719-3245,406888,141.444,39,228,2683,2538,1124,362,1268.298,408.473,0,0.579,3.105,0.322,1.000
11,M43263-678.tif:3183-2959,555096,150.597,29,233,2501,2880,916,606,1033.595,683.798,0,0.753,1.512,0.662,1.000
12,M43263-678.tif:2994-3412,57720,166.514,47,226,3301,2864,222,260,293.379,250.500,90,0.781,1.171,0.854,1.000
13,M43263-678.tif:3324-3497,140896,185.214,50,233,3259,3176,476,296,537.108,334.000,0,0.743,1.608,0.622,1.000
14,M43263-678.tif:3051-2482,4292,165.661,63,227,2453,3014,58,74,83.500,65.446,90,0.774,1.276,0.784,1.000
15,M43263-678.tif:1637-2197,160056,188.418,60,236,1963,1466,468,342,528.081,385.906,0,0.766,1.368,0.731,1.000
16,M43263-678.tif:1344-1492,490504,199.121,63,239,1031,1078,922,532,1040.366,600.298,0,0.729,1.733,0.577,1.000
17,M43263-678.tif:1434-0921,59360,169.649,52,238,815,1294,212,280,315.946,239.216,90,0.770,1.321,0.757,1.000
18,M43263-678.tif:1887-1483,618120,174.254,8,239,973,1584,1020,606,1150.947,683.798,0,0.734,1.683,0.594,1.000
19,M43263-678.tif:2523-1525,808640,142.076,15,241,965,2162,1120,722,1263.785,814.690,0,0.749,1.551,0.645,1.000
20,M43263-678.tif:3171-1488,754860,181.438,47,236,941,2826,1094,690,1234.447,778.582,0,0.745,1.586,0.631,1.000
21,M43263-678.tif:3920-3206,174924,194.665,48,243,2698,3834,1017,172,1147.562,194.081,0,0.389,5.913,0.169,1.000
22,M43263-678.tif:3029-4389,176170,182.273,60,231,4166,2832,446,395,503.257,445.710,0,0.783,1.129,0.886,1.000
