frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43254-678.tif:1374-2259,1544549,189.720,17,248,1600,789,1319,1171,0.783,1.126,0.888,1.000
2,M43254-678.tif:2754-2270,2940444,183.835,5,250,1343,1961,1854,1586,0.781,1.169,0.855,1.000
3,M43254-678.tif:4319-2707,1057536,186.576,12,251,2299,3671,816,1296,0.745,1.588,0.630,1.000
4,M43254-678.tif:4529-3191,287648,181.916,21,240,2989,4173,404,712,0.726,1.762,0.567,1.000
5,M43254-678.tif:4440-1323,404096,171.046,9,244,1099,3989,448,902,0.697,2.013,0.497,1.000
6,M43254-678.tif:5283-2241,137632,134.903,0,242,1735,5215,1012,136,0.328,7.441,0.134,1.000
