frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41477-1-E.tif:1154-4977,139292,159.563,42,219,4798,960,359,388,0.784,1.081,0.925,1
2,M41477-1-E.tif:1211-4477,168840,173.259,49,230,4276,1001,402,420,0.785,1.045,0.957,1
3,M41477-1-E.tif:1071-3913,42994,170.034,65,222,3784,988,259,166,0.748,1.56,0.641,1
4,M41477-1-E.tif:1084-3447,107600,180.231,61,217,3247,950,400,269,0.755,1.487,0.673,1
5,M41477-1-E.tif:1165-2927,184465,178.305,58,229,2730,932,395,467,0.78,1.182,0.846,1
6,M41477-1-E.tif:1128-2356,82012,166.92,58,222,2154,1027,404,203,0.699,1.99,0.502,1
7,M41477-1-E.tif:1127-1844,86250,182.496,56,222,1729,940,230,375,0.74,1.63,0.613,1
8,M41477-1-E.tif:1108-1368,142695,165.378,48,222,1142,951,453,315,0.76,1.438,0.695,1
9,M41477-1-E.tif:1595-1072,297198,190.669,50,230,901,1161,342,869,0.637,2.541,0.394,1
10,M41477-1-E.tif:1617-1421,175560,182.8,61,223,1193,1425,456,385,0.78,1.184,0.844,1
11,M41477-1-E.tif:2073-1317,93177,174.147,70,224,1139,1943,357,261,0.766,1.368,0.731,1
12,M41477-1-E.tif:2385-1750,846396,180.003,50,234,1291,1924,918,922,0.785,1.004,0.996,1
13,M41477-1-E.tif:2958-1241,209808,177.323,53,247,1055,2676,372,564,0.752,1.516,0.66,1
14,M41477-1-E.tif:3163-1550,262089,183.541,62,226,1321,2878,459,571,0.776,1.244,0.804,1
15,M41477-1-E.tif:3527-1738,93984,183.417,68,223,1560,3395,356,264,0.768,1.348,0.742,1
16,M41477-1-E.tif:3356-2203,123848,200.596,52,238,1977,3219,452,274,0.738,1.65,0.606,1
17,M41477-1-E.tif:3553-2248,122165,196.544,76,234,2018,3421,461,265,0.728,1.74,0.575,1
18,M41477-1-E.tif:3528-2876,82331,193.892,88,229,2630,3445,493,167,0.594,2.952,0.339,1
19,M41477-1-E.tif:3233-2888,71894,193.499,95,231,2714,3130,349,206,0.733,1.694,0.59,1
20,M41477-1-E.tif:3453-3432,98712,186.957,72,231,3324,3225,216,457,0.685,2.116,0.473,1
21,M41477-1-E.tif:3402-4111,296055,184.346,50,227,3729,3209,765,387,0.701,1.977,0.506,1
22,M41477-1-E.tif:3083-4093,154254,185.955,71,229,3820,2942,547,282,0.705,1.94,0.516,1
23,M41477-1-E.tif:2544-3735,714369,189.416,58,234,3211,2204,1049,681,0.75,1.54,0.649,1
24,M41477-1-E.tif:3486-4700,95821,197.352,80,228,4560,3316,281,341,0.778,1.214,0.824,1
25,M41477-1-E.tif:2816-4733,106326,176.543,70,229,4585,2637,297,358,0.779,1.205,0.83,1
26,M41477-1-E.tif:3077-4869,199168,179.189,67,223,4613,2883,512,389,0.771,1.316,0.76,1
27,M41477-1-E.tif:2570-5016,95692,168.264,70,218,4922,2316,188,509,0.619,2.707,0.369,1
28,M41477-1-E.tif:2058-4855,108072,174.022,65,220,4684,1900,342,316,0.784,1.082,0.924,1
29,M41477-1-E.tif:1902-4065,556920,178.889,46,228,3530,1642,1071,520,0.691,2.06,0.486,1
30,M41477-1-E.tif:1516-3713,113778,158.89,44,221,3563,1327,301,378,0.775,1.256,0.796,1
31,M41477-1-E.tif:1719-3043,319336,184.254,60,229,2685,1496,716,446,0.743,1.605,0.623,1
32,M41477-1-E.tif:1653-2248,338130,189.094,67,233,1866,1432,765,442,0.729,1.731,0.578,1
33,M41477-1-E.tif:2496-2581,906974,191.845,64,229,2142,1980,878,1033,0.78,1.177,0.85,1
34,M41477-1-E.tif:3883-3273,125622,202.477,37,244,2775,3820,997,126,0.313,7.913,0.126,1
