frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41987-1-E.tif:1072-3118,687440,138.927,29,255,2788,552,661,1040,0.746,1.573,0.636,1.000
2,M41987-1-E.tif:1138-2317,392448,172.335,19,255,2093,700,448,876,0.703,1.955,0.511,1.000
3,M41987-1-E.tif:1113-1779,57723,165.551,14,253,1673,978,213,271,0.774,1.272,0.786,1.000
4,M41987-1-E.tif:0797-1912,71508,175.666,39,255,1794,646,236,303,0.773,1.284,0.779,1.000
5,M41987-1-E.tif:0777-1508,58950,172.679,13,255,1433,581,150,393,0.628,2.620,0.382,1.000
6,M41987-1-E.tif:1199-0926,916560,141.997,2,255,584,529,684,1340,0.703,1.959,0.510,1.000
7,M41987-1-E.tif:1574-1463,103635,152.285,13,255,1341,1363,245,423,0.730,1.727,0.579,1.000
8,M41987-1-E.tif:2051-1826,156240,180.731,53,255,1616,1865,420,372,0.783,1.129,0.886,1.000
9,M41987-1-E.tif:2007-2427,195024,165.292,29,255,2223,1768,408,478,0.780,1.172,0.854,1.000
10,M41987-1-E.tif:2064-3137,357992,163.705,43,255,2845,1758,584,613,0.785,1.050,0.953,1.000
11,M41987-1-E.tif:2671-2140,78732,164.018,28,255,1776,2617,729,108,0.353,6.750,0.148,1.000
