frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43271-1-E.tif:1396-3374,94197,176.902,20,234,3165,1230,418,332,0.788,1.531,0.653,0.944
2,M43271-1-E.tif:1380-2682,109953,183.466,18,234,2481,1180,402,400,0.808,1.200,0.833,0.956
3,M43271-1-E.tif:1373-1981,283438,183.235,15,235,1627,1004,708,738,0.567,1.841,0.543,0.843
4,M43271-1-E.tif:1253-1059,235215,169.147,12,233,716,958,686,590,0.694,2.042,0.490,0.895
5,M43271-1-E.tif:2087-1015,97514,184.135,21,233,790,1936,450,302,0.755,1.908,0.524,0.950
6,M43271-1-E.tif:2145-1691,31444,190.745,27,241,1580,2038,222,214,0.768,1.664,0.601,0.934
7,M43271-1-E.tif:2153-2297,81012,191.126,33,236,2078,2030,438,246,0.810,1.941,0.515,0.998
8,M43271-1-E.tif:2254-3091,324346,177.373,13,236,2588,2012,1006,484,0.629,2.442,0.409,0.934
9,M43271-1-E.tif:3814-2964,1010555,180.617,5,239,2182,3166,1564,1296,0.421,1.821,0.549,0.742
10,M43271-1-E.tif:3461-1349,2013304,167.279,0,238,566,2530,1566,1862,0.536,1.323,0.756,0.871
11,M43271-1-E.tif:4764-0850,93680,173.608,14,232,648,4591,404,346,0.818,1.675,0.597,0.985
12,M43271-1-E.tif:4885-1569,314455,164.136,0,233,1202,4547,734,676,0.787,1.572,0.636,0.956
13,M43271-1-E.tif:5324-2804,154244,163.884,0,234,2292,5245,1024,158,0.353,6.749,0.148,1.000
