frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42395-1-E.tif:1040-4717,92701,200.748,62,249,4574,879,287,323,0.783,1.125,0.889,1.000
2,M42395-1-E.tif:1518-4920,456270,198.471,40,248,4580,1183,681,670,0.785,1.016,0.984,1.000
3,M42395-1-E.tif:1007-3911,122383,213.618,59,252,3755,812,313,391,0.776,1.249,0.801,1.000
4,M42395-1-E.tif:1534-3322,2178567,216.807,27,254,2583,798,1479,1473,0.785,1.004,0.996,1.000
5,M42395-1-E.tif:1355-1806,587848,209.832,58,250,1433,961,746,788,0.785,1.056,0.947,1.000
6,M42395-1-E.tif:1816-4181,92950,210.507,51,251,4038,1654,286,325,0.782,1.136,0.880,1.000
7,M42395-1-E.tif:2705-4936,137720,185.282,30,241,4780,2485,313,440,0.763,1.406,0.711,1.000
8,M42395-1-E.tif:2396-2929,153916,195.007,48,249,2768,2157,322,478,0.756,1.484,0.674,1.000
9,M42395-1-E.tif:2721-3295,297201,204.906,35,250,2980,2486,631,471,0.769,1.340,0.746,1.000
10,M42395-1-E.tif:2780-2494,3181329,200.323,16,255,1419,2041,2151,1479,0.758,1.454,0.688,1.000
11,M42395-1-E.tif:3219-4307,644480,204.999,34,253,3883,2839,848,760,0.783,1.116,0.896,1.000
12,M42395-1-E.tif:3902-3097,164565,201.197,33,255,2580,3823,1035,159,0.363,6.509,0.154,1.000
