frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42410-1-C.tif:1277-4539,517275,201.785,24,237,4237,850,605,855,0.762,1.413,0.708,1.000
2,M42410-1-C.tif:1562-3169,558412,207.949,36,243,2660,1288,1019,548,0.714,1.859,0.538,1.000
3,M42410-1-C.tif:1157-1748,259715,203.678,39,241,1431,953,635,409,0.749,1.553,0.644,1.000
4,M42410-1-C.tif:2020-1487,276336,187.740,18,237,1259,1717,456,606,0.770,1.329,0.752,1.000
5,M42410-1-C.tif:1969-1934,703948,200.276,18,239,1500,1564,868,811,0.784,1.070,0.934,1.000
6,M42410-1-C.tif:3041-1837,823536,212.897,27,242,1305,2654,1064,774,0.766,1.375,0.727,1.000
7,M42410-1-C.tif:2738-2787,68724,211.943,93,238,2663,2600,249,276,0.783,1.108,0.902,1.000
8,M42410-1-C.tif:2424-2875,176056,201.254,55,239,2689,2188,373,472,0.775,1.265,0.790,1.000
9,M42410-1-C.tif:2743-2991,68015,199.586,59,235,2880,2591,223,305,0.766,1.368,0.731,1.000
10,M42410-1-C.tif:2775-3251,83288,189.172,56,234,3072,2659,359,232,0.749,1.547,0.646,1.000
11,M42410-1-C.tif:2713-3368,52030,198.107,58,237,3261,2592,215,242,0.783,1.126,0.888,1.000
12,M42410-1-C.tif:2349-3083,59832,204.462,56,236,2975,2211,216,277,0.773,1.282,0.780,1.000
13,M42410-1-C.tif:2464-3258,199520,195.366,36,238,3043,2232,430,464,0.784,1.079,0.927,1.000
14,M42410-1-C.tif:2538-3568,120232,204.475,41,236,3435,2312,266,452,0.733,1.699,0.588,1.000
15,M42410-1-C.tif:2543-4948,76266,199.397,37,237,4863,2320,171,446,0.629,2.608,0.383,1.000
16,M42410-1-C.tif:2262-4800,30668,191.896,34,233,4718,2169,164,187,0.782,1.140,0.877,1.000
17,M42410-1-C.tif:2135-4665,31500,188.213,24,228,4590,2030,150,210,0.764,1.400,0.714,1.000
18,M42410-1-C.tif:2134-4571,52428,181.584,7,233,4469,2006,204,257,0.775,1.260,0.794,1.000
19,M42410-1-C.tif:2742-4503,982080,202.785,20,240,4008,2246,990,992,0.785,1.002,0.998,1.000
20,M42410-1-C.tif:3856-3289,167401,197.033,21,248,2776,3775,1027,163,0.371,6.301,0.159,1.000
