frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43272-1-E.tif:0727-4712,332684,180.398,6,240,4162,471,1100,512,0.456,2.523,0.396,0.836
2,M43272-1-E.tif:0757-2110,123232,181.997,16,239,1820,582,581,350,0.658,2.221,0.450,0.899
3,M43272-1-E.tif:1512-1700,704408,186.775,13,244,960,1179,1481,667,0.375,2.598,0.385,0.834
4,M43272-1-E.tif:1666-2661,107619,184.552,11,247,2443,1508,437,316,0.793,1.454,0.688,0.955
5,M43272-1-E.tif:2117-4051,3072449,174.563,1,249,2757,1221,2588,1792,0.362,1.604,0.624,0.843
6,M43272-1-E.tif:2757-3199,34460,176.730,22,242,3091,2659,216,196,0.915,1.255,0.797,1.000
7,M43272-1-E.tif:2364-1851,239803,181.406,17,246,1479,2067,744,594,0.553,2.060,0.485,0.883
8,M43272-1-E.tif:3112-1023,178227,169.377,0,239,797,2799,452,626,0.726,1.577,0.634,0.932
9,M43272-1-E.tif:3447-1465,82605,175.597,17,239,1289,3249,352,396,0.722,1.458,0.686,0.893
10,M43272-1-E.tif:3366-2548,546938,175.403,0,249,2033,2893,1030,946,0.458,1.426,0.701,0.828
11,M43272-1-E.tif:3498-3439,36904,181.500,11,245,3341,3369,196,258,0.897,1.326,0.754,1.000
12,M43272-1-E.tif:3561-4016,100975,170.639,1,241,3831,3343,370,436,0.755,1.499,0.667,0.918
13,M43272-1-E.tif:3540-4627,43615,176.267,5,235,4505,3405,244,270,0.788,1.529,0.654,0.950
14,M43272-1-E.tif:3971-3249,132924,153.637,0,245,2737,3901,1024,140,0.315,7.842,0.128,1.000
