frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43300-1-A.tif:1024-1434,98640,181.696,45,220,1344,750,180,548,0.585,3.044,0.328,1.000
2,M43300-1-A.tif:0826-1148,11845,177.485,69,224,1097,769,103,115,0.783,1.117,0.896,1.000
3,M43300-1-A.tif:1196-1166,10452,179.359,68,224,1133,1118,67,156,0.660,2.328,0.429,1.000
4,M43300-1-A.tif:1413-1337,1936,166.531,76,195,1315,1391,44,44,0.785,1.000,1.000,1.000
5,M43300-1-A.tif:1419-1518,8112,178.299,72,202,1479,1367,78,104,0.769,1.333,0.750,1.000
6,M43300-1-A.tif:1242-0960,10944,175.705,63,208,903,1194,114,96,0.780,1.188,0.842,1.000
7,M43300-1-A.tif:1021-0890,24448,175.656,64,219,795,957,191,128,0.755,1.492,0.670,1.000
8,M43300-1-A.tif:0878-0869,39457,175.448,66,217,776,773,187,211,0.783,1.128,0.886,1.000
9,M43300-1-A.tif:1600-1233,13146,165.793,66,212,1077,1579,313,42,0.328,7.452,0.134,1.000
10,M43300-1-A.tif:0542-0901,71786,181.151,72,228,758,417,286,251,0.782,1.139,0.878,1.000
11,M43300-1-A.tif:0536-1253,30646,177.048,71,235,1176,437,154,199,0.773,1.292,0.774,1.000
12,M43300-1-A.tif:0415-1495,7308,181.461,90,209,1464,357,63,116,0.717,1.841,0.543,1.000
