 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M41348.tif:0544-4919,270300,188.781,33,234,4522,374,795,340,897.061,383.649,0,0.659,2.338,0.428,1.000
2,M41348.tif:0529-4481,210217,185.671,74,226,4227,323,509,413,574.345,466.021,0,0.777,1.232,0.811,1.000
3,M41348.tif:0436-4082,64862,203.462,106,240,3939,323,287,226,323.845,255.014,0,0.774,1.270,0.787,1.000
4,M41348.tif:0497-3588,135924,187.337,55,231,3347,356,482,282,543.879,318.203,0,0.732,1.709,0.585,1.000
5,M41348.tif:0692-3231,99820,193.133,82,233,3076,531,310,322,363.338,349.798,90,0.785,1.039,0.963,1.000
6,M41348.tif:0495-2970,122262,183.126,51,230,2757,352,426,287,480.690,323.845,0,0.756,1.484,0.674,1.000
7,M41348.tif:0632-2467,121382,180.883,53,233,2246,495,443,274,499.872,309.176,0,0.742,1.617,0.619,1.000
8,M41348.tif:0746-2071,91885,206.177,87,234,1954,551,235,391,441.196,265.169,90,0.737,1.664,0.601,1.000
9,M41348.tif:0765-1768,69741,199.038,90,235,1647,622,243,287,323.845,274.196,90,0.780,1.181,0.847,1.000
10,M41348.tif:0489-1452,201676,180.688,6,230,1198,291,508,397,573.217,447.967,0,0.774,1.280,0.781,1.000
11,M41348.tif:0526-0631,115216,193.792,68,243,442,374,379,304,427.656,343.027,0,0.776,1.247,0.802,1.000
12,M41348.tif:0883-1157,277704,196.041,34,230,958,535,399,696,785.352,450.223,90,0.728,1.744,0.573,1.000
13,M41348.tif:1088-0665,246426,185.289,48,235,359,887,613,402,691.696,453.608,0,0.751,1.525,0.656,1.000
14,M41348.tif:1734-0608,251036,172.466,38,253,414,1411,388,647,730.061,437.811,90,0.736,1.668,0.600,1.000
15,M41348.tif:1616-1153,333987,192.757,35,236,812,1372,683,489,770.683,551.777,0,0.764,1.397,0.716,1.000
16,M41348.tif:1394-1150,12800,208.183,107,228,1100,1330,100,128,144.433,112.838,90,0.774,1.280,0.781,1.000
