frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43413-689.tif:1860-3149,984054,176.300,9,245,2748,1247,802,1227,0.751,1.530,0.654,1.000
2,M43413-689.tif:1287-2358,258804,179.002,14,245,2124,1011,468,553,0.780,1.182,0.846,1.000
3,M43413-689.tif:1210-1748,111088,192.123,8,250,1617,998,262,424,0.742,1.618,0.618,1.000
4,M43413-689.tif:1224-1276,77809,192.555,17,248,1177,1029,199,391,0.702,1.965,0.509,1.000
5,M43413-689.tif:1216-0881,50337,188.080,42,244,805,1052,153,329,0.681,2.150,0.465,1.000
6,M43413-689.tif:1818-0917,74648,201.340,45,250,767,1694,301,248,0.778,1.214,0.824,1.000
7,M43413-689.tif:1846-1347,59940,195.467,36,250,1257,1680,180,333,0.716,1.850,0.541,1.000
8,M43413-689.tif:1845-1812,74806,189.259,12,246,1647,1732,331,226,0.757,1.465,0.683,1.000
9,M43413-689.tif:1690-2436,48470,186.996,23,245,2305,1598,262,185,0.762,1.416,0.706,1.000
10,M43413-689.tif:1989-2315,108498,185.877,20,245,2146,1829,338,321,0.785,1.053,0.950,1.000
11,M43413-689.tif:2430-2219,137750,193.515,27,244,2074,2193,290,475,0.739,1.638,0.611,1.000
12,M43413-689.tif:2409-1779,34026,173.956,7,239,1726,2250,107,318,0.592,2.972,0.336,1.000
13,M43413-689.tif:2414-1365,110668,193.309,32,251,1219,2225,292,379,0.772,1.298,0.770,1.000
14,M43413-689.tif:2315-0871,37206,182.046,24,242,792,2198,159,234,0.757,1.472,0.679,1.000
15,M43413-689.tif:2795-0867,39390,188.939,23,244,770,2694,195,202,0.785,1.036,0.965,1.000
16,M43413-689.tif:2986-1580,167078,200.754,30,253,1280,2847,601,278,0.679,2.162,0.463,1.000
17,M43413-689.tif:2997-2338,34286,194.023,0,243,2259,2889,158,217,0.766,1.373,0.728,1.000
18,M43413-689.tif:3017-2715,28565,189.792,29,247,2643,2919,145,197,0.767,1.359,0.736,1.000
19,M43413-689.tif:2967-3127,58344,199.382,43,248,3025,2824,204,286,0.763,1.402,0.713,1.000
20,M43413-689.tif:3008-3508,29458,187.860,23,242,3457,2865,103,286,0.612,2.777,0.360,1.000
21,M43413-689.tif:3362-2196,160650,167.420,3,245,1671,3286,1050,153,0.349,6.863,0.146,1.000
