frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41479-1-E.tif:0909-4694,565313,150.484,36,230,4208,619,973,581,0.735,1.675,0.597,1.000
2,M41479-1-E.tif:1027-3502,801176,162.977,45,229,2954,662,1096,731,0.754,1.499,0.667,1.000
3,M41479-1-E.tif:1035-2325,859200,168.784,43,232,1788,635,1074,800,0.769,1.343,0.745,1.000
4,M41479-1-E.tif:0932-1219,308382,152.413,46,230,910,683,618,499,0.776,1.238,0.807,1.000
5,M41479-1-E.tif:1461-1317,128325,165.020,51,228,1100,1314,435,295,0.757,1.475,0.678,1.000
6,M41479-1-E.tif:2023-1102,172189,172.090,57,236,892,1819,421,409,0.785,1.029,0.971,1.000
7,M41479-1-E.tif:1920-1650,138782,153.542,48,230,1489,1705,322,431,0.769,1.339,0.747,1.000
8,M41479-1-E.tif:1946-2156,275702,166.656,48,235,1947,1617,419,658,0.747,1.570,0.637,1.000
9,M41479-1-E.tif:1700-3064,126430,176.632,76,241,2795,1583,538,235,0.665,2.289,0.437,1.000
10,M41479-1-E.tif:1734-3666,78719,181.218,102,234,3490,1623,353,223,0.745,1.583,0.632,1.000
11,M41479-1-E.tif:1664-4579,465003,188.909,60,240,4035,1451,1089,427,0.636,2.550,0.392,1.000
12,M41479-1-E.tif:2337-4623,866526,148.844,40,227,4104,1920,1039,834,0.776,1.246,0.803,1.000
13,M41479-1-E.tif:2235-3680,405306,177.951,59,231,3301,1968,759,534,0.762,1.421,0.704,1.000
14,M41479-1-E.tif:2117-2835,272360,165.481,58,232,2526,1897,619,440,0.763,1.407,0.711,1.000
15,M41479-1-E.tif:2574-2012,144384,194.736,94,239,1824,2382,376,384,0.785,1.021,0.979,1.000
16,M41479-1-E.tif:2459-1182,130075,178.543,75,230,946,2322,473,275,0.730,1.720,0.581,1.000
17,M41479-1-E.tif:3316-1260,955604,182.703,58,238,869,2705,782,1222,0.748,1.563,0.640,1.000
18,M41479-1-E.tif:2839-2321,519375,193.686,68,238,1906,2527,831,625,0.770,1.330,0.752,1.000
19,M41479-1-E.tif:2928-3187,326196,174.626,59,232,2839,2694,697,468,0.755,1.489,0.671,1.000
20,M41479-1-E.tif:2944-3815,240435,177.420,72,232,3610,2652,411,585,0.761,1.423,0.703,1.000
21,M41479-1-E.tif:3326-4859,332977,177.817,58,225,4643,2942,433,769,0.724,1.776,0.563,1.000
22,M41479-1-E.tif:3382-4179,460952,189.144,63,230,3865,3015,628,734,0.781,1.169,0.856,1.000
23,M41479-1-E.tif:3495-3303,370566,173.557,59,232,2946,3236,714,519,0.766,1.376,0.727,1.000
24,M41479-1-E.tif:3415-2326,870089,172.077,57,238,1870,2939,913,953,0.785,1.044,0.958,1.000
25,M41479-1-E.tif:4045-3832,145440,218.674,97,248,3327,3973,1010,144,0.343,7.014,0.143,1.000
