 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43660.tif:0914-3760,18327,186.120,59,230,3699,840,123,149,168.128,138.791,90,0.778,1.211,0.826,1.000
2,M43660.tif:0885-3650,13932,176.566,57,226,3596,821,108,129,145.561,121.865,90,0.779,1.194,0.837,1.000
3,M43660.tif:0924-3353,44688,192.751,78,233,3220,840,266,168,300.149,189.568,0,0.745,1.583,0.632,1.000
4,M43660.tif:0989-3046,37128,202.440,83,230,2962,879,168,221,249.372,189.568,90,0.771,1.315,0.760,1.000
5,M43660.tif:0987-2654,39831,157.152,70,226,2548,894,213,187,240.345,211.007,0,0.782,1.139,0.878,1.000
6,M43660.tif:1036-2269,39528,152.799,52,228,2161,945,216,183,243.730,206.493,0,0.780,1.180,0.847,1.000
7,M43660.tif:0935-1937,4000,175.617,67,226,1897,910,80,50,90.270,56.419,0,0.744,1.600,0.625,1.000
8,M43660.tif:1107-1948,71874,170.820,49,228,1827,959,242,297,335.129,273.068,90,0.777,1.227,0.815,1.000
9,M43660.tif:1053-1304,80600,176.414,54,230,1149,923,310,260,349.798,293.379,0,0.779,1.192,0.839,1.000
10,M43660.tif:1102-0847,44370,161.326,63,230,771,957,153,290,327.230,172.642,90,0.710,1.895,0.528,1.000
11,M43660.tif:1712-0845,21472,199.605,78,235,801,1590,88,244,275.325,99.297,90,0.612,2.773,0.361,1.000
12,M43660.tif:1696-1121,9900,164.992,73,230,1084,1630,75,132,148.946,84.628,90,0.726,1.760,0.568,1.000
13,M43660.tif:1684-1369,11135,166.949,69,229,1304,1642,131,85,147.818,95.912,0,0.750,1.541,0.649,1.000
14,M43660.tif:1643-1605,8730,184.323,72,229,1557,1598,97,90,109.453,101.554,0,0.784,1.078,0.928,1.000
15,M43660.tif:1643-1860,19635,178.395,69,231,1801,1561,119,165,186.183,134.277,90,0.765,1.387,0.721,1.000
16,M43660.tif:1632-2072,20961,165.103,72,232,2004,1556,137,153,172.642,154.588,90,0.783,1.117,0.895,1.000
17,M43660.tif:1657-2371,182182,206.220,88,238,2202,1388,338,539,608.196,381.392,90,0.744,1.595,0.627,1.000
18,M43660.tif:1656-2709,82002,199.711,74,235,2591,1483,237,346,390.419,267.426,90,0.758,1.460,0.685,1.000
19,M43660.tif:1640-3052,193510,177.730,63,233,2867,1379,370,523,590.142,417.500,90,0.762,1.414,0.707,1.000
20,M43660.tif:1599-3673,175406,197.157,86,235,3439,1412,469,374,529.210,422.014,0,0.775,1.254,0.797,1.000
21,M43660.tif:2312-3810,2112,176.802,110,229,3786,2290,48,44,54.162,49.649,0,0.784,1.091,0.917,1.000
22,M43660.tif:2236-3730,3402,170.617,102,228,3699,2209,63,54,71.088,60.932,0,0.781,1.167,0.857,1.000
23,M43660.tif:2252-3539,5673,193.555,145,229,3493,2222,93,61,104.939,68.831,0,0.751,1.525,0.656,1.000
24,M43660.tif:2247-3315,16150,186.263,101,232,3230,2200,170,95,191.824,107.196,0,0.722,1.789,0.559,1.000
25,M43660.tif:2275-3010,6364,178.835,82,229,2967,2238,86,74,97.041,83.500,0,0.781,1.162,0.860,1.000
26,M43660.tif:2285-2746,7227,189.640,128,228,2697,2249,99,73,111.710,82.372,0,0.767,1.356,0.737,1.000
27,M43660.tif:2269-2525,6864,175.450,100,226,2481,2230,88,78,99.297,88.014,0,0.783,1.128,0.886,1.000
28,M43660.tif:2297-2375,6868,170.455,92,227,2341,2247,68,101,113.966,76.730,90,0.755,1.485,0.673,1.000
29,M43660.tif:2299-2062,12728,164.365,67,228,2019,2225,86,148,167.000,97.041,90,0.730,1.721,0.581,1.000
30,M43660.tif:2306-1862,9100,189.175,87,232,1827,2241,70,130,146.689,78.987,90,0.715,1.857,0.538,1.000
31,M43660.tif:2321-1641,9906,178.803,88,231,1602,2258,78,127,143.304,88.014,90,0.741,1.628,0.614,1.000
32,M43660.tif:2331-1389,15410,190.700,93,232,1332,2264,115,134,151.203,129.764,90,0.781,1.165,0.858,1.000
33,M43660.tif:2359-1147,14097,199.818,98,231,1092,2296,111,127,143.304,125.250,90,0.782,1.144,0.874,1.000
34,M43660.tif:2339-0899,27863,192.365,70,232,806,2265,187,149,211.007,168.128,0,0.775,1.255,0.797,1.000
35,M43660.tif:2738-1009,51075,160.171,56,231,897,2625,225,227,256.142,253.885,90,0.785,1.009,0.991,1.000
36,M43660.tif:2749-1443,16275,173.842,76,232,1366,2697,155,105,174.899,118.480,0,0.756,1.476,0.677,1.000
37,M43660.tif:2759-1779,25972,175.432,82,232,1693,2684,172,151,194.081,170.385,0,0.782,1.139,0.878,1.000
38,M43660.tif:2738-2188,38622,173.553,72,232,2110,2615,157,246,277.581,177.156,90,0.747,1.567,0.638,1.000
39,M43660.tif:2727-2507,19750,173.389,74,230,2445,2648,125,158,178.284,141.047,90,0.775,1.264,0.791,1.000
40,M43660.tif:2729-2941,63568,173.652,69,231,2825,2592,232,274,309.176,261.784,90,0.780,1.181,0.847,1.000
41,M43660.tif:2657-3352,70840,173.694,63,233,3226,2517,253,280,315.946,285.480,90,0.783,1.107,0.904,1.000
42,M43660.tif:2653-3756,69360,184.069,62,238,3629,2517,255,272,306.919,287.737,90,0.785,1.067,0.938,1.000
43,M43660.tif:3241-3825,30459,176.734,94,233,3754,3135,143,213,240.345,161.358,90,0.755,1.490,0.671,1.000
44,M43660.tif:3150-3299,73984,165.674,62,237,3171,3006,256,289,326.102,288.865,90,0.783,1.129,0.886,1.000
45,M43660.tif:3198-2877,31296,207.714,101,234,2781,3117,192,163,216.649,183.926,0,0.780,1.178,0.849,1.000
46,M43660.tif:3215-2486,23874,182.367,69,230,2400,3146,173,138,195.210,155.716,0,0.775,1.254,0.798,1.000
47,M43660.tif:3239-2089,18584,195.343,84,232,2043,3138,92,202,227.933,103.811,90,0.675,2.196,0.455,1.000
48,M43660.tif:3240-1756,14000,193.436,93,230,1700,3178,112,125,141.047,126.378,90,0.783,1.116,0.896,1.000
49,M43660.tif:3224-1454,13500,168.093,75,228,1404,3157,100,135,152.331,112.838,90,0.768,1.350,0.741,1.000
50,M43660.tif:3214-1399,1156,166.022,103,228,1382,3197,34,34,38.365,38.365,0,0.785,1.000,1.000,1.000
51,M43660.tif:3234-1076,43680,158.524,70,229,940,3154,273,160,308.048,180.541,0,0.732,1.706,0.586,1.000
52,M43660.tif:3359-1135,928,186.962,129,231,1119,3345,32,29,36.108,32.723,0,0.783,1.103,0.906,1.000
53,M43660.tif:3676-0999,28704,192.802,80,232,921,3584,156,184,207.622,176.027,90,0.780,1.179,0.848,1.000
54,M43660.tif:3871-1002,1638,176.842,114,229,983,3850,39,42,47.392,44.007,90,0.784,1.077,0.929,1.000
55,M43660.tif:3655-1356,30545,177.766,72,232,1254,3581,205,149,231.318,168.128,0,0.766,1.376,0.727,1.000
56,M43660.tif:3618-1713,39480,184.242,68,230,1619,3513,188,210,236.960,212.135,90,0.783,1.117,0.895,1.000
57,M43660.tif:3599-2060,33810,146.857,57,230,1945,3526,230,147,259.527,165.872,0,0.747,1.565,0.639,1.000
58,M43660.tif:3644-2419,12446,198.180,120,232,2370,3581,98,127,143.304,110.581,90,0.772,1.296,0.772,1.000
59,M43660.tif:3537-2804,21625,189.212,90,231,2742,3451,125,173,195.210,141.047,90,0.765,1.384,0.723,1.000
60,M43660.tif:3560-3132,4836,196.221,112,230,3101,3521,62,78,88.014,69.960,90,0.775,1.258,0.795,1.000
61,M43660.tif:3579-3306,4788,207.632,123,234,3275,3541,63,76,85.757,71.088,90,0.779,1.206,0.829,1.000
62,M43660.tif:3601-3473,21120,206.162,118,234,3409,3519,128,165,186.183,144.433,90,0.773,1.289,0.776,1.000
63,M43660.tif:3637-3707,9758,212.351,113,235,3666,3578,82,119,134.277,92.527,90,0.759,1.451,0.689,1.000
64,M43660.tif:3975-3797,21756,162.252,71,233,3723,3902,148,147,167.000,165.872,0,0.785,1.007,0.993,1.000
65,M43660.tif:4002-3413,22184,160.058,68,231,3354,3908,118,188,212.135,133.149,90,0.744,1.593,0.628,1.000
66,M43660.tif:3994-3072,32320,184.944,71,233,2992,3893,160,202,227.933,180.541,90,0.775,1.262,0.792,1.000
67,M43660.tif:4027-2684,21016,190.115,85,231,2610,3956,148,142,167.000,160.230,0,0.785,1.042,0.959,1.000
68,M43660.tif:4043-2262,53732,187.376,99,235,2129,3942,266,202,300.149,227.933,0,0.771,1.317,0.759,1.000
69,M43660.tif:4040-1867,33345,153.022,89,230,1782,3943,171,195,220.034,192.953,90,0.782,1.140,0.877,1.000
70,M43660.tif:4074-1744,20223,165.414,89,228,1691,3980,107,189,213.264,120.737,90,0.725,1.766,0.566,1.000
71,M43660.tif:4095-1459,22770,172.901,67,230,1404,3992,110,207,233.574,124.122,90,0.712,1.882,0.531,1.000
72,M43660.tif:4092-1077,14210,162.521,66,224,1028,4020,98,145,163.615,110.581,90,0.756,1.480,0.676,1.000
73,M43660.tif:4101-0972,24978,189.774,71,233,903,4011,138,181,204.237,155.716,90,0.771,1.312,0.762,1.000
74,M43660.tif:4684-1036,22372,188.988,89,231,977,4590,119,188,212.135,134.277,90,0.746,1.580,0.633,1.000
75,M43660.tif:4603-1291,27370,171.453,61,232,1211,4518,161,170,191.824,181.669,90,0.785,1.056,0.947,1.000
76,M43660.tif:4582-1660,33120,174.145,70,230,1545,4510,230,144,259.527,162.487,0,0.744,1.597,0.626,1.000
