frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43228.tif:0971-4568,851400,195.285,28,242,4052,559,1032,825,1164.487,930.913,0,0.776,1.251,0.799,1.000
2,M43228.tif:0907-3249,424600,175.777,43,238,2863,632,772,550,871.109,620.609,0,0.763,1.404,0.712,1.000
3,M43228.tif:1098-1994,890532,176.219,32,239,1472,672,1044,853,1178.028,962.507,0,0.777,1.224,0.817,1.000
4,M43228.tif:0823-1174,15142,193.112,111,236,1107,767,134,113,151.203,127.507,0,0.780,1.186,0.843,1.000
5,M43228.tif:1941-1862,1015590,204.224,68,240,1135,1592,1455,698,1641.792,787.609,0,0.688,2.085,0.480,1.000
6,M43228.tif:2608-1368,111504,214.297,86,241,1166,2470,404,276,455.865,311.433,0,0.758,1.464,0.683,1.000
7,M43228.tif:3052-1328,160752,203.521,78,237,1124,2855,408,394,460.379,444.581,0,0.785,1.036,0.966,1.000
8,M43228.tif:3505-1547,124120,187.986,42,240,1333,3360,428,290,482.946,327.230,0,0.756,1.476,0.678,1.000
9,M43228.tif:3154-2094,172584,196.462,22,238,1812,3001,564,306,636.406,345.284,0,0.716,1.843,0.543,1.000
10,M43228.tif:3449-2215,132528,184.808,42,238,1964,3317,502,264,566.446,297.892,0,0.710,1.902,0.526,1.000
11,M43228.tif:2804-2470,342144,201.951,45,245,2074,2588,792,432,893.676,487.460,0,0.717,1.833,0.545,1.000
12,M43228.tif:3267-2906,188932,170.778,40,236,2589,3118,634,298,715.392,336.257,0,0.683,2.128,0.470,1.000
13,M43228.tif:3159-3316,10062,202.222,123,234,3277,3095,78,129,145.561,88.014,90,0.738,1.654,0.605,1.000
14,M43228.tif:3500-3620,18942,187.080,71,233,3543,3439,154,123,173.770,138.791,0,0.776,1.252,0.799,1.000
15,M43228.tif:3165-3607,45650,181.422,49,234,3470,3082,275,166,310.304,187.311,0,0.737,1.657,0.604,1.000
16,M43228.tif:1919-3383,774546,177.135,36,238,2882,1533,1002,773,1130.636,872.237,0,0.772,1.296,0.771,1.000
17,M43228.tif:2540-3615,612208,139.980,25,235,3154,2208,922,664,1040.366,749.244,0,0.765,1.389,0.720,1.000
18,M43228.tif:3329-4209,128880,142.920,27,233,3941,3209,537,240,605.940,270.811,0,0.671,2.237,0.447,1.000
19,M43228.tif:3336-4905,82016,142.736,29,233,4729,3220,352,233,397.189,262.912,0,0.753,1.511,0.662,1.000
20,M43228.tif:1799-4800,132936,172.479,26,236,4514,1683,573,232,646.561,261.784,0,0.644,2.470,0.405,1.000
21,M43228.tif:2049-4842,146784,146.977,30,235,4578,1910,528,278,595.784,313.689,0,0.710,1.899,0.527,1.000
22,M43228.tif:2302-4714,248784,149.175,26,236,4288,2156,852,292,961.379,329.487,0,0.597,2.918,0.343,1.000
23,M43228.tif:2546-4814,276624,126.512,19,230,4508,2320,612,452,690.568,510.027,0,0.768,1.354,0.739,1.000
24,M43228.tif:1349-2995,21840,206.771,108,236,2925,1271,140,156,176.027,157.973,90,0.783,1.114,0.897,1.000
25,M43228.tif:1362-3268,5762,204.406,147,235,3225,1329,86,67,97.041,75.601,0,0.773,1.284,0.779,1.000
26,M43228.tif:3817-3158,160054,215.760,54,245,2652,3738,1013,158,1143.048,178.284,0,0.367,6.411,0.156,1.000
