frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43278-1-E.tif:1376-3372,696192,186.912,21,247,2928,984,888,784,0.782,1.133,0.883,1.000
2,M43278-1-E.tif:1244-2084,358976,174.773,6,241,1768,960,632,568,0.783,1.113,0.899,1.000
3,M43278-1-E.tif:1340-2708,270912,183.341,19,234,2504,1008,408,664,0.741,1.627,0.614,1.000
4,M43278-1-E.tif:1176-1572,191360,187.980,21,232,1312,992,520,368,0.762,1.413,0.708,1.000
5,M43278-1-E.tif:1196-1136,65280,185.667,41,240,1056,992,160,408,0.636,2.550,0.392,1.000
6,M43278-1-E.tif:1204-0836,94656,189.700,36,232,720,1000,232,408,0.726,1.759,0.569,1.000
7,M43278-1-E.tif:1664-1144,73728,185.734,31,232,1016,1520,256,288,0.783,1.125,0.889,1.000
8,M43278-1-E.tif:1624-0856,49152,160.689,12,227,728,1528,256,192,0.769,1.333,0.750,1.000
9,M43278-1-E.tif:1884-1664,211456,194.767,25,249,1440,1648,448,472,0.785,1.054,0.949,1.000
10,M43278-1-E.tif:1900-2244,240832,184.470,17,238,1960,1688,568,424,0.769,1.340,0.746,1.000
11,M43278-1-E.tif:2004-3192,143360,182.238,22,236,2936,1864,512,280,0.718,1.829,0.547,1.000
12,M43278-1-E.tif:1960-2748,76160,197.835,27,238,2608,1824,280,272,0.785,1.029,0.971,1.000
13,M43278-1-E.tif:1952-0880,77824,200.933,39,239,728,1824,304,256,0.780,1.188,0.842,1.000
14,M43278-1-E.tif:2016-3652,97920,199.340,32,234,3472,1880,360,272,0.770,1.324,0.756,1.000
15,M43278-1-E.tif:1984-1196,41600,199.335,38,236,1096,1880,200,208,0.785,1.040,0.962,1.000
16,M43278-1-E.tif:2360-0992,150784,184.401,19,238,744,2208,496,304,0.740,1.632,0.613,1.000
17,M43278-1-E.tif:2344-1504,87040,187.188,29,243,1344,2208,320,272,0.780,1.176,0.850,1.000
18,M43278-1-E.tif:2328-2296,165888,184.983,20,242,2080,2136,432,384,0.783,1.125,0.889,1.000
19,M43278-1-E.tif:2348-3600,157440,192.564,25,238,3360,2184,480,328,0.758,1.463,0.683,1.000
20,M43278-1-E.tif:2356-1852,69696,190.199,24,233,1720,2224,264,264,0.785,1.000,1.000,1.000
21,M43278-1-E.tif:2352-3156,94848,198.491,32,239,3000,2200,312,304,0.785,1.026,0.974,1.000
22,M43278-1-E.tif:2336-2768,78848,201.787,33,241,2592,2224,352,224,0.747,1.571,0.636,1.000
23,M43278-1-E.tif:2740-1052,50112,194.690,40,241,936,2632,232,216,0.784,1.074,0.931,1.000
24,M43278-1-E.tif:2760-3604,138624,193.807,29,236,3376,2608,456,304,0.754,1.500,0.667,1.000
25,M43278-1-E.tif:2732-0824,25600,195.683,39,249,760,2632,128,200,0.748,1.562,0.640,1.000
26,M43278-1-E.tif:2724-2412,46400,196.770,52,244,2312,2608,200,232,0.781,1.160,0.862,1.000
27,M43278-1-E.tif:2720-1296,22528,194.190,36,232,1232,2632,128,176,0.766,1.375,0.727,1.000
28,M43278-1-E.tif:2712-1480,22528,197.701,34,239,1416,2624,128,176,0.766,1.375,0.727,1.000
29,M43278-1-E.tif:2744-2656,46080,203.269,31,239,2560,2624,192,240,0.776,1.250,0.800,1.000
30,M43278-1-E.tif:2672-1948,32384,202.617,37,236,1856,2584,184,176,0.785,1.045,0.957,1.000
31,M43278-1-E.tif:2692-2152,24192,201.355,46,241,2080,2608,144,168,0.781,1.167,0.857,1.000
32,M43278-1-E.tif:2740-2956,60352,182.775,29,233,2792,2648,328,184,0.723,1.783,0.561,1.000
33,M43278-1-E.tif:2692-1676,27968,203.517,51,241,1600,2600,152,184,0.778,1.211,0.826,1.000
