 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43229.tif:0687-4958,4560,190.821,104,229,4920,657,76,60,85.757,67.703,0,0.775,1.267,0.789,1.000
2,M43229.tif:0854-4776,94640,178.166,60,232,4594,724,364,260,410.730,293.379,0,0.764,1.400,0.714,1.000
3,M43229.tif:0895-4034,161160,181.186,45,233,3797,725,474,340,534.852,383.649,0,0.764,1.394,0.717,1.000
4,M43229.tif:0944-3184,207264,193.815,59,238,2912,754,544,381,613.838,429.912,0,0.761,1.428,0.700,1.000
5,M43229.tif:0909-2599,15264,205.533,130,234,2546,837,106,144,162.487,119.608,90,0.767,1.358,0.736,1.000
6,M43229.tif:0955-1993,183642,188.550,63,235,1752,747,482,381,543.879,429.912,0,0.775,1.265,0.790,1.000
7,M43229.tif:1026-1794,74528,178.568,63,234,1657,890,274,272,309.176,306.919,0,0.785,1.007,0.993,1.000
8,M43229.tif:0834-1711,30710,184.089,66,233,1619,751,185,166,208.750,187.311,0,0.783,1.114,0.897,1.000
9,M43229.tif:1928-1525,568260,160.772,33,239,1140,1559,770,738,868.852,832.744,0,0.785,1.043,0.958,1.000
10,M43229.tif:1957-1903,51448,166.821,35,226,1785,1848,236,218,266.297,245.987,0,0.784,1.083,0.924,1.000
11,M43229.tif:1660-2033,425472,169.168,42,238,1479,1468,1108,384,1250.244,433.298,0,0.600,2.885,0.347,1.000
12,M43229.tif:1861-3508,971101,167.145,37,235,2855,1490,1307,743,1474.792,838.386,0,0.726,1.759,0.568,1.000
13,M43229.tif:1784-4851,343224,169.825,38,255,4511,1532,681,504,768.426,568.703,0,0.768,1.351,0.740,1.000
14,M43229.tif:2847-3872,619353,160.407,37,232,3477,2456,791,783,892.548,883.521,0,0.785,1.010,0.990,1.000
15,M43229.tif:2891-3379,96316,208.969,73,239,3319,2493,121,796,898.190,136.534,90,0.360,6.579,0.152,1.000
16,M43229.tif:3236-4791,198912,160.064,35,239,4569,3012,444,448,505.514,501.000,90,0.785,1.009,0.991,1.000
17,M43229.tif:3056-5072,19600,151.485,52,228,5002,2986,140,140,157.973,157.973,0,0.785,1.000,1.000,1.000
18,M43229.tif:3488-3022,83678,173.195,68,229,2872,3349,301,278,339.642,313.689,0,0.784,1.083,0.924,1.000
19,M43229.tif:3470-2541,83312,168.345,54,231,2377,3343,328,254,370.108,286.608,0,0.773,1.291,0.774,1.000
20,M43229.tif:3400-1585,443223,187.550,43,234,1041,3197,1089,407,1228.805,459.250,0,0.622,2.676,0.374,1.000
21,M43229.tif:3963-3115,147465,214.995,60,243,2607,3891,1017,145,1147.562,163.615,0,0.343,7.014,0.143,1.000
22,M43229.tif:2655-2402,332044,181.172,50,235,2079,2398,646,514,728.933,579.987,0,0.775,1.257,0.796,1.000
