frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41986-1-E.tif:1182-3350,943995,137.438,34,255,2998,513,705,1339,0.710,1.899,0.527,1.000
2,M41986-1-E.tif:1551-2802,103880,144.292,44,255,2680,1339,245,424,0.729,1.731,0.578,1.000
3,M41986-1-E.tif:0751-2776,59670,145.969,40,251,2700,556,153,390,0.636,2.549,0.392,1.000
4,M41986-1-E.tif:0761-2368,70668,151.137,37,254,2251,610,234,302,0.773,1.291,0.775,1.000
5,M41986-1-E.tif:1080-2494,58088,138.656,38,255,2388,943,212,274,0.773,1.292,0.774,1.000
6,M41986-1-E.tif:2018-2430,162918,165.503,35,255,2215,1829,431,378,0.782,1.140,0.877,1.000
7,M41986-1-E.tif:1964-1824,198030,152.646,31,255,1619,1723,410,483,0.780,1.178,0.849,1.000
8,M41986-1-E.tif:2007-1114,358576,155.478,37,255,822,1700,584,614,0.785,1.051,0.951,1.000
9,M41986-1-E.tif:0760-1401,92400,159.611,44,255,1313,498,176,525,0.591,2.983,0.335,1.000
10,M41986-1-E.tif:1164-1087,396360,160.453,40,255,817,797,540,734,0.767,1.359,0.736,1.000
11,M41986-1-E.tif:1096-1953,385442,160.562,49,255,1734,657,439,878,0.698,2.000,0.500,1.000
12,M41986-1-E.tif:2610-2236,78840,164.691,0,255,1871,2556,730,108,0.353,6.759,0.148,1.000
