frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42490-1-E.tif:1951-2711,537145,193.592,71,248,2351,1579,721,745,0.785,1.033,0.968,1.000
2,M42490-1-E.tif:1917-3372,408096,200.204,80,243,3060,1590,624,654,0.785,1.048,0.954,1.000
3,M42490-1-E.tif:2641-3137,2164515,187.866,63,247,2290,2133,1695,1277,0.770,1.327,0.753,1.000
4,M42490-1-E.tif:3338-3175,1616152,191.677,68,247,2424,2800,1502,1076,0.764,1.396,0.716,1.000
5,M42490-1-E.tif:3756-3215,197679,188.178,72,230,3019,3505,393,503,0.774,1.280,0.781,1.000
6,M42490-1-E.tif:3691-3033,11160,179.733,81,228,2988,3629,90,124,0.766,1.378,0.726,1.000
7,M42490-1-E.tif:3960-3566,286104,190.832,70,236,3293,3698,546,524,0.785,1.042,0.960,1.000
8,M42490-1-E.tif:4073-3292,36860,180.696,75,223,3195,3978,194,190,0.785,1.021,0.979,1.000
9,M42490-1-E.tif:1975-1569,257433,200.602,76,245,1410,1572,319,807,0.638,2.530,0.395,1.000
10,M42490-1-E.tif:2057-0979,931095,199.155,80,255,534,1535,891,1045,0.780,1.173,0.853,1.000
11,M42490-1-E.tif:2858-0785,698740,196.989,76,243,429,2368,713,980,0.766,1.374,0.728,1.000
12,M42490-1-E.tif:3187-1280,476190,198.801,78,239,1033,2706,495,962,0.705,1.943,0.515,1.000
13,M42490-1-E.tif:3843-0834,547492,204.274,80,246,564,3337,541,1012,0.713,1.871,0.535,1.000
14,M42490-1-E.tif:4968-2074,581112,187.246,55,248,921,4842,2306,252,0.279,9.151,0.109,1.000
