frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43275-1-E.tif:1842-3477,38668,186.978,58,227,3354,1719,246,247,0.758,1.741,0.575,0.940
2,M43275-1-E.tif:1741-2340,511499,187.331,34,234,1803,1140,1075,1202,0.316,3.141,0.318,0.674
3,M43275-1-E.tif:1537-1688,417821,190.237,42,237,1210,1117,956,841,0.455,1.868,0.535,0.767
4,M43275-1-E.tif:2316-1515,89024,151.043,36,221,1369,2119,292,395,0.889,1.326,0.754,1.000
5,M43275-1-E.tif:2832-2509,77703,188.213,41,234,2296,2712,426,241,0.653,1.950,0.513,0.931
6,M43275-1-E.tif:2894-1614,142034,175.209,19,247,1095,2781,1038,226,0.326,7.531,0.133,1.000
