 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43286.tif:1211-3597,84388,198.362,24,255,3453,1065,289,292,329.487,326.102,90,0.785,1.010,0.990,1.000
2,M43286.tif:1171-3218,32702,179.803,92,254,3135,1073,166,197,222.291,187.311,90,0.780,1.187,0.843,1.000
3,M43286.tif:1164-2868,26895,182.129,94,253,2787,1082,163,165,186.183,183.926,90,0.785,1.012,0.988,1.000
4,M43286.tif:1424-2845,46413,191.992,18,255,2750,1303,191,243,274.196,215.520,90,0.774,1.272,0.786,1.000
5,M43286.tif:1284-2458,113582,176.327,49,255,2325,1071,266,427,481.818,300.149,90,0.743,1.605,0.623,1.000
6,M43286.tif:1149-2079,17520,177.285,87,248,2019,1076,120,146,164.743,135.406,90,0.778,1.217,0.822,1.000
7,M43286.tif:1146-1889,25669,167.667,60,246,1823,1050,133,193,217.777,150.074,90,0.759,1.451,0.689,1.000
8,M43286.tif:1321-1899,12580,172.072,91,246,1825,1279,148,85,167.000,95.912,0,0.728,1.741,0.574,1.000
9,M43286.tif:1342-2082,12096,182.957,104,249,2026,1288,112,108,126.378,121.865,0,0.785,1.037,0.964,1.000
10,M43286.tif:1509-2066,20520,198.736,111,255,1976,1452,180,114,203.108,128.635,0,0.746,1.579,0.633,1.000
11,M43286.tif:1483-1869,12512,184.672,110,250,1801,1437,136,92,153.460,103.811,0,0.756,1.478,0.676,1.000
12,M43286.tif:1132-1586,25375,185.901,98,251,1499,1060,175,145,197.466,163.615,0,0.778,1.207,0.829,1.000
13,M43286.tif:1315-1581,17170,174.975,88,246,1480,1273,202,85,227.933,95.912,0,0.655,2.376,0.421,1.000
14,M43286.tif:1473-1566,24764,178.279,46,254,1484,1398,164,151,185.054,170.385,0,0.784,1.086,0.921,1.000
15,M43286.tif:1109-1286,10476,188.446,99,246,1232,1061,108,97,121.865,109.453,0,0.783,1.113,0.898,1.000
16,M43286.tif:1098-1119,11023,188.197,129,241,1044,1062,151,73,170.385,82.372,0,0.690,2.068,0.483,1.000
17,M43286.tif:1298-1176,34780,180.309,76,246,1082,1206,188,185,212.135,208.750,0,0.785,1.016,0.984,1.000
18,M43286.tif:1484-1207,14703,192.286,93,248,1123,1441,169,87,190.696,98.169,0,0.705,1.943,0.515,1.000
19,M43286.tif:1133-0840,9207,181.587,97,236,791,1087,99,93,111.710,104.939,0,0.785,1.065,0.939,1.000
20,M43286.tif:1347-0862,11232,187.555,114,238,784,1311,156,72,176.027,81.243,0,0.679,2.167,0.462,1.000
21,M43286.tif:1792-0889,5565,187.364,140,235,863,1740,53,105,118.480,59.804,90,0.700,1.981,0.505,1.000
22,M43286.tif:1963-0883,10804,188.059,85,241,810,1926,146,74,164.743,83.500,0,0.701,1.973,0.507,1.000
23,M43286.tif:2133-0898,3108,180.506,126,225,861,2112,74,42,83.500,47.392,0,0.726,1.762,0.568,1.000
24,M43286.tif:1988-1158,117420,183.735,22,255,1044,1731,228,515,581.115,257.270,90,0.668,2.259,0.443,1.000
25,M43286.tif:2043-1488,24960,189.910,119,252,1424,1946,128,195,220.034,144.433,90,0.752,1.523,0.656,1.000
26,M43286.tif:1778-1513,12750,189.515,131,251,1451,1727,125,102,141.047,115.095,0,0.777,1.225,0.816,1.000
27,M43286.tif:1950-1793,98496,189.617,72,255,1697,1694,192,513,578.859,216.649,90,0.623,2.672,0.374,1.000
28,M43286.tif:2103-2135,13442,200.695,77,255,2064,2056,143,94,161.358,106.068,0,0.752,1.521,0.657,1.000
29,M43286.tif:1946-2117,10192,203.923,146,254,2068,1894,98,104,117.351,110.581,90,0.785,1.061,0.942,1.000
30,M43286.tif:1783-2134,20826,193.336,133,255,2076,1694,117,178,200.851,132.020,90,0.752,1.521,0.657,1.000
31,M43286.tif:1901-2377,45900,195.728,89,255,2323,1689,108,425,479.561,121.865,90,0.508,3.935,0.254,1.000
32,M43286.tif:1909-2651,53055,198.011,119,255,2586,1707,131,405,456.994,147.818,90,0.580,3.092,0.323,1.000
33,M43286.tif:1734-2978,10560,207.221,165,254,2912,1694,132,80,148.946,90.270,0,0.738,1.650,0.606,1.000
34,M43286.tif:1884-2962,11481,206.346,153,255,2898,1840,129,89,145.561,100.426,0,0.759,1.449,0.690,1.000
35,M43286.tif:2041-2956,16704,204.050,154,255,2884,1983,144,116,162.487,130.892,0,0.776,1.241,0.806,1.000
36,M43286.tif:1862-3253,54120,189.967,71,255,3171,1697,164,330,372.365,185.054,90,0.697,2.012,0.497,1.000
37,M43286.tif:1830-3630,28386,201.957,136,250,3547,1745,166,171,192.953,187.311,90,0.785,1.030,0.971,1.000
38,M43286.tif:2350-3601,10496,201.630,146,249,3519,2318,164,64,185.054,72.216,0,0.634,2.562,0.390,1.000
39,M43286.tif:2575-3592,42834,191.253,110,248,3504,2454,177,242,273.068,199.723,90,0.766,1.367,0.731,1.000
40,M43286.tif:2519-3223,81295,203.500,93,255,3109,2342,229,355,400.575,258.399,90,0.749,1.550,0.645,1.000
41,M43286.tif:2360-2887,16704,204.697,116,255,2800,2312,174,96,196.338,108.324,0,0.720,1.812,0.552,1.000
42,M43286.tif:2561-2912,18880,205.174,119,255,2853,2481,118,160,180.541,133.149,90,0.767,1.356,0.738,1.000
43,M43286.tif:2705-2879,21291,195.885,118,255,2804,2635,151,141,170.385,159.101,0,0.784,1.071,0.934,1.000
44,M43286.tif:2838-2881,13570,198.019,12,255,2822,2781,118,115,133.149,129.764,0,0.785,1.026,0.975,1.000
45,M43286.tif:2809-3623,12218,204.733,165,249,3549,2768,149,82,168.128,92.527,0,0.719,1.817,0.550,1.000
46,M43286.tif:3252-3589,41072,195.385,114,248,3514,3116,151,272,306.919,170.385,90,0.721,1.801,0.555,1.000
47,M43286.tif:3214-3343,17640,197.988,143,246,3294,3124,98,180,203.108,110.581,90,0.717,1.837,0.544,1.000
48,M43286.tif:3487-3417,15552,192.760,136,249,3369,3406,96,162,182.797,108.324,90,0.734,1.688,0.593,1.000
49,M43286.tif:3706-3380,5696,206.306,173,251,3348,3662,64,89,100.426,72.216,90,0.764,1.391,0.719,1.000
50,M43286.tif:3679-3585,3283,207.070,164,247,3561,3646,49,67,75.601,55.291,90,0.766,1.367,0.731,1.000
