frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43274-1-E.tif:1481-3841,2508158,197.304,28,248,2173,971,3336,1020,0.360,3.777,0.265,0.850
2,M43274-1-E.tif:1226-2017,123455,198.971,45,242,1792,1040,450,372,0.835,1.590,0.629,0.986
3,M43274-1-E.tif:1131-1205,137553,204.008,48,239,997,857,417,549,0.645,2.123,0.471,0.861
4,M43274-1-E.tif:1707-1111,121103,195.327,56,232,847,1559,528,297,0.810,1.922,0.520,0.982
5,M43274-1-E.tif:2852-4399,126184,208.252,52,245,4216,2618,366,468,0.741,1.263,0.792,0.956
6,M43274-1-E.tif:2802-3565,150420,202.127,52,242,3361,2549,408,507,0.812,1.611,0.621,0.954
7,M43274-1-E.tif:2951-3244,61767,204.561,59,242,3136,2789,216,324,0.872,1.460,0.685,1.000
8,M43274-1-E.tif:2754-2525,503091,206.308,49,247,1849,2486,1353,537,0.479,2.829,0.354,0.856
9,M43274-1-E.tif:3365-2243,68888,194.047,47,238,2056,3230,375,270,0.766,1.498,0.668,0.942
10,M43274-1-E.tif:3748-3251,157004,176.167,18,250,2731,3663,1041,171,0.350,6.813,0.147,1.000
