frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41665-1-E.tif:1029-4515,597464,203.596,50,238,4061,700,908,658,0.765,1.380,0.725,1.000
2,M41665-1-E.tif:2136-4577,809025,203.174,51,236,4290,1433,575,1407,0.647,2.447,0.409,1.000
3,M41665-1-E.tif:1862-4141,446985,203.266,55,240,3949,1282,385,1161,0.588,3.016,0.332,1.000
4,M41665-1-E.tif:1933-3584,428575,200.268,51,242,3308,1546,553,775,0.763,1.401,0.714,1.000
5,M41665-1-E.tif:2347-3031,37944,207.481,85,234,2938,2245,186,204,0.784,1.097,0.912,1.000
6,M41665-1-E.tif:1809-2986,95400,204.566,75,236,2836,1650,300,318,0.785,1.060,0.943,1.000
7,M41665-1-E.tif:1259-3864,135744,202.030,33,237,3713,1035,303,448,0.756,1.479,0.676,1.000
8,M41665-1-E.tif:1186-3458,354492,193.070,38,236,3200,843,516,687,0.770,1.331,0.751,1.000
9,M41665-1-E.tif:1256-2904,91800,191.196,45,237,2754,1103,300,306,0.785,1.020,0.980,1.000
10,M41665-1-E.tif:0971-2873,61104,189.760,29,239,2672,895,402,152,0.625,2.645,0.378,1.000
11,M41665-1-E.tif:1266-2522,133672,175.427,32,237,2352,1070,341,392,0.782,1.150,0.870,1.000
12,M41665-1-E.tif:1104-1961,442400,180.341,31,237,1566,824,790,560,0.763,1.411,0.709,1.000
13,M41665-1-E.tif:1606-1177,582860,169.701,26,235,791,1229,772,755,0.785,1.023,0.978,1.000
14,M41665-1-E.tif:2614-1717,1290384,186.572,38,244,934,2202,1566,824,0.710,1.900,0.526,1.000
15,M41665-1-E.tif:2173-2244,23100,197.965,69,236,2162,2103,165,140,0.780,1.179,0.848,1.000
16,M41665-1-E.tif:2153-2514,54880,178.382,43,232,2392,2041,245,224,0.784,1.094,0.914,1.000
17,M41665-1-E.tif:1821-2634,124852,203.443,54,235,2463,1639,343,364,0.785,1.061,0.942,1.000
18,M41665-1-E.tif:2608-2754,34776,215.452,100,238,2616,2545,276,126,0.676,2.190,0.457,1.000
19,M41665-1-E.tif:2776-2805,24888,218.470,114,238,2714,2708,183,136,0.768,1.346,0.743,1.000
20,M41665-1-E.tif:3308-2374,510402,221.204,103,243,1989,2977,771,662,0.781,1.165,0.859,1.000
21,M41665-1-E.tif:3478-1593,307125,204.704,52,242,1301,3216,585,525,0.783,1.114,0.897,1.000
22,M41665-1-E.tif:3116-3298,865808,215.387,69,241,2874,2606,848,1021,0.779,1.204,0.831,1.000
23,M41665-1-E.tif:3499-3632,144351,212.527,95,240,3446,3306,373,387,0.785,1.038,0.964,1.000
24,M41665-1-E.tif:3277-4441,858585,195.909,36,242,3889,2889,1105,777,0.762,1.422,0.703,1.000
25,M41665-1-E.tif:4020-3534,125952,203.022,45,245,3042,3956,984,128,0.320,7.687,0.130,1.000
