 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43231.tif:1207-3637,82296,171.429,32,230,3475,1080,324,254,365.595,286.608,0,0.774,1.276,0.784,1.000
2,M43231.tif:1214-3240,31752,150.093,48,231,3159,1116,162,196,221.162,182.797,90,0.778,1.210,0.827,1.000
3,M43231.tif:1224-2874,28224,174.383,79,231,2790,1140,168,168,189.568,189.568,0,0.785,1.000,1.000,1.000
4,M43231.tif:1141-2518,9215,158.584,78,226,2471,1093,95,97,109.453,107.196,90,0.785,1.021,0.979,1.000
5,M43231.tif:1303-2541,14200,188.202,82,236,2470,1253,142,100,160.230,112.838,0,0.762,1.420,0.704,1.000
6,M43231.tif:1212-2183,35526,163.086,56,235,2088,1119,191,186,215.520,209.879,0,0.785,1.027,0.974,1.000
7,M43231.tif:1350-2218,11115,174.129,76,238,2133,1318,171,65,192.953,73.345,0,0.627,2.631,0.380,1.000
8,M43231.tif:1047-2181,9720,173.397,97,231,2121,1007,120,81,135.406,91.399,0,0.756,1.481,0.675,1.000
9,M43231.tif:1082-2047,12927,174.983,107,231,1978,1036,139,93,156.845,104.939,0,0.755,1.495,0.669,1.000
10,M43231.tif:1109-1782,6324,175.255,96,232,1731,1078,102,62,115.095,69.960,0,0.739,1.645,0.608,1.000
11,M43231.tif:1199-1675,9900,169.385,74,227,1626,1149,99,100,112.838,111.710,90,0.785,1.010,0.990,1.000
12,M43231.tif:1298-1743,22752,151.800,60,229,1664,1226,158,144,178.284,162.487,0,0.784,1.097,0.911,1.000
13,M43231.tif:1463-1769,18216,155.867,55,238,1670,1417,198,92,223.419,103.811,0,0.680,2.152,0.465,1.000
14,M43231.tif:1636-1779,25098,159.572,61,240,1690,1566,178,141,200.851,159.101,0,0.775,1.262,0.792,1.000
15,M43231.tif:1165-1413,13673,144.776,49,226,1353,1109,121,113,136.534,127.507,0,0.784,1.071,0.934,1.000
16,M43231.tif:1072-1324,17080,130.178,30,224,1263,1002,122,140,157.973,137.662,90,0.782,1.148,0.871,1.000
17,M43231.tif:1091-1216,3968,150.972,89,210,1184,1060,64,62,72.216,69.960,0,0.785,1.032,0.969,1.000
18,M43231.tif:1159-1106,24960,125.985,33,221,1046,1055,120,208,234.703,135.406,90,0.729,1.733,0.577,1.000
19,M43231.tif:1227-1224,4256,150.034,80,222,1196,1189,56,76,85.757,63.189,90,0.767,1.357,0.737,1.000
20,M43231.tif:1292-1372,11088,132.933,58,221,1300,1254,144,77,162.487,86.885,0,0.713,1.870,0.535,1.000
