frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41502-1-E.tif:1161-4828,106150,185.866,39,238,4635,1024,386,275,0.763,1.404,0.712,1.000
2,M41502-1-E.tif:1205-4337,74360,174.876,23,235,4207,1062,260,286,0.784,1.100,0.909,1.000
3,M41502-1-E.tif:1251-3624,80352,181.200,12,238,3500,1089,248,324,0.772,1.306,0.765,1.000
4,M41502-1-E.tif:1406-2793,1299708,196.937,0,255,2108,932,1371,948,0.759,1.446,0.691,1.000
5,M41502-1-E.tif:1272-1720,252500,190.102,14,242,1468,1022,505,500,0.785,1.010,0.990,1.000
6,M41502-1-E.tif:1389-1109,320347,196.785,31,252,828,1105,563,569,0.785,1.011,0.989,1.000
7,M41502-1-E.tif:2492-2318,3675672,198.948,0,255,635,1946,3366,1092,0.581,3.082,0.324,1.000
8,M41502-1-E.tif:3448-1051,169776,187.521,37,253,855,3232,393,432,0.784,1.099,0.910,1.000
9,M41502-1-E.tif:3747-1384,93408,202.738,60,248,1176,3635,417,224,0.714,1.862,0.537,1.000
10,M41502-1-E.tif:3372-1569,155052,205.253,39,251,1350,3195,438,354,0.777,1.237,0.808,1.000
11,M41502-1-E.tif:3303-2005,50610,202.013,63,240,1885,3198,241,210,0.782,1.148,0.871,1.000
12,M41502-1-E.tif:3681-1987,130226,201.809,16,254,1769,3532,437,298,0.757,1.466,0.682,1.000
13,M41502-1-E.tif:3391-2895,438840,198.406,36,245,2498,3115,795,552,0.760,1.440,0.694,1.000
14,M41502-1-E.tif:3726-3382,198128,190.306,37,241,3138,3523,488,406,0.779,1.202,0.832,1.000
15,M41502-1-E.tif:2932-4463,3521700,189.255,10,255,3644,1857,1638,2150,0.771,1.313,0.762,1.000
16,M41502-1-E.tif:4044-2754,155648,207.701,27,255,2242,3968,1024,152,0.354,6.737,0.148,1.000
