frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M42378-1-E.tif:1592-3234,655136,207.901,51,238,2762,1245,944,694,0.767,1.360,0.735,1.000
2,M42378-1-E.tif:1584-2090,492030,211.618,56,242,1700,1269,781,630,0.776,1.240,0.807,1.000
3,M42378-1-E.tif:1546-1124,252280,205.086,54,239,859,1308,530,476,0.783,1.113,0.898,1.000
4,M42378-1-E.tif:2507-3323,190491,210.934,69,241,3034,2343,579,329,0.726,1.760,0.568,1.000
5,M42378-1-E.tif:2978-2534,690144,212.326,66,248,2258,2354,553,1248,0.668,2.257,0.443,1.000
6,M42378-1-E.tif:3403-3248,121158,205.279,64,235,3058,3244,381,318,0.779,1.198,0.835,1.000
7,M42378-1-E.tif:4204-2104,126075,199.060,70,238,2002,3897,205,615,0.589,3.000,0.333,1.000
8,M42378-1-E.tif:4373-2867,1394960,205.264,21,243,2125,3903,1484,940,0.746,1.579,0.633,1.000
9,M42378-1-E.tif:4548-1409,105820,213.391,85,244,1279,4345,260,407,0.747,1.565,0.639,1.000
10,M42378-1-E.tif:4542-1040,41375,200.655,58,242,978,4377,125,331,0.625,2.648,0.378,1.000
11,M42378-1-E.tif:4564-0773,24304,194.916,79,226,724,4440,98,248,0.638,2.531,0.395,1.000
12,M42378-1-E.tif:5270-2213,118552,182.546,21,244,1702,5212,1022,116,0.288,8.810,0.114,1.000
