frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41591-1-E.tif:1063-4934,368187,153.217,15,222,4529,723,810,681,0.727,1.613,0.620,0.934
2,M41591-1-E.tif:0922-4295,30208,159.332,37,239,4214,813,162,219,0.850,1.391,0.719,1.000
3,M41591-1-E.tif:1299-3701,424228,163.690,28,223,3359,789,684,1020,0.633,1.674,0.598,0.865
4,M41591-1-E.tif:1230-2876,351812,162.621,16,227,2630,771,492,918,0.656,1.992,0.502,0.924
5,M41591-1-E.tif:1258-1899,582771,191.944,47,230,1313,738,1173,1041,0.412,1.430,0.699,0.741
6,M41591-1-E.tif:1330-1202,100536,175.537,11,222,1070,1080,264,501,0.647,2.353,0.425,0.883
7,M41591-1-E.tif:1888-4986,566725,146.001,0,216,4529,1398,915,981,0.523,1.182,0.846,0.853
8,M41591-1-E.tif:1801-4142,269469,196.147,81,230,3890,1437,504,729,0.678,1.673,0.598,0.934
9,M41591-1-E.tif:2160-3285,271999,151.579,35,221,3017,1755,537,810,0.669,1.710,0.585,0.919
10,M41591-1-E.tif:2254-2306,848250,165.825,26,245,1589,1803,1434,903,0.648,1.795,0.557,0.876
11,M41591-1-E.tif:1809-1067,51385,200.101,101,227,971,1614,192,390,0.739,2.268,0.441,1.000
12,M41591-1-E.tif:2157-1262,46396,179.615,53,227,1124,2031,276,252,0.780,1.188,0.842,0.946
13,M41591-1-E.tif:2511-1595,19158,179.338,63,225,1526,2415,138,192,0.879,1.415,0.707,1.001
14,M41591-1-E.tif:2707-1836,27585,175.168,52,217,1751,2595,171,225,0.853,1.428,0.700,0.995
15,M41591-1-E.tif:2772-3249,67759,168.744,90,220,3077,2649,345,246,0.823,1.459,0.685,0.994
16,M41591-1-E.tif:2526-4043,427190,186.639,25,229,3611,2160,864,732,0.693,1.541,0.649,0.925
17,M41591-1-E.tif:2401-5013,10032,130.743,35,193,4943,2349,141,105,0.845,1.393,0.718,1.000
18,M41591-1-E.tif:2839-5054,385038,119.798,3,210,4751,2436,606,807,0.819,1.401,0.714,0.941
19,M41591-1-E.tif:3165-1410,369035,187.863,47,227,1157,2340,507,1650,0.306,3.708,0.270,0.628
20,M41591-1-E.tif:3030-1101,55746,189.001,77,225,998,2868,207,324,0.838,1.540,0.649,1.000
21,M41591-1-E.tif:3315-2505,1088101,163.772,6,231,1757,2793,1497,1044,0.598,1.583,0.632,0.881
22,M41591-1-E.tif:3765-1955,131016,173.924,54,227,1715,3579,480,372,0.853,1.536,0.651,0.967
23,M41591-1-E.tif:3531-4212,1614651,135.126,9,233,3152,2892,2121,1278,0.363,1.485,0.674,0.797
24,M41591-1-E.tif:4170-2845,151488,187.176,12,245,2317,4098,1056,144,0.333,7.306,0.137,1.000
