 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43698.tif:1038-3464,187425,192.685,17,235,3202,860,525,357,592.399,402.831,176,0.757,1.471,0.68,1
2,M43698.tif:1265-3075,27058,193.229,29,237,2992,1184,166,163,187.311,183.926,0,0.785,1.018,0.982,1
3,M43698.tif:1313-2750,26752,176.284,18,227,2686,1209,128,209,235.831,144.433,0,0.74,1.633,0.612,1
4,M43698.tif:1271-2502,32148,177.468,22,231,2417,1177,171,188,212.135,192.953,166,0.784,1.099,0.91,1
5,M43698.tif:1332-2269,35525,185.448,24,236,2182,1231,175,203,229.061,197.466,170,0.781,1.16,0.862,1
6,M43698.tif:1175-1604,909936,187.96,17,236,752,908,1704,534,1922.758,602.554,175,0.571,3.191,0.313,1
7,M43698.tif:1711-3282,280020,198.315,22,241,2892,1532,780,359,880.136,405.088,176,0.678,2.173,0.46,1
8,M43698.tif:1696-2671,59700,194.658,17,240,2521,1597,300,199,338.514,224.547,0,0.753,1.508,0.663,1
9,M43698.tif:1667-2228,135850,182.756,17,245,2019,1505,418,325,471.662,366.723,173,0.773,1.286,0.778,1
10,M43698.tif:1713-1811,41140,179.795,24,239,1718,1603,187,220,248.243,211.007,0,0.78,1.176,0.85,1
11,M43698.tif:1715-1530,49922,181.853,29,244,1421,1601,218,229,258.399,245.987,13,0.785,1.05,0.952,1
12,M43698.tif:1684-1165,59996,182.707,23,245,1059,1543,212,283,319.331,239.216,0,0.769,1.335,0.749,1
13,M43698.tif:1708-0757,79492,171.614,8,232,638,1541,238,334,376.879,268.554,0,0.763,1.403,0.713,1
14,M43698.tif:2313-0827,141480,177.061,20,234,631,2133,393,360,443.453,406.217,0,0.784,1.092,0.916,1
15,M43698.tif:2264-1156,87120,181.611,24,243,1046,2066,220,396,446.838,248.243,0,0.721,1.8,0.556,1
16,M43698.tif:2260-1440,174870,193.598,20,243,1295,1959,290,603,680.413,327.23,0,0.689,2.079,0.481,1
17,M43698.tif:2201-1805,225099,200.781,25,249,1607,1918,397,567,639.791,447.967,0,0.761,1.428,0.7,1
18,M43698.tif:2218-2229,124950,211.276,51,251,2102,1973,255,490,552.906,287.737,0,0.707,1.922,0.52,1
19,M43698.tif:2226-2502,120423,184.481,17,243,2356,2021,293,411,463.764,330.615,0,0.763,1.403,0.713,1
20,M43698.tif:2255-2755,50204,194.678,70,239,2678,2092,154,326,367.852,173.77,0,0.685,2.117,0.472,1
21,M43698.tif:2200-2971,55268,205.501,41,247,2889,2032,164,337,380.264,185.054,0,0.692,2.055,0.487,1
22,M43698.tif:2218-3195,26790,197.584,38,246,3125,2123,141,190,214.392,159.101,0,0.768,1.348,0.742,1
23,M43698.tif:2227-3457,29808,203.546,54,249,3376,2135,162,184,207.622,182.797,0,0.782,1.136,0.88,1
24,M43698.tif:2218-3713,28165,204.89,70,247,3648,2111,131,215,242.602,147.818,0,0.739,1.641,0.609,1
25,M43698.tif:2778-3478,84736,202.445,45,249,3313,2650,331,256,373.494,288.865,0,0.773,1.293,0.773,1
26,M43698.tif:2691-3112,89096,198.441,33,247,2983,2519,259,344,388.162,292.25,0,0.77,1.328,0.753,1
27,M43698.tif:2707-2735,129958,198.218,27,246,2554,2528,362,359,408.473,405.088,0,0.785,1.008,0.992,1
28,M43698.tif:2761-2372,86130,197.651,29,247,2227,2613,290,297,335.129,327.23,0,0.785,1.024,0.976,1
