 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M42420.tif:1198-4507,1009400,191.211,0,255,3786,848,1442,700,1627.123,789.865,0,0.691,2.060,0.485,1.000
2,M42420.tif:1243-3003,838155,186.525,33,245,2471,850,1065,787,1201.724,888.034,0,0.768,1.353,0.739,1.000
3,M42420.tif:1354-1813,780252,167.502,19,244,1307,969,1012,771,1141.920,869.980,0,0.771,1.313,0.762,1.000
4,M42420.tif:2433-2014,193158,186.706,37,240,1794,2214,441,438,497.615,494.230,0,0.785,1.007,0.993,1.000
5,M42420.tif:2915-1740,78400,199.641,90,244,1580,2793,320,245,361.081,276.453,0,0.772,1.306,0.766,1.000
6,M42420.tif:3345-1696,84906,191.346,48,239,1537,3212,318,267,358.825,301.277,0,0.779,1.191,0.840,1.000
7,M42420.tif:3119-2575,257488,183.412,0,245,2157,2965,836,308,943.325,347.541,0,0.618,2.714,0.368,1.000
8,M42420.tif:3339-2698,14464,187.692,101,236,2642,3275,113,128,144.433,127.507,90,0.782,1.133,0.883,1.000
9,M42420.tif:3266-3595,106218,207.724,95,243,3406,3126,378,281,426.527,317.075,0,0.768,1.345,0.743,1.000
10,M42420.tif:2939-3810,9720,215.486,150,242,3765,2885,90,108,121.865,101.554,90,0.779,1.200,0.833,1.000
11,M42420.tif:3198-4466,400336,191.115,43,241,4084,2936,764,524,862.082,591.271,0,0.758,1.458,0.686,1.000
12,M42420.tif:2316-3176,305152,184.203,56,247,2878,2060,596,512,672.514,577.730,0,0.781,1.164,0.859,1.000
13,M42420.tif:2294-4503,878970,169.869,13,245,3974,1879,1059,830,1194.954,936.555,0,0.774,1.276,0.784,1.000
14,M42420.tif:1940-5086,12210,182.052,49,238,5031,1885,110,111,125.250,124.122,90,0.785,1.009,0.991,1.000
15,M42420.tif:3924-3226,126875,204.672,1,247,2719,3862,1015,125,1145.305,141.047,0,0.307,8.120,0.123,1.000
