frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41442-1-E.tif:1493-4168,319502,176.985,26,230,3822,1161,692,664,0.514,1.261,0.793,0.861
2,M41442-1-E.tif:1271-3930,48652,170.767,28,224,3810,1147,240,248,0.858,1.197,0.835,1.000
3,M41442-1-E.tif:1267-3389,222450,178.065,32,234,3122,947,534,640,0.757,1.152,0.868,0.943
4,M41442-1-E.tif:1341-2529,59635,187.459,47,239,2350,1197,358,288,0.628,2.121,0.472,0.912
5,M41442-1-E.tif:1343-1618,432213,188.372,0,238,1068,1023,1100,640,0.428,2.158,0.463,0.789
6,M41442-1-E.tif:2632-4196,170507,183.983,32,228,3948,2359,496,546,0.537,1.426,0.701,0.848
7,M41442-1-E.tif:2952-4902,405621,182.354,25,231,4408,2647,988,610,0.541,2.119,0.472,0.820
8,M41442-1-E.tif:3047-4148,78443,181.164,34,226,3982,2869,332,356,0.774,1.191,0.839,0.919
9,M41442-1-E.tif:2937-3323,110855,205.617,66,234,3152,2713,342,448,0.646,1.289,0.776,0.910
10,M41442-1-E.tif:2898-2659,132868,192.509,55,233,2456,2655,406,486,0.692,1.714,0.583,0.913
11,M41442-1-E.tif:3028-2339,56356,195.082,21,231,2228,2873,222,310,0.878,1.472,0.679,0.996
12,M41442-1-E.tif:2867-1974,161863,191.660,39,232,1676,2619,596,496,0.556,1.611,0.621,0.813
13,M41442-1-E.tif:2881-1355,243558,192.409,33,233,1012,2637,686,488,0.657,1.742,0.574,0.911
14,M41442-1-E.tif:3298-3759,78436,187.411,45,229,3625,3100,268,397,0.740,1.731,0.578,0.917
15,M41442-1-E.tif:3454-4116,56997,190.522,62,232,3977,3313,278,282,0.833,1.028,0.973,0.964
16,M41442-1-E.tif:3735-4355,68013,191.024,47,225,4183,3603,344,265,0.755,1.345,0.743,0.936
17,M41442-1-E.tif:3832-2899,129650,197.073,34,242,2392,3759,1015,147,0.314,7.891,0.127,1.000
