frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43299-1-C.tif:1412-1586,248250,175.398,47,240,1419,1201,331,750,0.667,2.266,0.441,1
2,M43299-1-C.tif:2064-2138,40723,190.98,53,242,2033,1968,211,193,0.784,1.093,0.915,1
3,M43299-1-C.tif:1931-1737,93200,151.747,49,235,1621,1731,233,400,0.731,1.717,0.583,1
4,M43299-1-C.tif:2019-1386,78250,139.481,49,230,1230,1894,313,250,0.776,1.252,0.799,1
5,M43299-1-C.tif:2083-1516,109908,161.361,49,236,1374,1890,284,387,0.767,1.363,0.734,1
6,M43299-1-C.tif:2078-1471,15184,139.743,51,220,1398,2026,146,104,0.763,1.404,0.712,1
7,M43299-1-C.tif:2342-1609,45390,153.272,48,235,1524,2209,170,267,0.747,1.571,0.637,1
8,M43299-1-C.tif:2020-1954,271656,170.405,49,243,1685,1768,539,504,0.785,1.069,0.935,1
9,M43299-1-C.tif:2572-1801,465300,169.661,47,240,1449,2242,705,660,0.785,1.068,0.936,1
10,M43299-1-C.tif:2387-1085,151751,151.196,48,234,954,2099,263,577,0.676,2.194,0.456,1
11,M43299-1-C.tif:3295-1513,62822,182.326,47,243,1202,3245,622,101,0.378,6.158,0.162,1
