frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43256-1-E.tif:1296-2613,2613303,200.034,8,255,2110,786,2933,891,0.561,3.292,0.304,1.000
2,M43256-1-E.tif:1692-3946,82510,196.530,25,255,3835,1507,223,370,0.737,1.659,0.603,1.000
3,M43256-1-E.tif:2024-2645,136968,196.650,16,254,2426,1868,439,312,0.763,1.407,0.711,1.000
4,M43256-1-E.tif:1597-1508,421572,195.596,15,255,1250,1189,516,817,0.745,1.583,0.632,1.000
5,M43256-1-E.tif:1324-1885,530543,202.419,15,255,1645,773,481,1103,0.664,2.293,0.436,1.000
6,M43256-1-E.tif:2408-3054,195840,149.711,0,255,2544,2312,1020,192,0.419,5.312,0.188,1.000
