frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41995-1-E.tif:0727-3486,74700,185.159,55,248,3374,561,225,332,0.756,1.476,0.678,1.000
2,M41995-1-E.tif:0667-3259,24192,197.885,52,241,3196,571,126,192,0.752,1.524,0.656,1.000
3,M41995-1-E.tif:0741-2979,53452,192.095,75,255,2899,575,161,332,0.691,2.062,0.485,1.000
4,M41995-1-E.tif:0661-2764,48980,198.039,77,246,2687,503,155,316,0.694,2.039,0.491,1.000
5,M41995-1-E.tif:0597-2501,28851,188.010,66,246,2420,509,163,177,0.784,1.086,0.921,1.000
6,M41995-1-E.tif:0615-2231,22820,197.060,69,246,2150,545,163,140,0.781,1.164,0.859,1.000
7,M41995-1-E.tif:0693-2047,34980,203.858,88,248,1981,561,132,265,0.697,2.008,0.498,1.000
8,M41995-1-E.tif:0638-1772,110763,200.018,73,251,1633,440,279,397,0.761,1.423,0.703,1.000
9,M41995-1-E.tif:0570-1409,66454,193.823,65,248,1260,459,298,223,0.769,1.336,0.748,1.000
10,M41995-1-E.tif:0603-1128,45180,200.678,59,248,1038,478,180,251,0.764,1.394,0.717,1.000
11,M41995-1-E.tif:0595-0769,81198,202.346,75,249,652,422,234,347,0.756,1.483,0.674,1.000
12,M41995-1-E.tif:0927-0731,29392,196.700,73,247,643,844,176,167,0.785,1.054,0.949,1.000
13,M41995-1-E.tif:0911-1032,61705,203.894,61,247,889,804,287,215,0.769,1.335,0.749,1.000
14,M41995-1-E.tif:0850-1445,46096,202.370,59,250,1311,764,268,172,0.748,1.558,0.642,1.000
15,M41995-1-E.tif:0945-1791,30856,203.569,77,248,1658,887,266,116,0.664,2.293,0.436,1.000
16,M41995-1-E.tif:0942-2159,21840,188.308,44,244,2107,838,105,208,0.700,1.981,0.505,1.000
17,M41995-1-E.tif:0934-2332,21014,197.892,88,244,2293,801,79,266,0.555,3.367,0.297,1.000
18,M41995-1-E.tif:0971-2565,56398,196.918,76,245,2479,808,173,326,0.712,1.884,0.531,1.000
19,M41995-1-E.tif:1095-2747,23460,199.618,74,242,2701,968,92,255,0.612,2.772,0.361,1.000
20,M41995-1-E.tif:1089-2919,39593,187.369,53,245,2851,945,137,289,0.685,2.109,0.474,1.000
21,M41995-1-E.tif:1010-3235,40736,198.427,73,248,3168,858,134,304,0.667,2.269,0.441,1.000
22,M41995-1-E.tif:1112-3450,24734,190.902,58,247,3376,1029,149,166,0.783,1.114,0.898,1.000
23,M41995-1-E.tif:1395-3531,64092,185.754,64,244,3422,1248,218,294,0.768,1.349,0.741,1.000
24,M41995-1-E.tif:1394-3270,51250,188.475,76,246,3168,1269,205,250,0.778,1.220,0.820,1.000
25,M41995-1-E.tif:1388-3085,33604,192.644,68,244,3023,1253,124,271,0.677,2.185,0.458,1.000
26,M41995-1-E.tif:1401-2875,10192,194.313,74,239,2830,1345,91,112,0.777,1.231,0.813,1.000
27,M41995-1-E.tif:1443-2639,96900,192.221,63,248,2489,1282,300,323,0.784,1.077,0.929,1.000
28,M41995-1-E.tif:1434-2363,69488,193.962,62,247,2262,1262,202,344,0.732,1.703,0.587,1.000
29,M41995-1-E.tif:1344-2176,6069,195.897,88,239,2151,1285,51,119,0.660,2.333,0.429,1.000
30,M41995-1-E.tif:1214-2065,26691,196.085,98,245,2004,1106,123,217,0.725,1.764,0.567,1.000
31,M41995-1-E.tif:1301-1906,48236,205.620,107,253,1844,1107,124,389,0.576,3.137,0.319,1.000
32,M41995-1-E.tif:1081-1573,10230,185.154,61,232,1527,1026,93,110,0.780,1.183,0.845,1.000
33,M41995-1-E.tif:1101-1389,10701,198.061,77,246,1346,1040,87,123,0.762,1.414,0.707,1.000
34,M41995-1-E.tif:1241-1161,61102,200.341,39,247,1024,1130,274,223,0.777,1.229,0.814,1.000
35,M41995-1-E.tif:1198-0772,80057,198.027,72,248,593,1087,359,223,0.743,1.610,0.621,1.000
36,M41995-1-E.tif:1479-0708,32813,191.602,57,245,604,1401,209,157,0.770,1.331,0.751,1.000
37,M41995-1-E.tif:1498-0942,23114,185.486,47,243,879,1407,127,182,0.761,1.433,0.698,1.000
38,M41995-1-E.tif:1481-1175,40723,200.344,80,246,1070,1385,211,193,0.784,1.093,0.915,1.000
39,M41995-1-E.tif:1358-1481,39208,202.256,89,247,1397,1242,169,232,0.766,1.373,0.728,1.000
40,M41995-1-E.tif:1333-1722,41736,193.367,78,247,1652,1185,141,296,0.687,2.099,0.476,1.000
