 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M41346.tif:0414-4895,72688,199.913,107,237,4741,296,308,236,347.541,266.297,0,0.772,1.305,0.766,1.000
2,M41346.tif:0659-5155,153928,201.398,51,240,4884,517,542,284,611.582,320.460,0,0.709,1.908,0.524,1.000
3,M41346.tif:0707-4617,263750,191.975,75,236,4406,395,422,625,705.237,476.176,90,0.756,1.481,0.675,1.000
4,M41346.tif:0646-4207,196650,170.266,46,229,4035,361,345,570,643.176,389.291,90,0.738,1.652,0.605,1.000
5,M41346.tif:0763-3655,533484,191.283,56,237,3327,357,657,812,916.244,741.345,90,0.777,1.236,0.809,1.000
6,M41346.tif:0435-3373,82344,204.708,102,231,3227,294,292,282,329.487,318.203,0,0.785,1.035,0.966,1.000
7,M41346.tif:0628-3115,84234,186.037,62,235,2976,477,278,303,341.899,313.689,90,0.784,1.090,0.917,1.000
8,M41346.tif:1133-3202,95450,218.993,139,240,3087,926,230,415,468.277,259.527,90,0.721,1.804,0.554,1.000
9,M41346.tif:0905-2896,217778,195.977,53,241,2687,645,418,521,587.886,471.662,90,0.776,1.246,0.802,1.000
10,M41346.tif:0500-2663,192405,174.630,27,232,2411,310,505,381,569.831,429.912,0,0.770,1.325,0.754,1.000
11,M41346.tif:0522-2128,201040,181.272,43,234,1848,343,560,359,631.892,405.088,0,0.748,1.560,0.641,1.000
12,M41346.tif:0788-2128,50008,193.031,39,231,1964,712,329,152,371.237,171.514,0,0.679,2.164,0.462,1.000
13,M41346.tif:0631-1543,85360,190.336,38,233,1349,521,388,220,437.811,248.243,0,0.725,1.764,0.567,1.000
14,M41346.tif:0813-1378,39835,181.759,68,228,1301,685,155,257,289.993,174.899,90,0.737,1.658,0.603,1.000
15,M41346.tif:0610-0879,328758,209.306,66,243,530,375,698,471,787.609,531.467,0,0.756,1.482,0.675,1.000
16,M41346.tif:1042-0731,165760,188.048,47,230,472,882,518,320,584.500,361.081,0,0.742,1.619,0.618,1.000
17,M41346.tif:1213-1367,248979,179.533,46,232,1089,990,557,447,628.507,504.385,0,0.776,1.246,0.803,1.000
18,M41346.tif:1006-1825,102372,192.874,23,246,1711,782,228,449,506.642,257.270,90,0.702,1.969,0.508,1.000
19,M41346.tif:1325-1730,39360,183.537,63,229,1628,1229,205,192,231.318,216.649,0,0.785,1.068,0.937,1.000
20,M41346.tif:1002-2372,194366,203.534,27,240,2063,845,619,314,698.467,354.311,0,0.701,1.971,0.507,1.000
21,M41346.tif:1347-2783,104067,198.631,50,233,2597,1208,373,279,420.885,314.818,0,0.769,1.337,0.748,1.000
22,M41346.tif:1351-2350,111000,189.990,58,234,2165,1201,370,300,417.500,338.514,0,0.777,1.233,0.811,1.000
23,M41346.tif:1428-2067,91182,204.465,71,239,1900,1292,334,273,376.879,308.048,0,0.777,1.223,0.817,1.000
24,M41346.tif:1847-1685,427648,195.237,51,239,1428,1431,514,832,938.811,579.987,90,0.742,1.619,0.618,1.000
25,M41346.tif:2022-2163,149556,183.430,62,230,1921,1868,484,309,546.136,348.669,0,0.747,1.566,0.638,1.000
26,M41346.tif:1739-2360,92660,196.777,88,240,2155,1626,410,226,462.635,255.014,0,0.720,1.814,0.551,1.000
27,M41346.tif:1876-2931,127704,194.344,11,243,2727,1720,408,313,460.379,353.183,0,0.772,1.304,0.767,1.000
28,M41346.tif:1450-3312,108102,204.347,81,239,3103,1321,419,258,472.791,291.122,0,0.741,1.624,0.616,1.000
29,M41346.tif:1186-3898,112320,203.569,112,237,3690,1051,416,270,469.406,304.662,0,0.750,1.541,0.649,1.000
30,M41346.tif:1617-3819,50935,212.073,127,239,3667,1534,305,167,344.156,188.439,0,0.718,1.826,0.548,1.000
31,M41346.tif:1477-4001,116467,187.785,61,236,3800,1333,403,289,454.737,326.102,0,0.764,1.394,0.717,1.000
32,M41346.tif:1220-4374,124740,191.855,76,234,4143,1085,462,270,521.311,304.662,0,0.731,1.711,0.584,1.000
33,M41346.tif:1115-5039,172592,184.739,33,237,4805,931,469,368,529.210,415.244,0,0.774,1.274,0.785,1.000
34,M41346.tif:1521-4919,188426,191.612,4,248,4618,1365,602,313,679.284,353.183,0,0.707,1.923,0.520,1.000
35,M41346.tif:1590-4441,94239,205.535,85,231,4300,1424,283,333,375.750,319.331,90,0.780,1.177,0.850,1.000
36,M41346.tif:1854-5043,106880,181.736,64,229,4883,1687,320,334,376.879,361.081,90,0.785,1.044,0.958,1.000
37,M41346.tif:2055-4778,209300,199.947,62,238,4453,1894,650,322,733.446,363.338,0,0.696,2.019,0.495,1.000
38,M41346.tif:2124-4357,135728,188.246,58,234,4221,1875,272,499,563.061,306.919,90,0.717,1.835,0.545,1.000
39,M41346.tif:2007-3971,173040,212.782,118,240,3817,1727,309,560,631.892,348.669,90,0.720,1.812,0.552,1.000
40,M41346.tif:1803-3471,134196,202.606,105,243,3260,1644,422,318,476.176,358.825,0,0.770,1.327,0.754,1.000
41,M41346.tif:2087-3263,49680,203.289,70,231,3148,1979,230,216,259.527,243.730,0,0.785,1.065,0.939,1.000
42,M41346.tif:2487-2447,873196,156.542,12,240,1926,2068,1042,838,1175.771,945.582,0,0.776,1.243,0.804,1.000
43,M41346.tif:2682-1717,128048,209.519,70,240,1566,2470,302,424,478.433,340.771,90,0.763,1.404,0.712,1.000
44,M41346.tif:2155-1218,112407,189.393,55,236,1085,1945,267,421,475.048,301.277,90,0.746,1.577,0.634,1.000
45,M41346.tif:1797-1187,124880,196.260,62,231,1047,1574,280,446,503.257,315.946,90,0.744,1.593,0.628,1.000
46,M41346.tif:2336-0869,165184,207.485,98,233,691,2104,356,464,523.568,401.703,90,0.772,1.303,0.767,1.000
47,M41346.tif:1737-0653,82400,183.949,65,231,573,1480,160,515,581.115,180.541,90,0.568,3.219,0.311,1.000
48,M41346.tif:1580-0922,176220,196.977,61,230,757,1313,330,534,602.554,372.365,90,0.742,1.618,0.618,1.000
49,M41346.tif:2958-0696,141036,204.889,91,238,558,2703,276,511,576.602,311.433,90,0.715,1.851,0.540,1.000
50,M41346.tif:2868-1259,251713,217.871,112,241,1026,2599,467,539,608.196,526.953,90,0.781,1.154,0.866,1.000
51,M41346.tif:2497-3403,463750,171.089,34,239,3091,2126,625,742,837.257,705.237,90,0.780,1.187,0.842,1.000
52,M41346.tif:2434-3995,52208,185.951,82,230,3891,2309,208,251,283.223,234.703,90,0.779,1.207,0.829,1.000
53,M41346.tif:2812-3827,118294,189.378,78,233,3686,2603,283,418,471.662,319.331,90,0.756,1.477,0.677,1.000
54,M41346.tif:2588-4496,160632,200.229,60,235,4289,2394,414,388,467.149,437.811,0,0.785,1.067,0.937,1.000
55,M41346.tif:2523-5073,189994,202.453,72,234,4786,2358,574,331,647.690,373.494,0,0.729,1.734,0.577,1.000
56,M41346.tif:2163-5338,178500,213.028,113,248,5160,1913,357,500,564.190,402.831,90,0.764,1.401,0.714,1.000
57,M41346.tif:3084-5142,112623,197.308,66,234,5034,2825,217,519,585.629,244.858,90,0.653,2.392,0.418,1.000
58,M41346.tif:3383-4986,54612,208.881,108,244,4904,3217,164,333,375.750,185.054,90,0.695,2.030,0.492,1.000
59,M41346.tif:2956-4752,94500,210.479,99,235,4602,2799,300,315,355.439,338.514,90,0.785,1.050,0.952,1.000
60,M41346.tif:3482-4619,69900,218.186,137,240,4503,3332,233,300,338.514,262.912,90,0.773,1.288,0.777,1.000
61,M41346.tif:3596-4235,172845,202.202,76,236,4063,3346,345,501,565.318,389.291,90,0.759,1.452,0.689,1.000
62,M41346.tif:3958-4011,155976,204.879,86,236,3817,3757,388,402,453.608,437.811,90,0.785,1.036,0.965,1.000
63,M41346.tif:3836-3508,265071,210.172,80,243,3285,3540,447,593,669.129,504.385,90,0.770,1.327,0.754,1.000
64,M41346.tif:3824-2662,518928,216.759,0,242,2206,3540,912,569,1029.082,642.048,0,0.743,1.603,0.624,1.000
65,M41346.tif:3908-2083,105362,217.794,109,244,1944,3719,278,379,427.656,313.689,90,0.767,1.363,0.734,1.000
66,M41346.tif:3519-2250,154700,183.386,65,236,2023,3349,455,340,513.413,383.649,0,0.769,1.338,0.747,1.000
67,M41346.tif:3724-1693,141024,210.380,88,244,1467,3568,452,312,510.027,352.054,0,0.759,1.449,0.690,1.000
68,M41346.tif:4036-1354,154580,209.706,96,235,1027,3918,655,236,739.088,266.297,0,0.612,2.775,0.360,1.000
69,M41346.tif:3520-0914,130208,208.623,100,247,706,3364,416,313,469.406,353.183,0,0.770,1.329,0.752,1.000
70,M41346.tif:3443-1079,22960,205.586,135,236,1009,3361,140,164,185.054,157.973,90,0.781,1.171,0.854,1.000
71,M41346.tif:3382-1270,88726,213.645,87,245,1161,3179,218,407,459.250,245.987,90,0.714,1.867,0.536,1.000
72,M41346.tif:3321-1587,66982,208.739,106,246,1480,3165,214,313,353.183,241.473,90,0.758,1.463,0.684,1.000
73,M41346.tif:3216-1854,197730,205.933,98,237,1659,2963,390,507,572.088,440.068,90,0.772,1.300,0.769,1.000
74,M41346.tif:3160-2664,122980,194.439,93,240,2428,3030,473,260,533.723,293.379,0,0.719,1.819,0.550,1.000
75,M41346.tif:3268-3118,60088,197.066,52,234,2989,3152,259,232,292.250,261.784,0,0.783,1.116,0.896,1.000
76,M41346.tif:3000-3246,138215,211.953,7,242,3054,2821,385,359,434.426,405.088,0,0.784,1.072,0.932,1.000
77,M41346.tif:3232-3575,104310,198.816,59,236,3404,3080,342,305,385.906,344.156,0,0.783,1.121,0.892,1.000
78,M41346.tif:3009-4235,211564,193.130,0,239,4008,2776,454,466,525.825,512.284,90,0.785,1.026,0.974,1.000
79,M41346.tif:3911-4933,251856,217.803,100,242,4636,3699,594,424,670.257,478.433,0,0.763,1.401,0.714,1.000
80,M41346.tif:4195-2583,106392,213.232,0,250,2072,4143,1023,104,1154.332,117.351,0,0.263,9.837,0.102,1.000
