frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M41916-1-E.tif:1001-2504,3221680,199.072,63,255,1197,385,2615,1232,0.684,2.123,0.471,1.000
2,M41916-1-E.tif:1081-0884,875544,196.029,81,255,311,699,1146,764,0.754,1.500,0.667,1.000
3,M41916-1-E.tif:1753-1015,765408,171.352,67,243,446,1417,1139,672,0.733,1.695,0.590,1.000
4,M41916-1-E.tif:2415-0569,16166,195.636,91,235,510,2347,118,137,0.781,1.161,0.861,1.000
5,M41916-1-E.tif:2507-1049,361530,206.136,100,245,792,2156,515,702,0.767,1.363,0.734,1.000
6,M41916-1-E.tif:2079-2048,1595088,197.237,79,251,1465,1395,1166,1368,0.780,1.173,0.852,1.000
7,M41916-1-E.tif:2239-3179,1308672,194.585,69,254,2603,1671,1152,1136,0.785,1.014,0.986,1.000
8,M41916-1-E.tif:2913-2102,120900,212.598,100,253,1699,2838,806,150,0.416,5.373,0.186,1.000
