frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M43273-1-E.tif:1256-3386,167377,202.114,11,245,3107,1033,558,447,0.822,1.302,0.768,0.974
2,M43273-1-E.tif:1910-1787,511858,192.437,26,243,1010,1693,1554,435,0.467,4.160,0.240,0.961
3,M43273-1-E.tif:2167-3086,361922,184.223,4,246,2807,1696,558,942,0.353,2.202,0.454,0.804
4,M43273-1-E.tif:2614-1311,105937,185.608,8,242,1067,2443,489,342,0.658,2.293,0.436,0.929
5,M43273-1-E.tif:3205-1325,49048,173.343,29,241,1214,3058,222,294,0.877,1.293,0.774,0.978
6,M43273-1-E.tif:3167-1916,49197,200.324,51,242,1790,3037,252,261,0.797,1.132,0.883,0.920
7,M43273-1-E.tif:3166-2436,53022,191.452,34,243,2270,3055,333,222,0.771,1.612,0.620,0.936
8,M43273-1-E.tif:3158-3090,62952,200.385,28,246,2936,3025,309,267,0.717,1.351,0.740,0.910
9,M43273-1-E.tif:3848-3048,256089,192.445,6,246,2795,3535,507,627,0.654,1.382,0.724,0.890
10,M43273-1-E.tif:3797-2259,112447,189.650,23,239,1973,3646,573,303,0.597,2.036,0.491,0.893
11,M43273-1-E.tif:3760-1410,99826,202.076,36,246,1199,3619,423,282,0.861,1.484,0.674,0.994
12,M43273-1-E.tif:4634-3092,82434,192.757,16,240,2969,4444,246,381,0.768,1.631,0.613,0.978
13,M43273-1-E.tif:4636-2379,189585,191.741,32,251,2105,4396,549,480,0.757,1.282,0.780,0.952
14,M43273-1-E.tif:4636-1725,67812,181.600,21,243,1589,4450,273,372,0.723,1.565,0.639,0.906
15,M43273-1-E.tif:4603-1247,54767,185.133,31,246,1139,4456,216,294,0.858,1.402,0.713,1.000
16,M43273-1-E.tif:5294-2163,142986,166.512,2,244,1643,5224,1041,141,0.328,7.440,0.134,1.000
